combo,strategy,N,stratum,mean,std6,n_pids
math500_Phi-4-mini-instruct,em_lowfirst,1,L1,0.9649224806201547,0.0005632837868086921,215
math500_Phi-4-mini-instruct,em_lowfirst,1,L2,0.6991279069767441,0.00924217471171358,43
math500_Phi-4-mini-instruct,em_lowfirst,1,L3,0.4895833333333333,0.015006942837677936,30
math500_Phi-4-mini-instruct,em_lowfirst,1,L4,0.2990196078431373,0.005939267149357202,51
math500_Phi-4-mini-instruct,em_lowfirst,1,L5,0.05247584541062803,0.0027274371474966634,138
math500_Phi-4-mini-instruct,em_lowfirst,1,Lr,0.0,0.0,17
math500_Phi-4-mini-instruct,em_lowfirst,1,overall,0.556072874493927,0.00519323404162793,494
math500_Phi-4-mini-instruct,em_highfirst,1,L1,0.6127325581395348,0.004836286808279762,215
math500_Phi-4-mini-instruct,em_highfirst,1,L2,0.3258720930232558,0.011655490539138674,43
math500_Phi-4-mini-instruct,em_highfirst,1,L3,0.2558333333333333,0.011925695879998912,30
math500_Phi-4-mini-instruct,em_highfirst,1,L4,0.17834967320261438,0.005346658910196777,51
math500_Phi-4-mini-instruct,em_highfirst,1,L5,0.06129227053140099,0.00224715585680978,138
math500_Phi-4-mini-instruct,em_highfirst,1,Lr,0.01862745098039216,0.005233861888250644,17
math500_Phi-4-mini-instruct,em_highfirst,1,overall,0.3467526990553306,0.005995525747134431,494
math500_Phi-4-mini-instruct,em_random,1,L1,0.8414534883720929,0.0031867678694499886,215
math500_Phi-4-mini-instruct,em_random,1,L2,0.5470930232558141,0.008908828515989791,43
math500_Phi-4-mini-instruct,em_random,1,L3,0.4566666666666667,0.008130873945100288,30
math500_Phi-4-mini-instruct,em_random,1,L4,0.2873366013071896,0.01221136055766225,51
math500_Phi-4-mini-instruct,em_random,1,L5,0.08985507246376816,0.0033658620760850817,138
math500_Phi-4-mini-instruct,em_random,1,Lr,0.015931372549019607,0.0038815358617312083,17
math500_Phi-4-mini-instruct,em_random,1,overall,0.4968876518218623,0.005866958045188745,494
math500_Phi-4-mini-instruct,em_floor,1,L1,,,215
math500_Phi-4-mini-instruct,em_floor,1,L2,,,43
