model,dataset,stratum,N,acc_t1p0_mean,acc_t1p0_std,acc_t0p1_mean,acc_t0p1_std,acc_random_t_mean
Llama-3.2-3B,mathfull,L1,1,0.7877318936333763,0.0013447991771987,0.9658402425134256,0.0005075407929706,0.8468102441576075
Llama-3.2-3B,mathfull,L1,2,0.8037164502172267,0.0007951593134075,0.9667998828877588,0.0006370390832561,0.8555950275187616
Llama-3.2-3B,mathfull,L1,4,0.9143485663110767,0.0004003262990095,0.99353681613831,0.000267745010728,0.932814868063746
Llama-3.2-3B,mathfull,L1,8,0.9605542618798976,0.0006036462326673,0.9991608286941456,7.345388960310486e-05,0.9615226842651228
Llama-3.2-3B,mathfull,L1,16,0.9779957908254212,0.0003132438433223,0.999943260360051,1.7303800464345195e-05,0.972222327408922
Llama-3.2-3B,mathfull,L1,32,0.9848268590411232,0.0001096629592221,1.0,0.0,0.9761800218306632
Llama-3.2-3B,mathfull,L1,64,0.9877013438309572,0.0003108063034525,1.0,0.0,0.978147819803306
Llama-3.2-3B,mathfull,L1,128,0.989265920088329,0.0001703114416439,1.0,0.0,0.9788554210435634
Llama-3.2-3B,mathfull,L1,256,0.9897375173053612,0.0002353727405892,1.0,0.0,0.9792316298253976
Llama-3.2-3B,mathfull,L1,512,0.9897942570089052,0.0001135008506521,1.0,0.0,0.9797599666176806
Llama-3.2-3B,mathfull,L1,1024,0.9897005131487658,5.012206899356845e-05,1.0,0.0,0.9795108054157472
Llama-3.2-3B,mathfull,L1,1536,0.9895808664065068,2.495152092271172e-05,1.0,0.0,0.9796057825833442
Llama-3.2-3B,mathfull,L1,2048,0.9895450957231584,4.1250348743790885e-05,1.0,0.0,0.9797945037662088
Llama-3.2-3B,mathfull,L2,1,0.4826444442429476,0.0030356891747444,0.705055554986,0.0042860836888495,0.5548777769406636
Llama-3.2-3B,mathfull,L2,2,0.514172222400705,0.0028840877933258,0.7153222222858006,0.0020361914347752,0.575488888932599
Llama-3.2-3B,mathfull,L2,4,0.6552277828653653,0.0035865336504662,0.8699407420953115,0.0017514000867507,0.7139000036186642
Llama-3.2-3B,mathfull,L2,8,0.7835253193858596,0.0035502081814681,0.9495330718623268,0.0016400704512652,0.8102595516641934
Llama-3.2-3B,mathfull,L2,16,0.86111945321949,0.001711824866252,0.98402222416136,0.0010517707646098,0.8591920316086875
Llama-3.2-3B,mathfull,L2,32,0.90235168144438,0.0008973499157048,0.995633334106869,0.0003259175356194,0.8797779640273915
Llama-3.2-3B,mathfull,L2,64,0.9213827786673274,0.0008952848153702,0.9992055558628506,0.0003262014408277,0.8891064826192129
Llama-3.2-3B,mathfull,L2,128,0.9311703706027732,0.0013076918413584,0.9999722222487132,4.430529560799244e-05,0.8951037042422426
Llama-3.2-3B,mathfull,L2,256,0.9362388891573582,0.00046802717338,0.9999944444497424,1.360826337093723e-05,0.8984907410716017
Llama-3.2-3B,mathfull,L2,512,0.9372944446653128,0.0009732915268771,1.0,0.0,0.8978055550522274
Llama-3.2-3B,mathfull,L2,1024,0.9371388889410428,0.0003227773399205,1.0,0.0,0.9001666666923298
Llama-3.2-3B,mathfull,L2,1536,0.9369944444969296,0.0012864104608911,1.0,0.0,0.899555555904077
Llama-3.2-3B,mathfull,L2,2048,0.93584444452905,0.0005931710777723,1.0,0.0,0.8978166662082078
Llama-3.2-3B,mathfull,L3,1,0.3692724866595454,0.0038389791330838,0.4983333312093265,0.0058375163659945,0.423492063062571
Llama-3.2-3B,mathfull,L3,2,0.3995502641454102,0.0019219900329047,0.5119179888377113,0.0032513224251194,0.4428637565088966
Llama-3.2-3B,mathfull,L3,4,0.5092107617542659,0.0024643721718201,0.6337477967931481,0.0037769298873599,0.5586089118359187
Llama-3.2-3B,mathfull,L3,8,0.6287519697661674,0.0038079916158431,0.7421873599212007,0.0028336716298819,0.6563487031058503
Llama-3.2-3B,mathfull,L3,16,0.7132495264217219,0.0012221718709082,0.8094027797932979,0.0027363445767993,0.7249776231864143
Llama-3.2-3B,mathfull,L3,32,0.7730017131582523,0.0038652151821391,0.8510339516653586,0.0011907526962507,0.7597672337981521
Llama-3.2-3B,mathfull,L3,64,0.8023940221763773,0.0026382356226136,0.876419753958742,0.0013342005343357,0.7809821750086648
Llama-3.2-3B,mathfull,L3,128,0.8213926374311091,0.0020634351953762,0.8906084662574348,0.0016973120556818,0.7907506619565307
Llama-3.2-3B,mathfull,L3,256,0.8285537923508811,0.0018250454691759,0.8981812176496656,0.0011919084376939,0.7950154321100662
Llama-3.2-3B,mathfull,L3,512,0.8325639332950154,0.0009743717630777,0.902771164646382,0.001079895120757,0.7972486778009663
Llama-3.2-3B,mathfull,L3,1024,0.8331812170945186,0.0010071603086284,0.9032275134820748,0.0010587630924769,0.7952513228298691
Llama-3.2-3B,mathfull,L3,1536,0.8347993829277733,0.0008773506036272,0.9041600530351164,0.0013267070597657,0.7962037036983819
Llama-3.2-3B,mathfull,L3,2048,0.8350000001361998,0.0010237787256952,0.9042394180708224,0.0010530215462299,0.797070105946943
Llama-3.2-3B,mathfull,L4,1,0.2699842442626639,0.0016861614473893,0.2958508406019657,0.0036266126969393,0.2970675772795563
Llama-3.2-3B,mathfull,L4,2,0.300249474621717,0.0024301821581863,0.3089329478192646,0.0038383991084564,0.3180759799489308
Llama-3.2-3B,mathfull,L4,4,0.372353529307309,0.0012266050140576,0.3549683453236036,0.0020974791197085,0.3890420806764414
Llama-3.2-3B,mathfull,L4,8,0.4666570081070316,0.0028024604709295,0.4200468013775261,0.0019819824372279,0.4750012313478811
Llama-3.2-3B,mathfull,L4,16,0.5499812343756373,0.002199685835468,0.4715189863702658,0.0016524661113513,0.5412075321398107
Llama-3.2-3B,mathfull,L4,32,0.6056497953807692,0.0028490640821341,0.5047584047374063,0.0019730187193191,0.584638981531108
Llama-3.2-3B,mathfull,L4,64,0.6411226720497644,0.0011201112795662,0.5250977482845621,0.0011879526342434,0.6082207468140698
Llama-3.2-3B,mathfull,L4,128,0.6616382184844394,0.0017443901320727,0.5371644497889484,0.0020231360184412,0.6231089524399093
Llama-3.2-3B,mathfull,L4,256,0.6753428461785358,0.0018885068979166,0.5444283966364402,0.0015984935911222,0.6301755072527464
Llama-3.2-3B,mathfull,L4,512,0.6828256307703936,0.0011475301493737,0.5481734366970742,0.0007972064519314,0.6378822366241365
Llama-3.2-3B,mathfull,L4,1024,0.6881740199831112,0.0011346645976068,0.5508447130864841,0.001927986969186,0.6414215689660662
Llama-3.2-3B,mathfull,L4,1536,0.6900618582698503,0.0004329457483864,0.5518907565797656,0.0012848876929011,0.6396883751160702
Llama-3.2-3B,mathfull,L4,2048,0.691671043600175,0.0006728875825602,0.5513174023061171,0.0008629150247217,0.6400283024240682
Llama-3.2-3B,mathfull,L5,1,0.0850343059156283,0.0008645612548249,0.0505336388709154,0.0004860480503352,0.0801934445657053
Llama-3.2-3B,mathfull,L5,2,0.0970888128545868,0.0004523210902686,0.0551517536569573,0.0004056395099867,0.0883111781062608
Llama-3.2-3B,mathfull,L5,4,0.1109133814635475,0.0008067750479005,0.048502320014416,0.0004527064911433,0.0954593121668219
Llama-3.2-3B,mathfull,L5,8,0.130323615362541,0.0006292859340959,0.048151599990276,0.0007041290635871,0.1081793115295278
Llama-3.2-3B,mathfull,L5,16,0.1474992205099392,0.0010094165170786,0.0496889496916947,0.000478433299944,0.1188430173508219
Llama-3.2-3B,mathfull,L5,32,0.1595291005316847,0.0008184927573516,0.0508970855980963,0.0006859599521814,0.1279440441737986
Llama-3.2-3B,mathfull,L5,64,0.1666249569112032,0.0002517877686587,0.053009465571383,0.0003707148472525,0.132311014011402
Llama-3.2-3B,mathfull,L5,128,0.1689347733438373,0.0004044135795926,0.0543974563678663,0.0002889292837872,0.1362674638280578
Llama-3.2-3B,mathfull,L5,256,0.1697972549520214,0.0002837968860696,0.0556943481930036,0.0005145503376367,0.1367312728751991
Llama-3.2-3B,mathfull,L5,512,0.170464868956372,0.0003685168068546,0.0568186584041829,0.0005038166007818,0.1378726336561187
