combo,N,stratum,equal_mix_mean,equal_mix_std6,n_pids
aime2024_Phi-4-mini-instruct,1,L1,,,0
aime2024_Phi-4-mini-instruct,1,L2,0.6666666666666666,0.08316649966583099,1
aime2024_Phi-4-mini-instruct,1,L3,,,0
aime2024_Phi-4-mini-instruct,1,L4,,,0
aime2024_Phi-4-mini-instruct,1,L5,0.01715686274509804,0.004712005819881536,17
aime2024_Phi-4-mini-instruct,1,overall,0.053240740740740734,0.02013029453758525,18
aime2024_Phi-4-mini-instruct,2,L1,,,0
aime2024_Phi-4-mini-instruct,2,L2,0.6604166666666668,0.05723671607164989,1
aime2024_Phi-4-mini-instruct,2,L3,,,0
aime2024_Phi-4-mini-instruct,2,L4,,,0
aime2024_Phi-4-mini-instruct,2,L5,0.018137254901960786,0.00240146053214037,17
aime2024_Phi-4-mini-instruct,2,overall,0.05381944444444445,0.01369119928671322,18
aime2024_Phi-4-mini-instruct,4,L1,,,0
aime2024_Phi-4-mini-instruct,4,L2,0.8770833333333333,0.033644382063643924,1
aime2024_Phi-4-mini-instruct,4,L3,,,0
aime2024_Phi-4-mini-instruct,4,L4,,,0
aime2024_Phi-4-mini-instruct,4,L5,0.012132352941176469,0.0046562177055845776,17
aime2024_Phi-4-mini-instruct,4,overall,0.06018518518518518,0.009130262929507907,18
aime2024_Phi-4-mini-instruct,8,L1,,,0
aime2024_Phi-4-mini-instruct,8,L2,0.9647222222222224,0.019802263245135177,1
aime2024_Phi-4-mini-instruct,8,L3,,,0
aime2024_Phi-4-mini-instruct,8,L4,,,0
aime2024_Phi-4-mini-instruct,8,L5,0.009471580298786182,0.003916681036697882,17
aime2024_Phi-4-mini-instruct,8,overall,0.06254106040564375,0.006022717481265418,18
aime2024_Phi-4-mini-instruct,16,L1,,,0
aime2024_Phi-4-mini-instruct,16,L2,0.9729166666666668,0.03299305482471527,1
aime2024_Phi-4-mini-instruct,16,L3,,,0
aime2024_Phi-4-mini-instruct,16,L4,,,0
aime2024_Phi-4-mini-instruct,16,L5,0.0024296006281300402,0.0012750848009610862,17
aime2024_Phi-4-mini-instruct,16,overall,0.056345548741382076,0.00787464626334479,18
aime2024_Phi-4-mini-instruct,32,L1,,,0
aime2024_Phi-4-mini-instruct,32,L2,0.9916666666666667,0.012909944487358067,1
aime2024_Phi-4-mini-instruct,32,L3,,,0
aime2024_Phi-4-mini-instruct,32,L4,,,0
aime2024_Phi-4-mini-instruct,32,L5,0.0005800653594771242,0.0008263354776791035,17
aime2024_Phi-4-mini-instruct,32,overall,0.05564043209876543,0.003147086678669624,18
aime2024_Phi-4-mini-instruct,64,L1,,,0
aime2024_Phi-4-mini-instruct,64,L2,1.0,0.0,1
aime2024_Phi-4-mini-instruct,64,L3,,,0
aime2024_Phi-4-mini-instruct,64,L4,,,0
aime2024_Phi-4-mini-instruct,64,L5,0.0,0.0,17
aime2024_Phi-4-mini-instruct,64,overall,0.05555555555555555,0.0,18
aime2024_Phi-4-mini-instruct,128,L1,,,0
aime2024_Phi-4-mini-instruct,128,L2,1.0,0.0,1
aime2024_Phi-4-mini-instruct,128,L3,,,0
aime2024_Phi-4-mini-instruct,128,L4,,,0
aime2024_Phi-4-mini-instruct,128,L5,0.0,0.0,17
aime2024_Phi-4-mini-instruct,128,overall,0.05555555555555555,0.0,18
aime2024_Phi-4-mini-instruct,256,L1,,,0
aime2024_Phi-4-mini-instruct,256,L2,1.0,0.0,1
aime2024_Phi-4-mini-instruct,256,L3,,,0
aime2024_Phi-4-mini-instruct,256,L4,,,0
aime2024_Phi-4-mini-instruct,256,L5,0.0,0.0,17
aime2024_Phi-4-mini-instruct,256,overall,0.05555555555555555,0.0,18
