combo,N,stratum,equal_mix_mean,equal_mix_std6,n_pids
aime2025_Qwen2.5-3B,1,L1,,,0
aime2025_Qwen2.5-3B,1,L2,,,0
aime2025_Qwen2.5-3B,1,L3,0.46249999999999997,0.03791437722025776,1
aime2025_Qwen2.5-3B,1,L4,,,0
aime2025_Qwen2.5-3B,1,L5,0.020098039215686276,0.005708206520788094,17
aime2025_Qwen2.5-3B,1,overall,0.044675925925925924,0.010518295089529197,18
aime2025_Qwen2.5-3B,2,L1,,,0
aime2025_Qwen2.5-3B,2,L2,,,0
aime2025_Qwen2.5-3B,2,L3,0.4479166666666667,0.0604238501476583,1
aime2025_Qwen2.5-3B,2,L4,,,0
aime2025_Qwen2.5-3B,2,L5,0.025122549019607848,0.004774696014406409,17
aime2025_Qwen2.5-3B,2,overall,0.04861111111111112,0.014978879466280496,18
aime2025_Qwen2.5-3B,4,L1,,,0
aime2025_Qwen2.5-3B,4,L2,,,0
aime2025_Qwen2.5-3B,4,L3,0.4454861111111111,0.06142713426551878,1
aime2025_Qwen2.5-3B,4,L4,,,0
aime2025_Qwen2.5-3B,4,L5,0.033680555555555554,0.004754786148444744,17
aime2025_Qwen2.5-3B,4,overall,0.05655864197530864,0.015198005491347625,18
aime2025_Qwen2.5-3B,8,L1,,,0
aime2025_Qwen2.5-3B,8,L2,,,0
aime2025_Qwen2.5-3B,8,L3,0.5085664682539682,0.07372986873255714,1
aime2025_Qwen2.5-3B,8,L4,,,0
aime2025_Qwen2.5-3B,8,L5,0.03975198412698413,0.007246153126224425,17
aime2025_Qwen2.5-3B,8,overall,0.06579723324514991,0.01875086374382061,18
aime2025_Qwen2.5-3B,16,L1,,,0
aime2025_Qwen2.5-3B,16,L2,,,0
aime2025_Qwen2.5-3B,16,L3,0.6891962204462204,0.03285665413788953,1
aime2025_Qwen2.5-3B,16,L4,,,0
aime2025_Qwen2.5-3B,16,L5,0.044810399295693415,0.0029413860091317607,17
aime2025_Qwen2.5-3B,16,overall,0.0806096115818338,0.008255097749159022,18
aime2025_Qwen2.5-3B,32,L1,,,0
aime2025_Qwen2.5-3B,32,L2,,,0
aime2025_Qwen2.5-3B,32,L3,0.8271990740740741,0.09432428699044132,1
aime2025_Qwen2.5-3B,32,L4,,,0
aime2025_Qwen2.5-3B,32,L5,0.04583605535933777,0.006256887333264108,17
aime2025_Qwen2.5-3B,32,overall,0.08924511195460089,0.02304897922658383,18
aime2025_Qwen2.5-3B,64,L1,,,0
aime2025_Qwen2.5-3B,64,L2,,,0
aime2025_Qwen2.5-3B,64,L3,0.9614583333333333,0.025129871003780887,1
aime2025_Qwen2.5-3B,64,L4,,,0
aime2025_Qwen2.5-3B,64,L5,0.054712982415188294,0.003695626926723821,17
aime2025_Qwen2.5-3B,64,overall,0.105087724132863,0.006926962654698635,18
aime2025_Qwen2.5-3B,128,L1,,,0
aime2025_Qwen2.5-3B,128,L2,,,0
aime2025_Qwen2.5-3B,128,L3,1.0,0.0,1
aime2025_Qwen2.5-3B,128,L4,,,0
aime2025_Qwen2.5-3B,128,L5,0.058558006535947706,0.003811583168469528,17
aime2025_Qwen2.5-3B,128,overall,0.11086033950617284,0.0037041930164246418,18
aime2025_Qwen2.5-3B,256,L1,,,0
aime2025_Qwen2.5-3B,256,L2,,,0
aime2025_Qwen2.5-3B,256,L3,1.0,0.0,1
aime2025_Qwen2.5-3B,256,L4,,,0
aime2025_Qwen2.5-3B,256,L5,0.05833333333333334,0.0007594084992563571,17
aime2025_Qwen2.5-3B,256,overall,0.11064814814814815,0.0007380124046167469,18
