combo,N,stratum,equal_mix_mean,equal_mix_std6,n_pids
aime2025_Qwen3-4B-Instruct-2507,1,L1,0.9410714285714286,0.012926400764895622,7
aime2025_Qwen3-4B-Instruct-2507,1,L2,,,0
aime2025_Qwen3-4B-Instruct-2507,1,L3,0.5,0.03622844186547362,2
aime2025_Qwen3-4B-Instruct-2507,1,L4,0.2333333333333333,0.06055300708194983,1
aime2025_Qwen3-4B-Instruct-2507,1,L5,0.02840909090909091,0.005882808684338541,11
aime2025_Qwen3-4B-Instruct-2507,1,overall,0.38730158730158726,0.01932428935672526,21
aime2025_Qwen3-4B-Instruct-2507,2,L1,0.9416666666666668,0.014315445252911813,7
aime2025_Qwen3-4B-Instruct-2507,2,L2,,,0
aime2025_Qwen3-4B-Instruct-2507,2,L3,0.5552083333333333,0.015520483776824311,2
aime2025_Qwen3-4B-Instruct-2507,2,L4,0.2604166666666667,0.054438420868598555,1
aime2025_Qwen3-4B-Instruct-2507,2,L5,0.03238636363636364,0.004049665836637606,11
aime2025_Qwen3-4B-Instruct-2507,2,overall,0.3961309523809525,0.015522999889252714,21
aime2025_Qwen3-4B-Instruct-2507,4,L1,0.9893353174603176,0.00709162346672481,7
aime2025_Qwen3-4B-Instruct-2507,4,L2,,,0
aime2025_Qwen3-4B-Instruct-2507,4,L3,0.6942708333333333,0.03175802337380449,2
aime2025_Qwen3-4B-Instruct-2507,4,L4,0.37013888888888885,0.11431913987054286,1
aime2025_Qwen3-4B-Instruct-2507,4,L5,0.039993686868686866,0.0025534255456427747,11
aime2025_Qwen3-4B-Instruct-2507,4,overall,0.4344742063492064,0.027176466976576604,21
aime2025_Qwen3-4B-Instruct-2507,8,L1,0.9970238095238096,0.0026884737596752795,7
aime2025_Qwen3-4B-Instruct-2507,8,L2,,,0
aime2025_Qwen3-4B-Instruct-2507,8,L3,0.7870659722222223,0.02103655225247941,2
aime2025_Qwen3-4B-Instruct-2507,8,L4,0.3999007936507937,0.10795290127026776,1
aime2025_Qwen3-4B-Instruct-2507,8,L5,0.04088383838383838,0.008300428667626336,11
aime2025_Qwen3-4B-Instruct-2507,8,overall,0.4477581727135299,0.025210887169025375,21
aime2025_Qwen3-4B-Instruct-2507,16,L1,1.0,0.0,7
aime2025_Qwen3-4B-Instruct-2507,16,L2,,,0
aime2025_Qwen3-4B-Instruct-2507,16,L3,0.8930555555555556,0.03927879929521872,2
aime2025_Qwen3-4B-Instruct-2507,16,L4,0.40868055555555555,0.09592764079512495,1
aime2025_Qwen3-4B-Instruct-2507,16,L5,0.03784722222222223,0.008695155307341785,11
aime2025_Qwen3-4B-Instruct-2507,16,overall,0.4576719576719577,0.02499468838875801,21
aime2025_Qwen3-4B-Instruct-2507,32,L1,1.0,0.0,7
aime2025_Qwen3-4B-Instruct-2507,32,L2,,,0
aime2025_Qwen3-4B-Instruct-2507,32,L3,0.9493055555555555,0.01741380890961941,2
aime2025_Qwen3-4B-Instruct-2507,32,L4,0.2791666666666667,0.08720187306856812,1
aime2025_Qwen3-4B-Instruct-2507,32,L5,0.029797979797979796,0.007570705386082118,11
aime2025_Qwen3-4B-Instruct-2507,32,overall,0.45264550264550263,0.020518423229844568,21
aime2025_Qwen3-4B-Instruct-2507,64,L1,1.0,0.0,7
aime2025_Qwen3-4B-Instruct-2507,64,L2,,,0
aime2025_Qwen3-4B-Instruct-2507,64,L3,0.9697916666666666,0.020697473678366326,2
aime2025_Qwen3-4B-Instruct-2507,64,L4,0.23333333333333336,0.06258327785172862,1
aime2025_Qwen3-4B-Instruct-2507,64,L5,0.02518939393939394,0.0055398941323138275,11
aime2025_Qwen3-4B-Instruct-2507,64,overall,0.44999999999999996,0.015600720674699153,21
aime2025_Qwen3-4B-Instruct-2507,128,L1,1.0,0.0,7
aime2025_Qwen3-4B-Instruct-2507,128,L2,,,0
aime2025_Qwen3-4B-Instruct-2507,128,L3,0.990625,0.007654655446197431,2
aime2025_Qwen3-4B-Instruct-2507,128,L4,0.18958333333333333,0.08039615455148752,1
aime2025_Qwen3-4B-Instruct-2507,128,L5,0.01647727272727273,0.004049665836637605,11
aime2025_Qwen3-4B-Instruct-2507,128,overall,0.44533730158730156,0.017943199924231008,21
aime2025_Qwen3-4B-Instruct-2507,256,L1,1.0,0.0,7
aime2025_Qwen3-4B-Instruct-2507,256,L2,,,0
aime2025_Qwen3-4B-Instruct-2507,256,L3,1.0,0.0,2
aime2025_Qwen3-4B-Instruct-2507,256,L4,0.09791666666666667,0.033927004976370474,1
aime2025_Qwen3-4B-Instruct-2507,256,L5,0.007765151515151516,0.0026325076293778867,11
aime2025_Qwen3-4B-Instruct-2507,256,overall,0.4373015873015873,0.007644707871564384,21
