combo,N,stratum,equal_mix_mean,equal_mix_std6,n_pids
gsm8kfull_Llama-3.2-3B,1,L1,0.9843923418423982,0.000493786542209153,901
gsm8kfull_Llama-3.2-3B,1,L2,0.7193548387096774,0.007280431485995084,62
gsm8kfull_Llama-3.2-3B,1,L3,0.5061631944444446,0.01250180831827349,48
gsm8kfull_Llama-3.2-3B,1,L4,0.30230769230769233,0.010594740237969877,65
gsm8kfull_Llama-3.2-3B,1,L5,0.06105769230769235,0.0028013223152941378,182
gsm8kfull_Llama-3.2-3B,1,overall,0.7842574191838904,0.0039605094328231,1258
gsm8kfull_Llama-3.2-3B,2,L1,0.9740612282648903,0.0005205542364580827,901
gsm8kfull_Llama-3.2-3B,2,L2,0.694220430107527,0.005594046622401174,62
gsm8kfull_Llama-3.2-3B,2,L3,0.5282118055555555,0.00752539585368303,48
gsm8kfull_Llama-3.2-3B,2,L4,0.35060897435897437,0.008736288213848304,65
gsm8kfull_Llama-3.2-3B,2,L5,0.09063644688644686,0.0014012784485976906,182
gsm8kfull_Llama-3.2-3B,2,overall,0.7832356253312132,0.0028504041943790558,1258
gsm8kfull_Llama-3.2-3B,4,L1,0.9881913614502399,0.0004200631928633544,901
gsm8kfull_Llama-3.2-3B,4,L2,0.8144377240143369,0.004128919082603632,62
gsm8kfull_Llama-3.2-3B,4,L3,0.6634910300925926,0.006590560911172447,48
gsm8kfull_Llama-3.2-3B,4,L4,0.46141559829059825,0.006552756390712288,65
gsm8kfull_Llama-3.2-3B,4,L5,0.11346153846153843,0.0022473360551592803,182
gsm8kfull_Llama-3.2-3B,4,overall,0.8134699037272562,0.002360759422616366,1258
gsm8kfull_Llama-3.2-3B,8,L1,0.9917830496978662,0.00019336605023194707,901
gsm8kfull_Llama-3.2-3B,8,L2,0.8738083237327189,0.004423246141634572,62
gsm8kfull_Llama-3.2-3B,8,L3,0.7840857514880953,0.008223479413576486,48
gsm8kfull_Llama-3.2-3B,8,L4,0.6194290293040294,0.007718026824761053,65
gsm8kfull_Llama-3.2-3B,8,L5,0.18088819662480374,0.0025364642498640643,182
gsm8kfull_Llama-3.2-3B,8,overall,0.8414891085938878,0.002753173521948196,1258
gsm8kfull_Llama-3.2-3B,16,L1,0.9950217351091379,9.164197030142794e-05,901
gsm8kfull_Llama-3.2-3B,16,L2,0.9206395609318997,0.002864560504801887,62
gsm8kfull_Llama-3.2-3B,16,L3,0.8482581018518519,0.004720976355599402,48
gsm8kfull_Llama-3.2-3B,16,L4,0.6725317760942762,0.004418779575051152,65
gsm8kfull_Llama-3.2-3B,16,L5,0.18366894889044616,0.0035845670012063717,182
gsm8kfull_Llama-3.2-3B,16,overall,0.85171139836581,0.002031905894986937,1258
gsm8kfull_Llama-3.2-3B,32,L1,0.9951350351461339,0.00012210758908299778,901
gsm8kfull_Llama-3.2-3B,32,L2,0.9352598566308243,0.0008851259741605974,62
gsm8kfull_Llama-3.2-3B,32,L3,0.8742621527777779,0.005640023554251884,48
gsm8kfull_Llama-3.2-3B,32,L4,0.7437206959706959,0.0027338141400451636,65
gsm8kfull_Llama-3.2-3B,32,L5,0.21946920969242398,0.0032059997799434212,182
gsm8kfull_Llama-3.2-3B,32,overall,0.8623629590725179,0.0017709342147077063,1258
gsm8kfull_Llama-3.2-3B,64,L1,0.9956552904180541,5.508776656522825e-05,901
gsm8kfull_Llama-3.2-3B,64,L2,0.9454301075268817,0.0014961072160585161,62
gsm8kfull_Llama-3.2-3B,64,L3,0.8871093750000001,0.007742500836507411,48
gsm8kfull_Llama-3.2-3B,64,L4,0.769775641025641,0.0023104506307273388,65
gsm8kfull_Llama-3.2-3B,64,L5,0.22141559829059823,0.0017257803232731297,182
gsm8kfull_Llama-3.2-3B,64,overall,0.8653548401342521,0.001762525038975811,1258
gsm8kfull_Llama-3.2-3B,128,L1,0.9957315945246022,0.0001931687162427336,901
gsm8kfull_Llama-3.2-3B,128,L2,0.9492271505376344,0.0007588433999083165,62
gsm8kfull_Llama-3.2-3B,128,L3,0.8974681712962963,0.004526030900589553,48
gsm8kfull_Llama-3.2-3B,128,L4,0.7836111111111111,0.0038578170738204835,65
gsm8kfull_Llama-3.2-3B,128,L5,0.23530410561660564,0.00197059959356962,182
gsm8kfull_Llama-3.2-3B,128,overall,0.8687160506094329,0.0014722480324142345,1258
gsm8kfull_Llama-3.2-3B,256,L1,0.9957177210506845,0.00011826407558769657,901
gsm8kfull_Llama-3.2-3B,256,L2,0.9521505376344086,0.0027218986431126932,62
gsm8kfull_Llama-3.2-3B,256,L3,0.9028211805555556,0.00380035872225562,48
gsm8kfull_Llama-3.2-3B,256,L4,0.7877564102564102,0.0017357478252386042,65
gsm8kfull_Llama-3.2-3B,256,L5,0.2369810744810745,0.0025527805808346414,182
gsm8kfull_Llama-3.2-3B,256,overall,0.8695112391803568,0.0014229173217577972,1258
