combo,N,stratum,equal_mix_mean,equal_mix_std6,n_pids
gsm8kfull_Phi-4-mini-instruct,1,L1,0.9830983110261323,0.0004970897969595392,1046
gsm8kfull_Phi-4-mini-instruct,1,L2,0.7017694063926941,0.009905295280081355,73
gsm8kfull_Phi-4-mini-instruct,1,L3,0.4920212765957446,0.006157360054675719,47
gsm8kfull_Phi-4-mini-instruct,1,L4,0.28914728682170543,0.011735932321101136,43
gsm8kfull_Phi-4-mini-instruct,1,L5,0.0660337552742616,0.002870283984222249,79
gsm8kfull_Phi-4-mini-instruct,1,overall,0.8698175465838517,0.003499788150960571,1288
gsm8kfull_Phi-4-mini-instruct,2,L1,0.9784695666029304,0.0002996322429743629,1046
gsm8kfull_Phi-4-mini-instruct,2,L2,0.6949771689497718,0.006610269205782486,73
gsm8kfull_Phi-4-mini-instruct,2,L3,0.5246897163120567,0.008915592865144496,47
gsm8kfull_Phi-4-mini-instruct,2,L4,0.341327519379845,0.007073975249729331,43
gsm8kfull_Phi-4-mini-instruct,2,L5,0.08826476793248945,0.003837365137851283,79
gsm8kfull_Phi-4-mini-instruct,2,overall,0.8699712085921314,0.0028326363831538528,1288
gsm8kfull_Phi-4-mini-instruct,4,L1,0.9938947312513267,0.00017241238834956847,1046
gsm8kfull_Phi-4-mini-instruct,4,L2,0.8347269786910196,0.003461155243212869,73
gsm8kfull_Phi-4-mini-instruct,4,L3,0.634626182033097,0.008460875898844004,47
gsm8kfull_Phi-4-mini-instruct,4,L4,0.47363533591731266,0.008870933070622063,43
gsm8kfull_Phi-4-mini-instruct,4,L5,0.09378516174402252,0.002213724315947735,79
gsm8kfull_Phi-4-mini-instruct,4,overall,0.899186130521048,0.002498622236788017,1288
gsm8kfull_Phi-4-mini-instruct,8,L1,0.994653408487359,0.00036479728963926226,1046
gsm8kfull_Phi-4-mini-instruct,8,L2,0.913459447706023,0.00456139789493699,73
gsm8kfull_Phi-4-mini-instruct,8,L3,0.7658076874366767,0.0056228204733294405,47
gsm8kfull_Phi-4-mini-instruct,8,L4,0.6693145533407162,0.011272018250481195,43
gsm8kfull_Phi-4-mini-instruct,8,L5,0.15701150291340163,0.0024806759607974857,79
gsm8kfull_Phi-4-mini-instruct,8,overall,0.9194622676969336,0.0026571240369940106,1288
gsm8kfull_Phi-4-mini-instruct,16,L1,0.9967296048438494,0.00021966001152671114,1046
gsm8kfull_Phi-4-mini-instruct,16,L2,0.9541428843226788,0.0033808276237671147,73
gsm8kfull_Phi-4-mini-instruct,16,L3,0.8320626477541371,0.005069004952654123,47
gsm8kfull_Phi-4-mini-instruct,16,L4,0.7279408914728683,0.005956132168700711,43
gsm8kfull_Phi-4-mini-instruct,16,L5,0.1585126896222624,0.004847160990413585,79
gsm8kfull_Phi-4-mini-instruct,16,overall,0.9279211975777628,0.0020615651257165505,1288
gsm8kfull_Phi-4-mini-instruct,32,L1,0.9935242723603143,0.00018786700008716667,1046
gsm8kfull_Phi-4-mini-instruct,32,L2,0.9690639269406393,0.0021949297205084758,73
gsm8kfull_Phi-4-mini-instruct,32,L3,0.8650487588652483,0.003762642580510766,47
gsm8kfull_Phi-4-mini-instruct,32,L4,0.7882348191214469,0.004534885446343477,43
gsm8kfull_Phi-4-mini-instruct,32,L5,0.18466024964838257,0.004087641354921719,79
gsm8kfull_Phi-4-mini-instruct,32,overall,0.9309841647256728,0.0015905171951940916,1288
gsm8kfull_Phi-4-mini-instruct,64,L1,0.9936962237093692,6.957899917786171e-05,1046
gsm8kfull_Phi-4-mini-instruct,64,L2,0.979708904109589,0.0018936529179381905,73
gsm8kfull_Phi-4-mini-instruct,64,L3,0.8776743498817966,0.0037872011159263215,47
gsm8kfull_Phi-4-mini-instruct,64,L4,0.8149951550387596,0.006927701633433633,43
gsm8kfull_Phi-4-mini-instruct,64,L5,0.18816104078762308,0.0038981134697471847,79
gsm8kfull_Phi-4-mini-instruct,64,overall,0.9332959692028988,0.00180687976994572,1288
gsm8kfull_Phi-4-mini-instruct,128,L1,0.9933257648183558,8.025398370161372e-05,1046
gsm8kfull_Phi-4-mini-instruct,128,L2,0.9834760273972604,0.001718311466342653,73
gsm8kfull_Phi-4-mini-instruct,128,L3,0.888031914893617,0.002466387897738208,47
gsm8kfull_Phi-4-mini-instruct,128,L4,0.8260497416020671,0.0019198929456980907,43
gsm8kfull_Phi-4-mini-instruct,128,L5,0.1949367088607595,0.0026783695429574025,79
gsm8kfull_Phi-4-mini-instruct,128,overall,0.9343712258454108,0.0009785738553638396,1288
gsm8kfull_Phi-4-mini-instruct,256,L1,0.9933894996813258,4.1683495730617025e-05,1046
gsm8kfull_Phi-4-mini-instruct,256,L2,0.9851883561643836,0.0007638598638080281,73
gsm8kfull_Phi-4-mini-instruct,256,L3,0.8945478723404255,0.002037657586104006,47
gsm8kfull_Phi-4-mini-instruct,256,L4,0.8378714470284238,0.0019354796473889525,43
gsm8kfull_Phi-4-mini-instruct,256,L5,0.19482243319268636,0.0016478726806307372,79
gsm8kfull_Phi-4-mini-instruct,256,overall,0.9351454667011733,0.000691093888563141,1288
