combo,N,stratum,equal_mix_mean,equal_mix_std6,n_pids
gsm8kfull_Qwen2.5-3B,1,L1,0.9878724623444671,0.00030924179040341907,1018
gsm8kfull_Qwen2.5-3B,1,L2,0.7065400843881856,0.006888759095029871,79
gsm8kfull_Qwen2.5-3B,1,L3,0.4922764227642276,0.015122279041817706,41
gsm8kfull_Qwen2.5-3B,1,L4,0.29113475177304965,0.013105703675865546,47
gsm8kfull_Qwen2.5-3B,1,L5,0.05492063492063492,0.002991547679845014,105
gsm8kfull_Qwen2.5-3B,1,overall,0.853569121447029,0.004151649603652566,1290
gsm8kfull_Qwen2.5-3B,2,L1,0.9809184675834959,0.00040210607797148734,1018
gsm8kfull_Qwen2.5-3B,2,L2,0.6929588607594935,0.0039024902792637165,79
gsm8kfull_Qwen2.5-3B,2,L3,0.5179369918699187,0.009218045491368756,41
gsm8kfull_Qwen2.5-3B,2,L4,0.3313829787234043,0.002396570282142345,47
gsm8kfull_Qwen2.5-3B,2,L5,0.08440476190476191,0.0031595875042920983,105
gsm8kfull_Qwen2.5-3B,2,overall,0.8519315245478026,0.0021869508470297697,1290
gsm8kfull_Qwen2.5-3B,4,L1,0.9920374235974673,0.00035922026389946743,1018
gsm8kfull_Qwen2.5-3B,4,L2,0.8107638888888888,0.004033255701053906,79
gsm8kfull_Qwen2.5-3B,4,L3,0.6427337398373983,0.007192509056593713,41
gsm8kfull_Qwen2.5-3B,4,L4,0.4100620567375887,0.012529547342655288,47
gsm8kfull_Qwen2.5-3B,4,L5,0.10200066137566138,0.0021774622276288956,105
gsm8kfull_Qwen2.5-3B,4,overall,0.8761856696813088,0.0029745479193358224,1290
gsm8kfull_Qwen2.5-3B,8,L1,0.9945317616240992,0.00019661708154451114,1018
gsm8kfull_Qwen2.5-3B,8,L2,0.8653256856540085,0.005108866584803413,79
gsm8kfull_Qwen2.5-3B,8,L3,0.7549113192024777,0.00727927606135835,41
gsm8kfull_Qwen2.5-3B,8,L4,0.5427480158730159,0.010987774780352219,47
gsm8kfull_Qwen2.5-3B,8,L5,0.1608672052154195,0.004748722212967181,105
gsm8kfull_Qwen2.5-3B,8,overall,0.8946865425433738,0.0030898623330168776,1290
gsm8kfull_Qwen2.5-3B,16,L1,0.996580304518664,0.00015954798824143363,1018
gsm8kfull_Qwen2.5-3B,16,L2,0.9052083333333334,0.002864208147318891,79
gsm8kfull_Qwen2.5-3B,16,L3,0.824969512195122,0.008487567357982463,41
gsm8kfull_Qwen2.5-3B,16,L4,0.5796616430260048,0.011008961362956324,47
gsm8kfull_Qwen2.5-3B,16,L5,0.1645548114804067,0.0037575875718529983,105
gsm8kfull_Qwen2.5-3B,16,overall,0.9026172951635645,0.0028943153994500865,1290
gsm8kfull_Qwen2.5-3B,32,L1,0.996159408426108,0.00014672489573682294,1018
gsm8kfull_Qwen2.5-3B,32,L2,0.9172028832630098,0.0018353874654115714,79
gsm8kfull_Qwen2.5-3B,32,L3,0.8773035230352303,0.00583502095452429,41
gsm8kfull_Qwen2.5-3B,32,L4,0.6325650118203311,0.0071031977355875365,47
gsm8kfull_Qwen2.5-3B,32,L5,0.19544669671157766,0.004024644039100855,105
gsm8kfull_Qwen2.5-3B,32,overall,0.9091249679924585,0.00211237668601333,1290
gsm8kfull_Qwen2.5-3B,64,L1,0.9964043058284218,0.0001816984567181449,1018
gsm8kfull_Qwen2.5-3B,64,L2,0.9224683544303799,0.004468641293190938,79
gsm8kfull_Qwen2.5-3B,64,L3,0.9124322493224932,0.002109974089442419,41
gsm8kfull_Qwen2.5-3B,64,L4,0.6561613475177305,0.010613409124631826,47
gsm8kfull_Qwen2.5-3B,64,L5,0.19558985260770975,0.0020312001890558,105
gsm8kfull_Qwen2.5-3B,64,overall,0.9116285452811617,0.0024146143294039306,1290
gsm8kfull_Qwen2.5-3B,128,L1,0.9962549115913556,0.00014424533551652877,1018
gsm8kfull_Qwen2.5-3B,128,L2,0.9237605485232067,0.002092958324959835,79
gsm8kfull_Qwen2.5-3B,128,L3,0.9300304878048781,0.005706189955413076,41
gsm8kfull_Qwen2.5-3B,128,L4,0.6760342789598108,0.005374027386132033,47
gsm8kfull_Qwen2.5-3B,128,L5,0.206,0.00290332495466683,105
gsm8kfull_Qwen2.5-3B,128,overall,0.9137204995693368,0.0017486800221826798,1290
gsm8kfull_Qwen2.5-3B,256,L1,0.9962221676489849,0.00011845661404004362,1018
gsm8kfull_Qwen2.5-3B,256,L2,0.9231540084388187,0.0013187763544331836,79
gsm8kfull_Qwen2.5-3B,256,L3,0.9379065040650407,0.001963250510738684,41
gsm8kfull_Qwen2.5-3B,256,L4,0.6807919621749409,0.006896608545469203,47
gsm8kfull_Qwen2.5-3B,256,L5,0.2038955026455026,0.0015561257188532237,105
gsm8kfull_Qwen2.5-3B,256,overall,0.9139098837209302,0.0014731284854385095,1290
