combo,N,stratum,equal_mix_mean,equal_mix_std6,n_pids
math500_Phi-4-mini-instruct,1,L1,0.9644961240310073,0.00210804257998262,215
math500_Phi-4-mini-instruct,1,L2,0.6875,0.004454414257994931,43
math500_Phi-4-mini-instruct,1,L3,0.48666666666666664,0.008563488385776752,30
math500_Phi-4-mini-instruct,1,L4,0.28929738562091506,0.007918854288085803,51
math500_Phi-4-mini-instruct,1,L5,0.05178140096618359,0.0008135382599823407,138
math500_Phi-4-mini-instruct,1,overall,0.5732267645003492,0.003911515946027041,477
math500_Phi-4-mini-instruct,2,L1,0.9551453488372094,0.0012506082889866565,215
math500_Phi-4-mini-instruct,2,L2,0.6978682170542637,0.006912657857258887,43
math500_Phi-4-mini-instruct,2,L3,0.5109027777777777,0.00882474687497647,30
math500_Phi-4-mini-instruct,2,L4,0.3094362745098039,0.0035101256835752517,51
math500_Phi-4-mini-instruct,2,L5,0.06319444444444446,0.0022826566209216024,138
math500_Phi-4-mini-instruct,2,overall,0.5769261006289309,0.0035686497013343575,477
math500_Phi-4-mini-instruct,4,L1,0.9839744832041345,0.001134828794596444,215
math500_Phi-4-mini-instruct,4,L2,0.8261627906976745,0.010165647751475524,43
math500_Phi-4-mini-instruct,4,L3,0.6688194444444445,0.01270351305061569,30
math500_Phi-4-mini-instruct,4,L4,0.37777096949891065,0.009925896210643265,51
math500_Phi-4-mini-instruct,4,L5,0.07304750402576488,0.002113648777235254,138
math500_Phi-4-mini-instruct,4,overall,0.6215743652457489,0.005645559993469669,477
math500_Phi-4-mini-instruct,8,L1,0.9912768318567738,0.0003607184432598026,215
math500_Phi-4-mini-instruct,8,L2,0.8703602574750829,0.006737803070496828,43
math500_Phi-4-mini-instruct,8,L3,0.79984375,0.0055505257045589396,30
math500_Phi-4-mini-instruct,8,L4,0.46546344926859634,0.012797037167593667,51
math500_Phi-4-mini-instruct,8,L5,0.10325227887048538,0.004268163269665702,138
math500_Phi-4-mini-instruct,8,overall,0.6552049744600845,0.005372943941805311,477
math500_Phi-4-mini-instruct,16,L1,0.9941618217054263,0.00019319188020713485,215
math500_Phi-4-mini-instruct,16,L2,0.9058624031007754,0.004809755812565156,43
math500_Phi-4-mini-instruct,16,L3,0.8597685185185187,0.006971705750385557,30
math500_Phi-4-mini-instruct,16,L4,0.4985713799408653,0.00531127712845016,51
math500_Phi-4-mini-instruct,16,L5,0.10144198620421445,0.002653079256585314,138
math500_Phi-4-mini-instruct,16,overall,0.6664907023662919,0.0031955706928873113,477
math500_Phi-4-mini-instruct,32,L1,0.9945607235142117,0.0003197772295111354,215
math500_Phi-4-mini-instruct,32,L2,0.922141472868217,0.0032496654291046334,43
math500_Phi-4-mini-instruct,32,L3,0.9062268518518519,0.010517628010687221,30
math500_Phi-4-mini-instruct,32,L4,0.5306726579520699,0.005369343368283561,51
math500_Phi-4-mini-instruct,32,L5,0.11420020272601794,0.0027557471444883317,138
math500_Phi-4-mini-instruct,32,overall,0.6781831823400218,0.003637968948102118,477
math500_Phi-4-mini-instruct,64,L1,0.9951162790697675,9.728604959691989e-05,215
math500_Phi-4-mini-instruct,64,L2,0.9354166666666668,0.00127928997399733,43
math500_Phi-4-mini-instruct,64,L3,0.9261805555555557,0.003549419618702434,30
math500_Phi-4-mini-instruct,64,L4,0.5409313725490196,0.007073106464873645,51
math500_Phi-4-mini-instruct,64,L5,0.11156250000000001,0.002625765901863723,138
math500_Phi-4-mini-instruct,64,overall,0.6812189902166318,0.0028788577798838323,477
math500_Phi-4-mini-instruct,128,L1,0.9953488372093023,0.0,215
math500_Phi-4-mini-instruct,128,L2,0.9421996124031008,0.0027480797825821363,43
math500_Phi-4-mini-instruct,128,L3,0.9405324074074075,0.003314084080433199,30
math500_Phi-4-mini-instruct,128,L4,0.549537037037037,0.0023244385365262968,51
math500_Phi-4-mini-instruct,128,L5,0.11829961755233497,0.0026320540284528585,138
math500_Phi-4-mini-instruct,128,overall,0.685707110412299,0.0019883337030537403,477
math500_Phi-4-mini-instruct,256,L1,0.9953488372093023,0.0,215
math500_Phi-4-mini-instruct,256,L2,0.9492248062015505,0.0015011563357392873,43
math500_Phi-4-mini-instruct,256,L3,0.9502777777777779,0.004399073976628663,30
math500_Phi-4-mini-instruct,256,L4,0.5547657952069717,0.005644630645750425,51
math500_Phi-4-mini-instruct,256,L5,0.11532306763285023,0.0016624112077324557,138
math500_Phi-4-mini-instruct,256,overall,0.6866512345679012,0.0023720011247093833,477
