combo,N,stratum,equal_mix_mean,equal_mix_std6,n_pids
mathfull_Llama-3.2-3B,1,L1,0.9660277284389172,0.0011025562700433074,1689
mathfull_Llama-3.2-3B,1,L2,0.7048333333333332,0.0018755739862179141,375
mathfull_Llama-3.2-3B,1,L3,0.49698412698412686,0.003289584408898676,315
mathfull_Llama-3.2-3B,1,L4,0.2967261904761905,0.004389281781010955,476
mathfull_Llama-3.2-3B,1,L5,0.05092433771679056,0.0011720518568180695,1749
mathfull_Llama-3.2-3B,1,overall,0.49582790327251614,0.001996642798803229,4604
mathfull_Llama-3.2-3B,2,L1,0.9554951154529278,0.0005879025809271938,1689
mathfull_Llama-3.2-3B,2,L2,0.6962666666666668,0.004733051634809936,375
mathfull_Llama-3.2-3B,2,L3,0.5109920634920635,0.0013709728813771844,315
mathfull_Llama-3.2-3B,2,L4,0.32949492296918764,0.0028965903558951485,476
mathfull_Llama-3.2-3B,2,L5,0.06552553840289711,0.0005403326965105794,1749
mathfull_Llama-3.2-3B,2,overall,0.5011593179843604,0.0017488290428876074,4604
mathfull_Llama-3.2-3B,4,L1,0.9847941747253453,0.0003592038949638267,1689
mathfull_Llama-3.2-3B,4,L2,0.839422222222222,0.0029519045954672298,375
mathfull_Llama-3.2-3B,4,L3,0.6463062169312169,0.00437437032305708,315
mathfull_Llama-3.2-3B,4,L4,0.4264246323529412,0.0030840633357526043,476
mathfull_Llama-3.2-3B,4,L5,0.07805353058890796,0.0003891068422069948,1749
mathfull_Llama-3.2-3B,4,overall,0.5476066252775357,0.0017627157498258594,4604
mathfull_Llama-3.2-3B,8,L1,0.9909518552585818,0.00018712301176216774,1689
mathfull_Llama-3.2-3B,8,L2,0.9100391534391538,0.002008645996535467,375
mathfull_Llama-3.2-3B,8,L3,0.757008125472411,0.0030425206948995276,315
mathfull_Llama-3.2-3B,8,L4,0.5482864708383354,0.0033395495976207916,476
mathfull_Llama-3.2-3B,8,L5,0.11005272287111907,0.00043982338868542786,1749
mathfull_Llama-3.2-3B,8,overall,0.5879466763718226,0.0014836964564138252,4604
mathfull_Llama-3.2-3B,16,L1,0.9953076689033612,0.0002570791505914973,1689
mathfull_Llama-3.2-3B,16,L2,0.9517677777777781,0.0016089361564574477,375
mathfull_Llama-3.2-3B,16,L3,0.8225251772771612,0.003019032868808732,315
mathfull_Llama-3.2-3B,16,L4,0.6110672500352122,0.0022586606363873083,476
mathfull_Llama-3.2-3B,16,L5,0.11240475063445327,0.000690189123966839,1749
mathfull_Llama-3.2-3B,16,overall,0.6048103649355276,0.0012518411525124493,4604
mathfull_Llama-3.2-3B,32,L1,0.9960368561278862,0.00016832253928291075,1689
mathfull_Llama-3.2-3B,32,L2,0.9678074074074078,0.0010736442307194092,375
mathfull_Llama-3.2-3B,32,L3,0.8685710143765696,0.0018491519493352543,315
mathfull_Llama-3.2-3B,32,L4,0.6739570742134039,0.002927879051728088,476
mathfull_Llama-3.2-3B,32,L5,0.12720323150702098,0.00019780367424247322,1749
mathfull_Llama-3.2-3B,32,overall,0.621658539647645,0.0011132788074577633,4604
mathfull_Llama-3.2-3B,64,L1,0.9968336787053481,0.00010629919543674594,1689
mathfull_Llama-3.2-3B,64,L2,0.9773759259259257,0.0004057863371781173,375
mathfull_Llama-3.2-3B,64,L3,0.8892934303350969,0.0011148715707231323,315
mathfull_Llama-3.2-3B,64,L4,0.7025690901360546,0.0019469723667254802,476
mathfull_Llama-3.2-3B,64,L5,0.12149857480473926,0.0010018472376088852,1749
mathfull_Llama-3.2-3B,64,overall,0.6249390487292271,0.0009358438722041934,4604
mathfull_Llama-3.2-3B,128,L1,0.997031856456812,8.255110222116106e-05,1689
mathfull_Llama-3.2-3B,128,L2,0.9795148148148151,0.0007395583155219048,375
mathfull_Llama-3.2-3B,128,L3,0.9023445767195765,0.0007292157807786916,315
mathfull_Llama-3.2-3B,128,L4,0.7293132878151259,0.0015988786092626403,476
mathfull_Llama-3.2-3B,128,L5,0.12366479257988698,0.0006275794903782686,1749
mathfull_Llama-3.2-3B,128,overall,0.6296668657688966,0.0007052343457599348,4604
mathfull_Llama-3.2-3B,256,L1,0.9971926189066509,6.377894474265516e-05,1689
mathfull_Llama-3.2-3B,256,L2,0.9820777777777777,0.0006524029656812469,375
mathfull_Llama-3.2-3B,256,L3,0.909510582010582,0.0015036837831788237,315
mathfull_Llama-3.2-3B,256,L4,0.7409021942110178,0.00165129802231705,476
mathfull_Llama-3.2-3B,256,L5,0.1212234372022108,0.00036867545723379374,1749
mathfull_Llama-3.2-3B,256,overall,0.6306956058741192,0.0007241630775905433,4604
