combo,N,stratum,equal_mix_mean,equal_mix_std6,n_pids
mathfull_Qwen2.5-3B,1,L1,0.9773066298342511,0.000507323866081581,2715
mathfull_Qwen2.5-3B,1,L2,0.6975260416666668,0.0038851426260596623,384
mathfull_Qwen2.5-3B,1,L3,0.5058731513083048,0.0017795097690957906,293
mathfull_Qwen2.5-3B,1,L4,0.29809556786703595,0.0027772587117093385,361
mathfull_Qwen2.5-3B,1,L5,0.05588163064832991,0.0011200959197680215,1018
mathfull_Qwen2.5-3B,1,overall,0.6778365821281335,0.0015514973836158832,4771
mathfull_Qwen2.5-3B,2,L1,0.9694221915285454,0.00022614752608297463,2715
mathfull_Qwen2.5-3B,2,L2,0.6966471354166667,0.002201830231729583,384
mathfull_Qwen2.5-3B,2,L3,0.5216723549488055,0.0039297343904997175,293
mathfull_Qwen2.5-3B,2,L4,0.32817405355494,0.0023210985126587555,361
mathfull_Qwen2.5-3B,2,L5,0.07315815324165037,0.0005842523208924804,1018
mathfull_Qwen2.5-3B,2,overall,0.6802116083280935,0.0013594751667392595,4771
mathfull_Qwen2.5-3B,4,L1,0.9907187436054841,0.00017179116077162645,2715
mathfull_Qwen2.5-3B,4,L2,0.8428864655671299,0.0024543000009185282,384
mathfull_Qwen2.5-3B,4,L3,0.6616929749715587,0.0023840313768160493,293
mathfull_Qwen2.5-3B,4,L4,0.4217826638965836,0.002944163096071469,361
mathfull_Qwen2.5-3B,4,L5,0.08549068161973371,0.0005512023181779581,1018
mathfull_Qwen2.5-3B,4,overall,0.7224143552481428,0.001253538747782512,4771
mathfull_Qwen2.5-3B,8,L1,0.9954458877780699,0.00023269541952829968,2715
mathfull_Qwen2.5-3B,8,L2,0.9075597692418985,0.00292671883596838,384
mathfull_Qwen2.5-3B,8,L3,0.760267586272279,0.003417350606697419,293
mathfull_Qwen2.5-3B,8,L4,0.540288165589412,0.002509630425814928,361
mathfull_Qwen2.5-3B,8,L5,0.11769152769981615,0.0009460018003788797,1018
mathfull_Qwen2.5-3B,8,overall,0.7522009940180919,0.001450840776488804,4771
mathfull_Qwen2.5-3B,16,L1,0.9979771587886228,5.543675904241785e-05,2715
mathfull_Qwen2.5-3B,16,L2,0.9428030960648153,0.0018565322785876151,384
mathfull_Qwen2.5-3B,16,L3,0.826510229949863,0.004391072268040391,293
mathfull_Qwen2.5-3B,16,L4,0.5964872893214307,0.001746762985975186,361
mathfull_Qwen2.5-3B,16,L5,0.11927223571946692,0.0011926485623207,1018
mathfull_Qwen2.5-3B,16,overall,0.7651358037691812,0.0014133874739256811,4771
mathfull_Qwen2.5-3B,32,L1,0.9984492019643952,6.53980635067689e-05,2715
mathfull_Qwen2.5-3B,32,L2,0.9575551576967597,0.0004332188733139135,384
mathfull_Qwen2.5-3B,32,L3,0.8644235874099354,0.002174530209772356,293
mathfull_Qwen2.5-3B,32,L4,0.6577825627779611,0.0031807403835524732,361
mathfull_Qwen2.5-3B,32,L5,0.13318561410830956,0.0010391627563709435,1018
mathfull_Qwen2.5-3B,32,overall,0.7765267942412708,0.0011418679872541998,4771
mathfull_Qwen2.5-3B,64,L1,0.9987499999999999,4.442372986399585e-05,2715
mathfull_Qwen2.5-3B,64,L2,0.965375434027778,0.0008167048923257086,384
mathfull_Qwen2.5-3B,64,L3,0.8870046454304132,0.0018254294002172915,293
mathfull_Qwen2.5-3B,64,L4,0.6898062041067581,0.0021327045268251413,361
mathfull_Qwen2.5-3B,64,L5,0.13490178048670232,0.0013668409453980227,1018
mathfull_Qwen2.5-3B,64,overall,0.7815034227616392,0.0010011193146362825,4771
mathfull_Qwen2.5-3B,128,L1,0.9987407918968693,7.047357829947549e-05,2715
mathfull_Qwen2.5-3B,128,L2,0.9673502604166666,0.0008237671139524623,384
mathfull_Qwen2.5-3B,128,L3,0.8946861964353431,0.0008501873003353342,293
mathfull_Qwen2.5-3B,128,L4,0.712070060018467,0.00230753605042446,361
mathfull_Qwen2.5-3B,128,L5,0.1393511778074033,0.0015371647484733986,1018
mathfull_Qwen2.5-3B,128,overall,0.7847628581492683,0.0010044421810143122,4771
mathfull_Qwen2.5-3B,256,L1,0.9987239103744628,5.088813576301446e-05,2715
mathfull_Qwen2.5-3B,256,L2,0.9696560329861112,0.0004549922737828744,384
mathfull_Qwen2.5-3B,256,L3,0.8979071861964353,0.001436232572571226,293
mathfull_Qwen2.5-3B,256,L4,0.722822406894429,0.0015686383983324096,361
mathfull_Qwen2.5-3B,256,L5,0.1393976478934731,0.0006586210036039319,1018
mathfull_Qwen2.5-3B,256,overall,0.7859601411304408,0.0006508127157717822,4771
