model,dataset,stratum,N,equal_mix_mean,equal_mix_std6,n_pids
Llama-3.2-3B,gsm8kfull,L1,1,0.9843923418423982,0.0004937865422091,901
Llama-3.2-3B,gsm8kfull,L1,2,0.9740612282648904,0.000520554236458,901
Llama-3.2-3B,gsm8kfull,L1,4,0.98819136145024,0.0004200631928633,901
Llama-3.2-3B,gsm8kfull,L1,8,0.9917830496978662,0.0001933660502319,901
Llama-3.2-3B,gsm8kfull,L1,16,0.995021735109138,9.164197030142794e-05,901
Llama-3.2-3B,gsm8kfull,L1,32,0.995135035146134,0.0001221075890829,901
Llama-3.2-3B,gsm8kfull,L1,64,0.995655290418054,5.508776656522825e-05,901
Llama-3.2-3B,gsm8kfull,L1,128,0.9957315945246022,0.0001931687162427,901
Llama-3.2-3B,gsm8kfull,L1,256,0.9957177210506843,0.0001182640755876,901
Llama-3.2-3B,gsm8kfull,L2,1,0.7193548387096774,0.007280431485995,62
Llama-3.2-3B,gsm8kfull,L2,2,0.694220430107527,0.0055940466224011,62
Llama-3.2-3B,gsm8kfull,L2,4,0.8144377240143369,0.0041289190826036,62
Llama-3.2-3B,gsm8kfull,L2,8,0.8738083237327189,0.0044232461416345,62
Llama-3.2-3B,gsm8kfull,L2,16,0.9206395609318996,0.0028645605048018,62
Llama-3.2-3B,gsm8kfull,L2,32,0.9352598566308244,0.0008851259741605,62
Llama-3.2-3B,gsm8kfull,L2,64,0.9454301075268816,0.0014961072160585,62
Llama-3.2-3B,gsm8kfull,L2,128,0.9492271505376344,0.0007588433999083,62
Llama-3.2-3B,gsm8kfull,L2,256,0.9521505376344086,0.0027218986431126,62
Llama-3.2-3B,gsm8kfull,L3,1,0.5061631944444446,0.0125018083182734,48
Llama-3.2-3B,gsm8kfull,L3,2,0.5282118055555555,0.007525395853683,48
Llama-3.2-3B,gsm8kfull,L3,4,0.6634910300925926,0.0065905609111724,48
Llama-3.2-3B,gsm8kfull,L3,8,0.7840857514880953,0.0082234794135764,48
Llama-3.2-3B,gsm8kfull,L3,16,0.8482581018518519,0.0047209763555994,48
Llama-3.2-3B,gsm8kfull,L3,32,0.8742621527777779,0.0056400235542518,48
Llama-3.2-3B,gsm8kfull,L3,64,0.8871093750000001,0.0077425008365074,48
Llama-3.2-3B,gsm8kfull,L3,128,0.8974681712962963,0.0045260309005895,48
Llama-3.2-3B,gsm8kfull,L3,256,0.9028211805555556,0.0038003587222556,48
Llama-3.2-3B,gsm8kfull,L4,1,0.3023076923076923,0.0105947402379698,65
Llama-3.2-3B,gsm8kfull,L4,2,0.3506089743589743,0.0087362882138483,65
Llama-3.2-3B,gsm8kfull,L4,4,0.4614155982905982,0.0065527563907122,65
Llama-3.2-3B,gsm8kfull,L4,8,0.6194290293040294,0.007718026824761,65
Llama-3.2-3B,gsm8kfull,L4,16,0.6725317760942762,0.0044187795750511,65
Llama-3.2-3B,gsm8kfull,L4,32,0.7437206959706959,0.0027338141400451,65
