model,dataset,stratum,level_n_problems,N,T,mean_acc,std_acc,source,dataset_family
Llama-3.2-3B,gsm8kfull,L1,901,1,0.1,0.983,0.005,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,1,0.2,0.963,0.007,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,1,0.3,0.954,0.006,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,1,0.4,0.942,0.006,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,1,0.5,0.929,0.006,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,1,0.6,0.924,0.005,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,1,0.7,0.914,0.005,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,1,0.8,0.89,0.006,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,1,0.9,0.886,0.007,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,1,1.0,0.862,0.008,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,1,1.1,0.824,0.007,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,1,1.2,0.722,0.007,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,2,0.1,0.983,0.005,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,2,0.2,0.963,0.007,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,2,0.3,0.954,0.006,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,2,0.4,0.942,0.006,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,2,0.5,0.929,0.006,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,2,0.6,0.924,0.005,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,2,0.7,0.914,0.005,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,2,0.8,0.89,0.006,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,2,0.9,0.886,0.007,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,2,1.0,0.862,0.008,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,2,1.1,0.824,0.007,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,2,1.2,0.722,0.007,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,4,0.1,0.996,0.002,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,4,0.2,0.989,0.003,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,4,0.3,0.982,0.003,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,4,0.4,0.98,0.003,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,4,0.5,0.974,0.003,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,4,0.6,0.973,0.005,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,4,0.7,0.967,0.005,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,4,0.8,0.96,0.005,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,4,0.9,0.953,0.007,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,4,1.0,0.952,0.007,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,4,1.1,0.929,0.006,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,4,1.2,0.842,0.01,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,8,0.1,0.999,0.001,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,8,0.2,0.997,0.001,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,8,0.3,0.993,0.002,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,8,0.4,0.99,0.003,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,8,0.5,0.987,0.002,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,8,0.6,0.987,0.002,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,8,0.7,0.984,0.003,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,8,0.8,0.981,0.004,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,8,0.9,0.979,0.004,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L1,901,8,1.0,0.977,0.002,markdown,gsm8kfull
