model,dataset,stratum,level_n_problems,N,T,mean_acc,std_acc,source
Phi-4-mini-instruct,aime2023,L1,1,1,0.1,0.833,0.373,markdown
Phi-4-mini-instruct,aime2023,L1,1,1,0.2,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,1,0.3,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,1,0.4,0.833,0.373,markdown
Phi-4-mini-instruct,aime2023,L1,1,1,0.5,0.667,0.471,markdown
Phi-4-mini-instruct,aime2023,L1,1,1,0.6,0.667,0.471,markdown
Phi-4-mini-instruct,aime2023,L1,1,1,0.7,0.833,0.373,markdown
Phi-4-mini-instruct,aime2023,L1,1,1,0.8,0.667,0.471,markdown
Phi-4-mini-instruct,aime2023,L1,1,1,0.9,0.667,0.471,markdown
Phi-4-mini-instruct,aime2023,L1,1,1,1.0,0.667,0.471,markdown
Phi-4-mini-instruct,aime2023,L1,1,1,1.1,0.667,0.471,markdown
Phi-4-mini-instruct,aime2023,L1,1,1,1.2,0.667,0.471,markdown
Phi-4-mini-instruct,aime2023,L1,1,2,0.1,0.833,0.373,markdown
Phi-4-mini-instruct,aime2023,L1,1,2,0.2,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,2,0.3,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,2,0.4,0.833,0.373,markdown
Phi-4-mini-instruct,aime2023,L1,1,2,0.5,0.667,0.471,markdown
Phi-4-mini-instruct,aime2023,L1,1,2,0.6,0.667,0.471,markdown
Phi-4-mini-instruct,aime2023,L1,1,2,0.7,0.833,0.373,markdown
Phi-4-mini-instruct,aime2023,L1,1,2,0.8,0.667,0.471,markdown
Phi-4-mini-instruct,aime2023,L1,1,2,0.9,0.667,0.471,markdown
Phi-4-mini-instruct,aime2023,L1,1,2,1.0,0.667,0.471,markdown
Phi-4-mini-instruct,aime2023,L1,1,2,1.1,0.667,0.471,markdown
Phi-4-mini-instruct,aime2023,L1,1,2,1.2,0.667,0.471,markdown
Phi-4-mini-instruct,aime2023,L1,1,4,0.1,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,4,0.2,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,4,0.3,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,4,0.4,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,4,0.5,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,4,0.6,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,4,0.7,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,4,0.8,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,4,0.9,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,4,1.0,0.833,0.373,markdown
Phi-4-mini-instruct,aime2023,L1,1,4,1.1,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,4,1.2,0.667,0.471,markdown
Phi-4-mini-instruct,aime2023,L1,1,8,0.1,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,8,0.2,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,8,0.3,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,8,0.4,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,8,0.5,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,8,0.6,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,8,0.7,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,8,0.8,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,8,0.9,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,8,1.0,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,8,1.1,0.667,0.471,markdown
Phi-4-mini-instruct,aime2023,L1,1,8,1.2,0.667,0.471,markdown
Phi-4-mini-instruct,aime2023,L1,1,16,0.1,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,16,0.2,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,16,0.3,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,16,0.4,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,16,0.5,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,16,0.6,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,16,0.7,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,16,0.8,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,16,0.9,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,16,1.0,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,16,1.1,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,16,1.2,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,32,0.1,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,32,0.2,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,32,0.3,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,32,0.4,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,32,0.5,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,32,0.6,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,32,0.7,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,32,0.8,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,32,0.9,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,32,1.0,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,32,1.1,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,32,1.2,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,64,0.1,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,64,0.2,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,64,0.3,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,64,0.4,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,64,0.5,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,64,0.6,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,64,0.7,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,64,0.8,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,64,0.9,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,64,1.0,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,64,1.1,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,64,1.2,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,128,0.1,1.0,0.0,markdown
Phi-4-mini-instruct,aime2023,L1,1,128,0.2,1.0,0.0,markdown
