combo,baseline,N,stratum,mean,std6,n_pids
aime2024_Qwen2.5-3B,T1.0,1,L1,0.4000000059604645,0.03872984269598603,1
aime2024_Qwen2.5-3B,T1.0,1,L2,,,0
aime2024_Qwen2.5-3B,T1.0,1,L3,0.38750000298023224,0.13299436784144833,1
aime2024_Qwen2.5-3B,T1.0,1,L4,0.08750000068296988,0.04107919174487328,1
aime2024_Qwen2.5-3B,T1.0,1,L5,0.016145833612730105,0.00351707153823853,16
aime2024_Qwen2.5-3B,T1.0,1,overall,0.05964912354880781,0.03330316822489365,19
aime2024_Qwen2.5-3B,T0.1,1,L1,0.9083333313465118,0.04082481931299118,1
aime2024_Qwen2.5-3B,T0.1,1,L2,,,0
aime2024_Qwen2.5-3B,T0.1,1,L3,0.4375,0.051841102808442015,1
aime2024_Qwen2.5-3B,T0.1,1,L4,0.20416666691501936,0.08720187014934759,1
aime2024_Qwen2.5-3B,T0.1,1,L5,0.03020833384168024,0.004034357874730873,16
aime2024_Qwen2.5-3B,T0.1,1,overall,0.10701754419623237,0.025359259354596344,19
aime2024_Qwen2.5-3B,random_T,1,L1,0.5791666756073633,0.09140113984737394,1
aime2024_Qwen2.5-3B,random_T,1,L2,,,0
aime2024_Qwen2.5-3B,random_T,1,L3,0.5166666656732559,0.08612008079262713,1
aime2024_Qwen2.5-3B,random_T,1,L4,0.11250000074505806,0.06846531778374869,1
aime2024_Qwen2.5-3B,random_T,1,L5,0.025260417120686423,0.0060448087630145895,16
aime2024_Qwen2.5-3B,random_T,1,overall,0.08486842189245579,0.0332794956851182,19
aime2024_Qwen2.5-3B,equal_mix,1,L1,0.9125,0.037914377220257756,1
aime2024_Qwen2.5-3B,equal_mix,1,L2,,,0
aime2024_Qwen2.5-3B,equal_mix,1,L3,0.425,0.0987420882906575,1
aime2024_Qwen2.5-3B,equal_mix,1,L4,0.1958333333333333,0.05791516784631351,1
aime2024_Qwen2.5-3B,equal_mix,1,L5,0.03385416666666668,0.003784562942621866,16
aime2024_Qwen2.5-3B,equal_mix,1,overall,0.10921052631578948,0.027882113992697084,19
aime2024_Qwen2.5-3B,T1.0,2,L1,0.38750000298023224,0.049371048370807885,1
aime2024_Qwen2.5-3B,T1.0,2,L2,,,0
