combo,baseline,N,stratum,mean,std6,n_pids
aime2025_Qwen3-4B-Instruct-2507,T1.0,1,L1,0.9107142906813395,0.015649221797372152,7
aime2025_Qwen3-4B-Instruct-2507,T1.0,1,L2,,,0
aime2025_Qwen3-4B-Instruct-2507,T1.0,1,L3,0.39791666467984516,0.06195596077527436,2
aime2025_Qwen3-4B-Instruct-2507,T1.0,1,L4,0.17916666467984518,0.033229002349272,1
aime2025_Qwen3-4B-Instruct-2507,T1.0,1,L5,0.030681818667234795,0.009062455551370576,11
aime2025_Qwen3-4B-Instruct-2507,T1.0,1,overall,0.36607143019754734,0.023298216624139844,21
aime2025_Qwen3-4B-Instruct-2507,T0.1,1,L1,0.9434523837906973,0.01182712682199208,7
aime2025_Qwen3-4B-Instruct-2507,T0.1,1,L2,,,0
aime2025_Qwen3-4B-Instruct-2507,T0.1,1,L3,0.4854166656732559,0.05613413485086996,2
aime2025_Qwen3-4B-Instruct-2507,T0.1,1,L4,0.25,0.052440440703584223,1
aime2025_Qwen3-4B-Instruct-2507,T0.1,1,L5,0.03143939469009638,0.007102651650623114,11
aime2025_Qwen3-4B-Instruct-2507,T0.1,1,overall,0.3890873028320216,0.022452248566269876,21
aime2025_Qwen3-4B-Instruct-2507,random_T,1,L1,0.9238095311891464,0.010753899299347365,7
aime2025_Qwen3-4B-Instruct-2507,random_T,1,L2,,,0
aime2025_Qwen3-4B-Instruct-2507,random_T,1,L3,0.4416666701436043,0.07187952714981558,2
aime2025_Qwen3-4B-Instruct-2507,random_T,1,L4,0.22500000024835268,0.06324555355677977,1
aime2025_Qwen3-4B-Instruct-2507,random_T,1,L5,0.0318181820665345,0.007468943716594202,11
aime2025_Qwen3-4B-Instruct-2507,random_T,1,overall,0.37738095531387933,0.02739177289148048,21
aime2025_Qwen3-4B-Instruct-2507,equal_mix,1,L1,0.9410714285714286,0.012926400764895622,7
aime2025_Qwen3-4B-Instruct-2507,equal_mix,1,L2,,,0
aime2025_Qwen3-4B-Instruct-2507,equal_mix,1,L3,0.5,0.03622844186547362,2
aime2025_Qwen3-4B-Instruct-2507,equal_mix,1,L4,0.2333333333333333,0.06055300708194983,1
aime2025_Qwen3-4B-Instruct-2507,equal_mix,1,L5,0.02840909090909091,0.005882808684338541,11
aime2025_Qwen3-4B-Instruct-2507,equal_mix,1,overall,0.38730158730158726,0.01932428935672526,21
aime2025_Qwen3-4B-Instruct-2507,T1.0,2,L1,0.9321428622518266,0.005050760916469531,7
aime2025_Qwen3-4B-Instruct-2507,T1.0,2,L2,,,0
aime2025_Qwen3-4B-Instruct-2507,T1.0,2,L3,0.4114583333333333,0.05220402282807584,2
aime2025_Qwen3-4B-Instruct-2507,T1.0,2,L4,0.16458333532015482,0.026712200801015027,1
aime2025_Qwen3-4B-Instruct-2507,T1.0,2,L5,0.03920454581296354,0.004112946184947774,11
aime2025_Qwen3-4B-Instruct-2507,T1.0,2,overall,0.37827381150915274,0.01763210351396764,21
aime2025_Qwen3-4B-Instruct-2507,T0.1,2,L1,0.9422619087355478,0.006838763424914105,7
aime2025_Qwen3-4B-Instruct-2507,T0.1,2,L2,,,0
aime2025_Qwen3-4B-Instruct-2507,T0.1,2,L3,0.5645833338300387,0.0365860883109727,2
aime2025_Qwen3-4B-Instruct-2507,T0.1,2,L4,0.25,0.0467707221136782,1
aime2025_Qwen3-4B-Instruct-2507,T0.1,2,L5,0.030871212299010065,0.006323602482973368,11
aime2025_Qwen3-4B-Instruct-2507,T0.1,2,overall,0.3959325411475249,0.01637627841769981,21
aime2025_Qwen3-4B-Instruct-2507,random_T,2,L1,0.922916673478626,0.006908359175812187,7
aime2025_Qwen3-4B-Instruct-2507,random_T,2,L2,,,0
aime2025_Qwen3-4B-Instruct-2507,random_T,2,L3,0.4802083298563957,0.048156100708481274,2
aime2025_Qwen3-4B-Instruct-2507,random_T,2,L4,0.22708333532015482,0.02895758375162845,1
aime2025_Qwen3-4B-Instruct-2507,random_T,2,L5,0.03655303072071437,0.004396224792006307,11
aime2025_Qwen3-4B-Instruct-2507,random_T,2,overall,0.383333335586247,0.016935781267254302,21
aime2025_Qwen3-4B-Instruct-2507,equal_mix,2,L1,0.9416666666666668,0.014315445252911813,7
aime2025_Qwen3-4B-Instruct-2507,equal_mix,2,L2,,,0
aime2025_Qwen3-4B-Instruct-2507,equal_mix,2,L3,0.5552083333333333,0.015520483776824311,2
aime2025_Qwen3-4B-Instruct-2507,equal_mix,2,L4,0.2604166666666667,0.054438420868598555,1
aime2025_Qwen3-4B-Instruct-2507,equal_mix,2,L5,0.03238636363636364,0.004049665836637606,11
aime2025_Qwen3-4B-Instruct-2507,equal_mix,2,overall,0.3961309523809525,0.015522999889252714,21
aime2025_Qwen3-4B-Instruct-2507,T1.0,4,L1,0.9760912699358805,0.012266335344598886,7
aime2025_Qwen3-4B-Instruct-2507,T1.0,4,L2,,,0
aime2025_Qwen3-4B-Instruct-2507,T1.0,4,L3,0.5611111174027125,0.03493337508682038,2
aime2025_Qwen3-4B-Instruct-2507,T1.0,4,L4,0.15868056192994118,0.041087992106390685,1
aime2025_Qwen3-4B-Instruct-2507,T1.0,4,L5,0.03374368808881351,0.006228056325344384,11
aime2025_Qwen3-4B-Instruct-2507,T1.0,4,overall,0.40403439310778466,0.016342787700446487,21
aime2025_Qwen3-4B-Instruct-2507,T0.1,4,L1,0.9901785708609082,0.0025253843718705993,7
aime2025_Qwen3-4B-Instruct-2507,T0.1,4,L2,,,0
aime2025_Qwen3-4B-Instruct-2507,T0.1,4,L3,0.7161458233992258,0.07186971174472176,2
aime2025_Qwen3-4B-Instruct-2507,T0.1,4,L4,0.3923611243565877,0.10413054026022733,1
aime2025_Qwen3-4B-Instruct-2507,T0.1,4,L5,0.03263888997731335,0.007688244112888946,11
aime2025_Qwen3-4B-Instruct-2507,T0.1,4,overall,0.43404431223484974,0.0322700829930452,21
aime2025_Qwen3-4B-Instruct-2507,random_T,4,L1,0.9785714291390918,0.006240072107169811,7
aime2025_Qwen3-4B-Instruct-2507,random_T,4,L2,,,0
aime2025_Qwen3-4B-Instruct-2507,random_T,4,L3,0.5986111064751943,0.03426224329953773,2
aime2025_Qwen3-4B-Instruct-2507,random_T,4,L4,0.2656250074505806,0.04994354505952399,1
aime2025_Qwen3-4B-Instruct-2507,random_T,4,L5,0.04018308222999401,0.0055417288485307085,11
aime2025_Qwen3-4B-Instruct-2507,random_T,4,overall,0.4168981489954546,0.01611350833662168,21
aime2025_Qwen3-4B-Instruct-2507,equal_mix,4,L1,0.9893353174603176,0.00709162346672481,7
aime2025_Qwen3-4B-Instruct-2507,equal_mix,4,L2,,,0
aime2025_Qwen3-4B-Instruct-2507,equal_mix,4,L3,0.6942708333333333,0.03175802337380449,2
aime2025_Qwen3-4B-Instruct-2507,equal_mix,4,L4,0.37013888888888885,0.11431913987054286,1
aime2025_Qwen3-4B-Instruct-2507,equal_mix,4,L5,0.039993686868686866,0.0025534255456427747,11
aime2025_Qwen3-4B-Instruct-2507,equal_mix,4,overall,0.4344742063492064,0.027176466976576604,21
aime2025_Qwen3-4B-Instruct-2507,T1.0,8,L1,0.9976190498897007,0.0018442760250679227,7
aime2025_Qwen3-4B-Instruct-2507,T1.0,8,L2,,,0
aime2025_Qwen3-4B-Instruct-2507,T1.0,8,L3,0.6770932525396347,0.03549465907203735,2
aime2025_Qwen3-4B-Instruct-2507,T1.0,8,L4,0.19510417183240256,0.09402310342064209,1
aime2025_Qwen3-4B-Instruct-2507,T1.0,8,L5,0.03694760127726829,0.005179530234303493,11
aime2025_Qwen3-4B-Instruct-2507,T1.0,8,overall,0.4256689352471204,0.023582679245636708,21
aime2025_Qwen3-4B-Instruct-2507,T0.1,8,L1,0.9985119061810629,0.0023734979789986252,7
aime2025_Qwen3-4B-Instruct-2507,T0.1,8,L2,,,0
aime2025_Qwen3-4B-Instruct-2507,T0.1,8,L3,0.8676091382900873,0.045018039136894825,2
aime2025_Qwen3-4B-Instruct-2507,T0.1,8,L4,0.4326140781243642,0.11987296784475328,1
aime2025_Qwen3-4B-Instruct-2507,T0.1,8,L5,0.03267406203050279,0.0055201582816967725,11
aime2025_Qwen3-4B-Instruct-2507,T0.1,8,overall,0.4531823990622623,0.029918463948642195,21
aime2025_Qwen3-4B-Instruct-2507,random_T,8,L1,0.9964285719962348,0.003388154994917417,7
aime2025_Qwen3-4B-Instruct-2507,random_T,8,L2,,,0
aime2025_Qwen3-4B-Instruct-2507,random_T,8,L3,0.7364781747261683,0.035582497138708466,2
aime2025_Qwen3-4B-Instruct-2507,random_T,8,L4,0.28940972437461215,0.04227891940526638,1
aime2025_Qwen3-4B-Instruct-2507,random_T,8,L5,0.04092577579925119,0.007187730323111266,11
aime2025_Qwen3-4B-Instruct-2507,random_T,8,overall,0.43750236245677876,0.015381483194307422,21
aime2025_Qwen3-4B-Instruct-2507,equal_mix,8,L1,0.9970238095238096,0.0026884737596752795,7
aime2025_Qwen3-4B-Instruct-2507,equal_mix,8,L2,,,0
aime2025_Qwen3-4B-Instruct-2507,equal_mix,8,L3,0.7870659722222223,0.02103655225247941,2
aime2025_Qwen3-4B-Instruct-2507,equal_mix,8,L4,0.3999007936507937,0.10795290127026776,1
aime2025_Qwen3-4B-Instruct-2507,equal_mix,8,L5,0.04088383838383838,0.008300428667626336,11
aime2025_Qwen3-4B-Instruct-2507,equal_mix,8,overall,0.4477581727135299,0.025210887169025375,21
aime2025_Qwen3-4B-Instruct-2507,T1.0,16,L1,0.9988095249448503,0.0014580282183141073,7
aime2025_Qwen3-4B-Instruct-2507,T1.0,16,L2,,,0
aime2025_Qwen3-4B-Instruct-2507,T1.0,16,L3,0.8114583392937978,0.020822907024337842,2
aime2025_Qwen3-4B-Instruct-2507,T1.0,16,L4,0.0989583358168602,0.0535501790585551,1
aime2025_Qwen3-4B-Instruct-2507,T1.0,16,L5,0.028916245527480813,0.004424889952006167,11
