combo,baseline,N,stratum,mean,std6,n_pids
aime2026_Phi-4-mini-instruct,T1.0,1,L1,,,0
aime2026_Phi-4-mini-instruct,T1.0,1,L2,,,0
aime2026_Phi-4-mini-instruct,T1.0,1,L3,,,0
aime2026_Phi-4-mini-instruct,T1.0,1,L4,,,0
aime2026_Phi-4-mini-instruct,T1.0,1,L5,0.04583333328253392,0.006805544015910191,11
aime2026_Phi-4-mini-instruct,T1.0,1,overall,0.04583333328253392,0.006805544015910191,11
aime2026_Phi-4-mini-instruct,T0.1,1,L1,,,0
aime2026_Phi-4-mini-instruct,T0.1,1,L2,,,0
aime2026_Phi-4-mini-instruct,T0.1,1,L3,,,0
aime2026_Phi-4-mini-instruct,T0.1,1,L4,,,0
aime2026_Phi-4-mini-instruct,T0.1,1,L5,0.0378787884714477,0.009713527566646573,11
aime2026_Phi-4-mini-instruct,T0.1,1,overall,0.0378787884714477,0.009713527566646573,11
aime2026_Phi-4-mini-instruct,random_T,1,L1,,,0
aime2026_Phi-4-mini-instruct,random_T,1,L2,,,0
aime2026_Phi-4-mini-instruct,random_T,1,L3,,,0
aime2026_Phi-4-mini-instruct,random_T,1,L4,,,0
aime2026_Phi-4-mini-instruct,random_T,1,L5,0.05681818252372922,0.00813115636511746,11
aime2026_Phi-4-mini-instruct,random_T,1,overall,0.056818182523729215,0.00813115636511746,11
aime2026_Phi-4-mini-instruct,equal_mix,1,L1,,,0
aime2026_Phi-4-mini-instruct,equal_mix,1,L2,,,0
aime2026_Phi-4-mini-instruct,equal_mix,1,L3,,,0
aime2026_Phi-4-mini-instruct,equal_mix,1,L4,,,0
aime2026_Phi-4-mini-instruct,equal_mix,1,L5,0.04280303030303031,0.003345363964518125,11
aime2026_Phi-4-mini-instruct,equal_mix,1,overall,0.04280303030303031,0.003345363964518125,11
aime2026_Phi-4-mini-instruct,T1.0,2,L1,,,0
aime2026_Phi-4-mini-instruct,T1.0,2,L2,,,0
aime2026_Phi-4-mini-instruct,T1.0,2,L3,,,0
aime2026_Phi-4-mini-instruct,T1.0,2,L4,,,0
aime2026_Phi-4-mini-instruct,T1.0,2,L5,0.04962121214096745,0.0076623835490929135,11
aime2026_Phi-4-mini-instruct,T1.0,2,overall,0.04962121214096746,0.0076623835490929135,11
aime2026_Phi-4-mini-instruct,T0.1,2,L1,,,0
aime2026_Phi-4-mini-instruct,T0.1,2,L2,,,0
aime2026_Phi-4-mini-instruct,T0.1,2,L3,,,0
aime2026_Phi-4-mini-instruct,T0.1,2,L4,,,0
aime2026_Phi-4-mini-instruct,T0.1,2,L5,0.04299242455850948,0.00539822609943989,11
aime2026_Phi-4-mini-instruct,T0.1,2,overall,0.04299242455850948,0.00539822609943989,11
aime2026_Phi-4-mini-instruct,random_T,2,L1,,,0
aime2026_Phi-4-mini-instruct,random_T,2,L2,,,0
aime2026_Phi-4-mini-instruct,random_T,2,L3,,,0
aime2026_Phi-4-mini-instruct,random_T,2,L4,,,0
aime2026_Phi-4-mini-instruct,random_T,2,L5,0.04640151532084653,0.007919294027852655,11
aime2026_Phi-4-mini-instruct,random_T,2,overall,0.04640151532084653,0.007919294027852655,11
aime2026_Phi-4-mini-instruct,equal_mix,2,L1,,,0
aime2026_Phi-4-mini-instruct,equal_mix,2,L2,,,0
aime2026_Phi-4-mini-instruct,equal_mix,2,L3,,,0
aime2026_Phi-4-mini-instruct,equal_mix,2,L4,,,0
aime2026_Phi-4-mini-instruct,equal_mix,2,L5,0.053409090909090906,0.008947736220467963,11
aime2026_Phi-4-mini-instruct,equal_mix,2,overall,0.0534090909090909,0.008947736220467963,11
aime2026_Phi-4-mini-instruct,T1.0,4,L1,,,0
aime2026_Phi-4-mini-instruct,T1.0,4,L2,,,0
aime2026_Phi-4-mini-instruct,T1.0,4,L3,,,0
aime2026_Phi-4-mini-instruct,T1.0,4,L4,,,0
aime2026_Phi-4-mini-instruct,T1.0,4,L5,0.0470328293035202,0.00334679348729834,11
aime2026_Phi-4-mini-instruct,T1.0,4,overall,0.0470328293035202,0.00334679348729834,11
aime2026_Phi-4-mini-instruct,T0.1,4,L1,,,0
aime2026_Phi-4-mini-instruct,T0.1,4,L2,,,0
aime2026_Phi-4-mini-instruct,T0.1,4,L3,,,0
aime2026_Phi-4-mini-instruct,T0.1,4,L4,,,0
aime2026_Phi-4-mini-instruct,T0.1,4,L5,0.05088384073425197,0.005056026601605217,11
aime2026_Phi-4-mini-instruct,T0.1,4,overall,0.05088384073425198,0.005056026601605217,11
aime2026_Phi-4-mini-instruct,random_T,4,L1,,,0
aime2026_Phi-4-mini-instruct,random_T,4,L2,,,0
aime2026_Phi-4-mini-instruct,random_T,4,L3,,,0
aime2026_Phi-4-mini-instruct,random_T,4,L4,,,0
aime2026_Phi-4-mini-instruct,random_T,4,L5,0.06464646583084356,0.00503184847741956,11
aime2026_Phi-4-mini-instruct,random_T,4,overall,0.06464646583084356,0.005031848477419559,11
aime2026_Phi-4-mini-instruct,equal_mix,4,L1,,,0
aime2026_Phi-4-mini-instruct,equal_mix,4,L2,,,0
aime2026_Phi-4-mini-instruct,equal_mix,4,L3,,,0
aime2026_Phi-4-mini-instruct,equal_mix,4,L4,,,0
aime2026_Phi-4-mini-instruct,equal_mix,4,L5,0.06480429292929292,0.009098337137885418,11
aime2026_Phi-4-mini-instruct,equal_mix,4,overall,0.06480429292929292,0.009098337137885418,11
aime2026_Phi-4-mini-instruct,T1.0,8,L1,,,0
aime2026_Phi-4-mini-instruct,T1.0,8,L2,,,0
aime2026_Phi-4-mini-instruct,T1.0,8,L3,,,0
aime2026_Phi-4-mini-instruct,T1.0,8,L4,,,0
aime2026_Phi-4-mini-instruct,T1.0,8,L5,0.05215413073275352,0.00887309070694993,11
aime2026_Phi-4-mini-instruct,T1.0,8,overall,0.05215413073275352,0.00887309070694993,11
aime2026_Phi-4-mini-instruct,T0.1,8,L1,,,0
aime2026_Phi-4-mini-instruct,T0.1,8,L2,,,0
aime2026_Phi-4-mini-instruct,T0.1,8,L3,,,0
aime2026_Phi-4-mini-instruct,T0.1,8,L4,,,0
aime2026_Phi-4-mini-instruct,T0.1,8,L5,0.045421176995715185,0.006460407978897395,11
aime2026_Phi-4-mini-instruct,T0.1,8,overall,0.045421176995715185,0.006460407978897395,11
aime2026_Phi-4-mini-instruct,random_T,8,L1,,,0
aime2026_Phi-4-mini-instruct,random_T,8,L2,,,0
aime2026_Phi-4-mini-instruct,random_T,8,L3,,,0
aime2026_Phi-4-mini-instruct,random_T,8,L4,,,0
aime2026_Phi-4-mini-instruct,random_T,8,L5,0.06367379113693128,0.0155761505939094,11
aime2026_Phi-4-mini-instruct,random_T,8,overall,0.06367379113693128,0.0155761505939094,11
aime2026_Phi-4-mini-instruct,equal_mix,8,L1,,,0
aime2026_Phi-4-mini-instruct,equal_mix,8,L2,,,0
aime2026_Phi-4-mini-instruct,equal_mix,8,L3,,,0
aime2026_Phi-4-mini-instruct,equal_mix,8,L4,,,0
aime2026_Phi-4-mini-instruct,equal_mix,8,L5,0.07680781024531025,0.012198146410204957,11
aime2026_Phi-4-mini-instruct,equal_mix,8,overall,0.07680781024531025,0.012198146410204957,11
aime2026_Phi-4-mini-instruct,T1.0,16,L1,,,0
aime2026_Phi-4-mini-instruct,T1.0,16,L2,,,0
aime2026_Phi-4-mini-instruct,T1.0,16,L3,,,0
aime2026_Phi-4-mini-instruct,T1.0,16,L4,,,0
aime2026_Phi-4-mini-instruct,T1.0,16,L5,0.040711280470008424,0.0084679468318446,11
aime2026_Phi-4-mini-instruct,T1.0,16,overall,0.040711280470008424,0.0084679468318446,11
aime2026_Phi-4-mini-instruct,T0.1,16,L1,,,0
aime2026_Phi-4-mini-instruct,T0.1,16,L2,,,0
aime2026_Phi-4-mini-instruct,T0.1,16,L3,,,0
aime2026_Phi-4-mini-instruct,T0.1,16,L4,,,0
aime2026_Phi-4-mini-instruct,T0.1,16,L5,0.04467803145279035,0.0037085444075877294,11
aime2026_Phi-4-mini-instruct,T0.1,16,overall,0.04467803145279035,0.003708544407587729,11
aime2026_Phi-4-mini-instruct,random_T,16,L1,,,0
aime2026_Phi-4-mini-instruct,random_T,16,L2,,,0
aime2026_Phi-4-mini-instruct,random_T,16,L3,,,0
aime2026_Phi-4-mini-instruct,random_T,16,L4,,,0
aime2026_Phi-4-mini-instruct,random_T,16,L5,0.06968224195721134,0.01691737465717128,11
aime2026_Phi-4-mini-instruct,random_T,16,overall,0.06968224195721134,0.01691737465717128,11
aime2026_Phi-4-mini-instruct,equal_mix,16,L1,,,0
aime2026_Phi-4-mini-instruct,equal_mix,16,L2,,,0
aime2026_Phi-4-mini-instruct,equal_mix,16,L3,,,0
aime2026_Phi-4-mini-instruct,equal_mix,16,L4,,,0
aime2026_Phi-4-mini-instruct,equal_mix,16,L5,0.06674242424242426,0.009448461037542644,11
aime2026_Phi-4-mini-instruct,equal_mix,16,overall,0.06674242424242426,0.009448461037542644,11
aime2026_Phi-4-mini-instruct,T1.0,32,L1,,,0
aime2026_Phi-4-mini-instruct,T1.0,32,L2,,,0
aime2026_Phi-4-mini-instruct,T1.0,32,L3,,,0
aime2026_Phi-4-mini-instruct,T1.0,32,L4,,,0
aime2026_Phi-4-mini-instruct,T1.0,32,L5,0.0346590911292217,0.004649997226832388,11
aime2026_Phi-4-mini-instruct,T1.0,32,overall,0.0346590911292217,0.004649997226832388,11
aime2026_Phi-4-mini-instruct,T0.1,32,L1,,,0
aime2026_Phi-4-mini-instruct,T0.1,32,L2,,,0
aime2026_Phi-4-mini-instruct,T0.1,32,L3,,,0
aime2026_Phi-4-mini-instruct,T0.1,32,L4,,,0
aime2026_Phi-4-mini-instruct,T0.1,32,L5,0.03153409162592707,0.011699426543715946,11
aime2026_Phi-4-mini-instruct,T0.1,32,overall,0.03153409162592707,0.011699426543715946,11
aime2026_Phi-4-mini-instruct,random_T,32,L1,,,0
aime2026_Phi-4-mini-instruct,random_T,32,L2,,,0
aime2026_Phi-4-mini-instruct,random_T,32,L3,,,0
aime2026_Phi-4-mini-instruct,random_T,32,L4,,,0
aime2026_Phi-4-mini-instruct,random_T,32,L5,0.06628788025541739,0.010939693103761491,11
aime2026_Phi-4-mini-instruct,random_T,32,overall,0.06628788025541739,0.010939693103761491,11
aime2026_Phi-4-mini-instruct,equal_mix,32,L1,,,0
aime2026_Phi-4-mini-instruct,equal_mix,32,L2,,,0
aime2026_Phi-4-mini-instruct,equal_mix,32,L3,,,0
aime2026_Phi-4-mini-instruct,equal_mix,32,L4,,,0
aime2026_Phi-4-mini-instruct,equal_mix,32,L5,0.05735479797979798,0.01173045373883235,11
aime2026_Phi-4-mini-instruct,equal_mix,32,overall,0.057354797979797985,0.01173045373883235,11
aime2026_Phi-4-mini-instruct,T1.0,64,L1,,,0
aime2026_Phi-4-mini-instruct,T1.0,64,L2,,,0
aime2026_Phi-4-mini-instruct,T1.0,64,L3,,,0
aime2026_Phi-4-mini-instruct,T1.0,64,L4,,,0
aime2026_Phi-4-mini-instruct,T1.0,64,L5,0.022664141742456137,0.003062487167283586,11
aime2026_Phi-4-mini-instruct,T1.0,64,overall,0.022664141742456137,0.003062487167283586,11
aime2026_Phi-4-mini-instruct,T0.1,64,L1,,,0
aime2026_Phi-4-mini-instruct,T0.1,64,L2,,,0
aime2026_Phi-4-mini-instruct,T0.1,64,L3,,,0
aime2026_Phi-4-mini-instruct,T0.1,64,L4,,,0
aime2026_Phi-4-mini-instruct,T0.1,64,L5,0.017582070632753046,0.006192244958915035,11
aime2026_Phi-4-mini-instruct,T0.1,64,overall,0.017582070632753046,0.006192244958915035,11
aime2026_Phi-4-mini-instruct,random_T,64,L1,,,0
aime2026_Phi-4-mini-instruct,random_T,64,L2,,,0
aime2026_Phi-4-mini-instruct,random_T,64,L3,,,0
aime2026_Phi-4-mini-instruct,random_T,64,L4,,,0
aime2026_Phi-4-mini-instruct,random_T,64,L5,0.06641414140661557,0.00892981163640516,11
aime2026_Phi-4-mini-instruct,random_T,64,overall,0.06641414140661557,0.00892981163640516,11
aime2026_Phi-4-mini-instruct,equal_mix,64,L1,,,0
aime2026_Phi-4-mini-instruct,equal_mix,64,L2,,,0
aime2026_Phi-4-mini-instruct,equal_mix,64,L3,,,0
aime2026_Phi-4-mini-instruct,equal_mix,64,L4,,,0
aime2026_Phi-4-mini-instruct,equal_mix,64,L5,0.05279040404040405,0.007272793034214467,11
aime2026_Phi-4-mini-instruct,equal_mix,64,overall,0.05279040404040405,0.007272793034214466,11
aime2026_Phi-4-mini-instruct,T1.0,128,L1,,,0
aime2026_Phi-4-mini-instruct,T1.0,128,L2,,,0
aime2026_Phi-4-mini-instruct,T1.0,128,L3,,,0
aime2026_Phi-4-mini-instruct,T1.0,128,L4,,,0
aime2026_Phi-4-mini-instruct,T1.0,128,L5,0.02045454550534487,0.0023836563713997925,11
aime2026_Phi-4-mini-instruct,T1.0,128,overall,0.02045454550534487,0.0023836563713997925,11
aime2026_Phi-4-mini-instruct,T0.1,128,L1,,,0
aime2026_Phi-4-mini-instruct,T0.1,128,L2,,,0
aime2026_Phi-4-mini-instruct,T0.1,128,L3,,,0
aime2026_Phi-4-mini-instruct,T0.1,128,L4,,,0
aime2026_Phi-4-mini-instruct,T0.1,128,L5,0.006755050666856044,0.003108984915376294,11
aime2026_Phi-4-mini-instruct,T0.1,128,overall,0.006755050666856044,0.003108984915376294,11
aime2026_Phi-4-mini-instruct,random_T,128,L1,,,0
aime2026_Phi-4-mini-instruct,random_T,128,L2,,,0
aime2026_Phi-4-mini-instruct,random_T,128,L3,,,0
aime2026_Phi-4-mini-instruct,random_T,128,L4,,,0
aime2026_Phi-4-mini-instruct,random_T,128,L5,0.06622474761961987,0.006394301304372236,11
aime2026_Phi-4-mini-instruct,random_T,128,overall,0.06622474761961987,0.006394301304372236,11
aime2026_Phi-4-mini-instruct,equal_mix,128,L1,,,0
aime2026_Phi-4-mini-instruct,equal_mix,128,L2,,,0
aime2026_Phi-4-mini-instruct,equal_mix,128,L3,,,0
aime2026_Phi-4-mini-instruct,equal_mix,128,L4,,,0
aime2026_Phi-4-mini-instruct,equal_mix,128,L5,0.05505050505050505,0.0032643223536482557,11
aime2026_Phi-4-mini-instruct,equal_mix,128,overall,0.055050505050505044,0.0032643223536482557,11
aime2026_Phi-4-mini-instruct,T1.0,256,L1,,,0
aime2026_Phi-4-mini-instruct,T1.0,256,L2,,,0
aime2026_Phi-4-mini-instruct,T1.0,256,L3,,,0
aime2026_Phi-4-mini-instruct,T1.0,256,L4,,,0
aime2026_Phi-4-mini-instruct,T1.0,256,L5,0.02064393957455953,0.005203338088982764,11
aime2026_Phi-4-mini-instruct,T1.0,256,overall,0.02064393957455953,0.005203338088982764,11
aime2026_Phi-4-mini-instruct,T0.1,256,L1,,,0
aime2026_Phi-4-mini-instruct,T0.1,256,L2,,,0
aime2026_Phi-4-mini-instruct,T0.1,256,L3,,,0
aime2026_Phi-4-mini-instruct,T0.1,256,L4,,,0
aime2026_Phi-4-mini-instruct,T0.1,256,L5,0.001893939436272238,0.0018556740890405612,11
aime2026_Phi-4-mini-instruct,T0.1,256,overall,0.001893939436272238,0.0018556740890405612,11
aime2026_Phi-4-mini-instruct,random_T,256,L1,,,0
aime2026_Phi-4-mini-instruct,random_T,256,L2,,,0
aime2026_Phi-4-mini-instruct,random_T,256,L3,,,0
aime2026_Phi-4-mini-instruct,random_T,256,L4,,,0
aime2026_Phi-4-mini-instruct,random_T,256,L5,0.05473484875013431,0.007853800293775592,11
aime2026_Phi-4-mini-instruct,random_T,256,overall,0.05473484875013432,0.007853800293775592,11
aime2026_Phi-4-mini-instruct,equal_mix,256,L1,,,0
aime2026_Phi-4-mini-instruct,equal_mix,256,L2,,,0
aime2026_Phi-4-mini-instruct,equal_mix,256,L3,,,0
aime2026_Phi-4-mini-instruct,equal_mix,256,L4,,,0
aime2026_Phi-4-mini-instruct,equal_mix,256,L5,0.05738636363636363,0.00763142426835492,11
aime2026_Phi-4-mini-instruct,equal_mix,256,overall,0.05738636363636363,0.00763142426835492,11
