combo,baseline,N,stratum,mean,std6,n_pids
gsm8kfull_Llama-3.2-3B,T0.1,1,L1,0.9845958204455522,0.0008993463978540096,901
gsm8kfull_Llama-3.2-3B,T0.1,1,L2,0.7227150528661666,0.005677710551005187,62
gsm8kfull_Llama-3.2-3B,T0.1,1,L3,0.5169270800737044,0.010027901335541647,48
gsm8kfull_Llama-3.2-3B,T0.1,1,L4,0.3021153841263209,0.009120332871304392,65
gsm8kfull_Llama-3.2-3B,T0.1,1,L5,0.058859890792518854,0.0028914753134645184,182
gsm8kfull_Llama-3.2-3B,T0.1,1,overall,0.7846515639388966,0.0033929922718956705,1258
gsm8kfull_Llama-3.2-3B,T0.2,1,L1,0.964303553300106,0.0004681757270584564,901
gsm8kfull_Llama-3.2-3B,T0.2,1,L2,0.6561827946414229,0.014179948886453889,62
gsm8kfull_Llama-3.2-3B,T0.2,1,L3,0.5354166655904716,0.0056672777398721645,48
gsm8kfull_Llama-3.2-3B,T0.2,1,L4,0.38108974403868884,0.007005562772593681,65
gsm8kfull_Llama-3.2-3B,T0.2,1,L5,0.11865842562073314,0.005347918699196742,182
gsm8kfull_Llama-3.2-3B,T0.2,1,overall,0.7802762333585013,0.004238597379861953,1258
gsm8kfull_Llama-3.2-3B,T0.3,1,L1,0.9495791733496463,0.0011800012059344522,901
gsm8kfull_Llama-3.2-3B,T0.3,1,L2,0.6407258054742249,0.0069373589522171535,62
gsm8kfull_Llama-3.2-3B,T0.3,1,L3,0.549565972139438,0.012401595903313576,48
gsm8kfull_Llama-3.2-3B,T0.3,1,L4,0.4280128192681914,0.012397309114284553,65
gsm8kfull_Llama-3.2-3B,T0.3,1,L5,0.1622481690651495,0.001968491876262986,182
gsm8kfull_Llama-3.2-3B,T0.3,1,overall,0.7782392701211573,0.00421181161751908,1258
gsm8kfull_Llama-3.2-3B,T0.4,1,L1,0.9379069573716944,0.0011347675421985583,901
gsm8kfull_Llama-3.2-3B,T0.4,1,L2,0.6333333321957179,0.00904041550039411,62
gsm8kfull_Llama-3.2-3B,T0.4,1,L3,0.5507812500517402,0.009736936831476578,48
gsm8kfull_Llama-3.2-3B,T0.4,1,L4,0.45512820561535844,0.006233459234909355,65
gsm8kfull_Llama-3.2-3B,T0.4,1,L5,0.18926282092287539,0.0023623445961017103,182
gsm8kfull_Llama-3.2-3B,T0.4,1,overall,0.774870828269854,0.00337383608671067,1258
gsm8kfull_Llama-3.2-3B,T0.5,1,L1,0.9279643009894653,0.0010779845720029903,901
gsm8kfull_Llama-3.2-3B,T0.5,1,L2,0.6229166670311843,0.009808973128251417,62
