combo,baseline,N,stratum,mean,std6,n_pids
gsm8kfull_Phi-4-mini-instruct,T1.0,1,L1,0.8615838126780987,0.0012100085778508028,1046
gsm8kfull_Phi-4-mini-instruct,T1.0,1,L2,0.6662100457446011,0.005447969168154193,73
gsm8kfull_Phi-4-mini-instruct,T1.0,1,L3,0.5778368776465984,0.011421522928057067,47
gsm8kfull_Phi-4-mini-instruct,T1.0,1,L4,0.5604651146965434,0.009302326224657938,43
gsm8kfull_Phi-4-mini-instruct,T1.0,1,L5,0.26861814400063283,0.0067707225758949115,79
gsm8kfull_Phi-4-mini-instruct,T1.0,1,overall,0.7937338260543778,0.003651325561467119,1288
gsm8kfull_Phi-4-mini-instruct,T0.1,1,L1,0.9832616327692553,0.0005963979080615569,1046
gsm8kfull_Phi-4-mini-instruct,T0.1,1,L2,0.6998858447080334,0.006043979804286388,73
gsm8kfull_Phi-4-mini-instruct,T0.1,1,L3,0.4980496447665472,0.011925652600634638,47
gsm8kfull_Phi-4-mini-instruct,T0.1,1,L4,0.29244186024564184,0.005802313903784581,43
gsm8kfull_Phi-4-mini-instruct,T0.1,1,L5,0.06397679400579209,0.004224021757324277,79
gsm8kfull_Phi-4-mini-instruct,T0.1,1,overall,0.8700472318023101,0.003125274707279974,1288
gsm8kfull_Phi-4-mini-instruct,random_T,1,L1,0.9045968794301295,0.0015599343719772995,1046
gsm8kfull_Phi-4-mini-instruct,random_T,1,L2,0.670662100864872,0.008468442273489871,73
gsm8kfull_Phi-4-mini-instruct,random_T,1,L3,0.5618794319939847,0.01159362919702416,47
gsm8kfull_Phi-4-mini-instruct,random_T,1,L4,0.4965116272196752,0.006937875797035478,43
gsm8kfull_Phi-4-mini-instruct,random_T,1,L5,0.20311181503839257,0.006108222895726319,79
gsm8kfull_Phi-4-mini-instruct,random_T,1,overall,0.8221823260164964,0.0038523963991499398,1288
gsm8kfull_Phi-4-mini-instruct,equal_mix,1,L1,0.9830983110261323,0.0004970897969595392,1046
gsm8kfull_Phi-4-mini-instruct,equal_mix,1,L2,0.7017694063926941,0.009905295280081355,73
gsm8kfull_Phi-4-mini-instruct,equal_mix,1,L3,0.4920212765957446,0.006157360054675719,47
gsm8kfull_Phi-4-mini-instruct,equal_mix,1,L4,0.28914728682170543,0.011735932321101136,43
gsm8kfull_Phi-4-mini-instruct,equal_mix,1,L5,0.0660337552742616,0.002870283984222249,79
gsm8kfull_Phi-4-mini-instruct,equal_mix,1,overall,0.8698175465838517,0.003499788150960571,1288
gsm8kfull_Phi-4-mini-instruct,T1.0,2,L1,0.8668897390173281,0.0003703945613317271,1046
gsm8kfull_Phi-4-mini-instruct,T1.0,2,L2,0.6763127860889587,0.002923354503079321,73
gsm8kfull_Phi-4-mini-instruct,T1.0,2,L3,0.6031914893801965,0.007308749745527116,47
gsm8kfull_Phi-4-mini-instruct,T1.0,2,L4,0.5779069759124933,0.007728404407899128,43
gsm8kfull_Phi-4-mini-instruct,T1.0,2,L5,0.27460443044969424,0.0040781673438763525,79
gsm8kfull_Phi-4-mini-instruct,T1.0,2,overall,0.8004901012168102,0.0023577869712554686,1288
gsm8kfull_Phi-4-mini-instruct,T0.1,2,L1,0.9831500964760401,0.0004994590973742127,1046
gsm8kfull_Phi-4-mini-instruct,T0.1,2,L2,0.6984589038646384,0.007447350139313432,73
gsm8kfull_Phi-4-mini-instruct,T0.1,2,L3,0.502836877995349,0.013527452711960824,47
gsm8kfull_Phi-4-mini-instruct,T0.1,2,L4,0.28885658859282504,0.00621757833274627,43
gsm8kfull_Phi-4-mini-instruct,T0.1,2,L5,0.06479430412441367,0.002415761594520268,79
gsm8kfull_Phi-4-mini-instruct,T0.1,2,overall,0.8699809142058682,0.003416449597131976,1288
gsm8kfull_Phi-4-mini-instruct,random_T,2,L1,0.9078015470657667,0.0009162189530295923,1046
gsm8kfull_Phi-4-mini-instruct,random_T,2,L2,0.6813641545707232,0.003620134081295493,73
gsm8kfull_Phi-4-mini-instruct,random_T,2,L3,0.571852836473878,0.013304696346039738,47
gsm8kfull_Phi-4-mini-instruct,random_T,2,L4,0.5103682169271994,0.00638917909972126,43
gsm8kfull_Phi-4-mini-instruct,random_T,2,L5,0.20762130814969915,0.002304737611293493,79
gsm8kfull_Phi-4-mini-instruct,random_T,2,overall,0.8264945663823159,0.003093951887400213,1288
gsm8kfull_Phi-4-mini-instruct,equal_mix,2,L1,0.9784695666029304,0.0002996322429743629,1046
gsm8kfull_Phi-4-mini-instruct,equal_mix,2,L2,0.6949771689497718,0.006610269205782486,73
gsm8kfull_Phi-4-mini-instruct,equal_mix,2,L3,0.5246897163120567,0.008915592865144496,47
gsm8kfull_Phi-4-mini-instruct,equal_mix,2,L4,0.341327519379845,0.007073975249729331,43
gsm8kfull_Phi-4-mini-instruct,equal_mix,2,L5,0.08826476793248945,0.003837365137851283,79
gsm8kfull_Phi-4-mini-instruct,equal_mix,2,overall,0.8699712085921314,0.0028326363831538528,1288
gsm8kfull_Phi-4-mini-instruct,T1.0,4,L1,0.9570413778313135,0.0006143111430224368,1046
gsm8kfull_Phi-4-mini-instruct,T1.0,4,L2,0.8158200187566074,0.0072269758217486475,73
gsm8kfull_Phi-4-mini-instruct,T1.0,4,L3,0.7321513027666096,0.008810318714886863,47
gsm8kfull_Phi-4-mini-instruct,T1.0,4,L4,0.690972223906785,0.007528120206023868,43
gsm8kfull_Phi-4-mini-instruct,T1.0,4,L5,0.30834212600556105,0.0021526266183860897,79
gsm8kfull_Phi-4-mini-instruct,T1.0,4,overall,0.8921600057400993,0.0028766947705133393,1288
gsm8kfull_Phi-4-mini-instruct,T0.1,4,L1,0.9964799771858219,0.00036488875498344935,1046
gsm8kfull_Phi-4-mini-instruct,T0.1,4,L2,0.823720508106223,0.003129729611205306,73
gsm8kfull_Phi-4-mini-instruct,T0.1,4,L3,0.5590277785527792,0.0077402119320736954,47
gsm8kfull_Phi-4-mini-instruct,T0.1,4,L4,0.2724240962271542,0.005896732208070206,43
gsm8kfull_Phi-4-mini-instruct,T0.1,4,L5,0.03378164586178833,0.003859844401512737,79
gsm8kfull_Phi-4-mini-instruct,T0.1,4,overall,0.8875053920659578,0.002219037450806121,1288
gsm8kfull_Phi-4-mini-instruct,random_T,4,L1,0.9677963042649553,0.0007059052030948845,1046
gsm8kfull_Phi-4-mini-instruct,random_T,4,L2,0.8108828008583148,0.0048309961593461,73
gsm8kfull_Phi-4-mini-instruct,random_T,4,L3,0.6855570361388068,0.011053383719106122,47
gsm8kfull_Phi-4-mini-instruct,random_T,4,L4,0.6050791368177233,0.007254148015253493,43
gsm8kfull_Phi-4-mini-instruct,random_T,4,L5,0.21844233595962612,0.0039581102151850026,79
gsm8kfull_Phi-4-mini-instruct,random_T,4,overall,0.8905325363713484,0.0029838732976541866,1288
gsm8kfull_Phi-4-mini-instruct,equal_mix,4,L1,0.9938947312513267,0.00017241238834956847,1046
gsm8kfull_Phi-4-mini-instruct,equal_mix,4,L2,0.8347269786910196,0.003461155243212869,73
gsm8kfull_Phi-4-mini-instruct,equal_mix,4,L3,0.634626182033097,0.008460875898844004,47
gsm8kfull_Phi-4-mini-instruct,equal_mix,4,L4,0.47363533591731266,0.008870933070622063,43
gsm8kfull_Phi-4-mini-instruct,equal_mix,4,L5,0.09378516174402252,0.002213724315947735,79
gsm8kfull_Phi-4-mini-instruct,equal_mix,4,overall,0.899186130521048,0.002498622236788017,1288
gsm8kfull_Phi-4-mini-instruct,T1.0,8,L1,0.9787532448882285,0.0006065065024265744,1046
gsm8kfull_Phi-4-mini-instruct,T1.0,8,L2,0.8905569842450967,0.002617572135706335,73
gsm8kfull_Phi-4-mini-instruct,T1.0,8,L3,0.7997352066482847,0.0038880848116164004,47
gsm8kfull_Phi-4-mini-instruct,T1.0,8,L4,0.7733029974407928,0.002526539734546381,43
gsm8kfull_Phi-4-mini-instruct,T1.0,8,L5,0.33394897946565244,0.0025680854411105,79
gsm8kfull_Phi-4-mini-instruct,T1.0,8,overall,0.9208137476577555,0.0013624708744294123,1288
gsm8kfull_Phi-4-mini-instruct,T0.1,8,L1,0.9995877153463922,8.934782881921245e-05,1046
gsm8kfull_Phi-4-mini-instruct,T0.1,8,L2,0.9085093233139004,0.005426081021496009,73
gsm8kfull_Phi-4-mini-instruct,T0.1,8,L3,0.605991430157888,0.014473354728884799,47
gsm8kfull_Phi-4-mini-instruct,T0.1,8,L4,0.2523498080613077,0.01148554279276984,43
gsm8kfull_Phi-4-mini-instruct,T0.1,8,L5,0.016243972625968512,0.002094980266423712,79
gsm8kfull_Phi-4-mini-instruct,T0.1,8,overall,0.8948026736457683,0.0037406503843873773,1288
gsm8kfull_Phi-4-mini-instruct,random_T,8,L1,0.9836126681312757,0.0006969805826361388,1046
gsm8kfull_Phi-4-mini-instruct,random_T,8,L2,0.8845232018869217,0.0024099007007400966,73
gsm8kfull_Phi-4-mini-instruct,random_T,8,L3,0.7565457208993586,0.006262415208792812,47
gsm8kfull_Phi-4-mini-instruct,random_T,8,L4,0.6658273368149765,0.003433550803618272,43
gsm8kfull_Phi-4-mini-instruct,random_T,8,L5,0.21969472193444062,0.005062164800966691,79
gsm8kfull_Phi-4-mini-instruct,random_T,8,overall,0.9122462360257719,0.0020298007057803482,1288
gsm8kfull_Phi-4-mini-instruct,equal_mix,8,L1,0.994653408487359,0.00036479728963926226,1046
gsm8kfull_Phi-4-mini-instruct,equal_mix,8,L2,0.913459447706023,0.00456139789493699,73
gsm8kfull_Phi-4-mini-instruct,equal_mix,8,L3,0.7658076874366767,0.0056228204733294405,47
gsm8kfull_Phi-4-mini-instruct,equal_mix,8,L4,0.6693145533407162,0.011272018250481195,43
gsm8kfull_Phi-4-mini-instruct,equal_mix,8,L5,0.15701150291340163,0.0024806759607974857,79
gsm8kfull_Phi-4-mini-instruct,equal_mix,8,overall,0.9194622676969336,0.0026571240369940106,1288
gsm8kfull_Phi-4-mini-instruct,T1.0,16,L1,0.9845045945637398,0.00027651157661016723,1046
gsm8kfull_Phi-4-mini-instruct,T1.0,16,L2,0.9316428851030052,0.0030198823979994175,73
gsm8kfull_Phi-4-mini-instruct,T1.0,16,L3,0.8408466325676504,0.007119945063414561,47
gsm8kfull_Phi-4-mini-instruct,T1.0,16,L4,0.8255945899805358,0.006855343646899969,43
gsm8kfull_Phi-4-mini-instruct,T1.0,16,L5,0.3366760030675695,0.0034639045467515736,79
gsm8kfull_Phi-4-mini-instruct,T1.0,16,overall,0.9312263197735806,0.0021757096975850458,1288
gsm8kfull_Phi-4-mini-instruct,T0.1,16,L1,0.9999800828743163,1.9514718027145408e-05,1046
gsm8kfull_Phi-4-mini-instruct,T0.1,16,L2,0.9624048730009767,0.0014256468552738758,73
gsm8kfull_Phi-4-mini-instruct,T0.1,16,L3,0.6468528363827272,0.007372722132428419,47
gsm8kfull_Phi-4-mini-instruct,T0.1,16,L4,0.22521802486288686,0.005650624229953115,43
gsm8kfull_Phi-4-mini-instruct,T0.1,16,L5,0.00663150502525993,0.0017597475420830894,79
gsm8kfull_Phi-4-mini-instruct,T0.1,16,overall,0.8981716379593898,0.0018316489733949525,1288
gsm8kfull_Phi-4-mini-instruct,random_T,16,L1,0.9884815839178018,0.0004767574134290612,1046
gsm8kfull_Phi-4-mini-instruct,random_T,16,L2,0.9236605808342971,0.0023226371219375887,73
gsm8kfull_Phi-4-mini-instruct,random_T,16,L3,0.794240544133998,0.005720664183265228,47
