combo,baseline,N,stratum,mean,std6,n_pids
gsm8kfull_Qwen2.5-3B,T1.0,1,L1,0.9017804547239853,0.0010382814981981716,1018
gsm8kfull_Qwen2.5-3B,T1.0,1,L2,0.5697257393098707,0.005691513374006813,79
gsm8kfull_Qwen2.5-3B,T1.0,1,L3,0.49288617807432894,0.015380687493765088,41
gsm8kfull_Qwen2.5-3B,T1.0,1,L4,0.40443262457847595,0.013950646146422562,47
gsm8kfull_Qwen2.5-3B,T1.0,1,L5,0.2274206352139276,0.0071925516827135525,105
gsm8kfull_Qwen2.5-3B,T1.0,1,overall,0.7954392788125543,0.00465348097233249,1290
gsm8kfull_Qwen2.5-3B,T0.1,1,L1,0.987700557671658,0.0006625036619931931,1018
gsm8kfull_Qwen2.5-3B,T0.1,1,L2,0.7072257375038121,0.00618318020920535,79
gsm8kfull_Qwen2.5-3B,T0.1,1,L3,0.5047764202685859,0.011072850990863033,41
gsm8kfull_Qwen2.5-3B,T0.1,1,L4,0.29343971567796473,0.007880002987345671,47
gsm8kfull_Qwen2.5-3B,T0.1,1,L5,0.056626984621915545,0.005118585948676771,105
gsm8kfull_Qwen2.5-3B,T0.1,1,overall,0.8540956079269199,0.0033135237585356705,1290
gsm8kfull_Qwen2.5-3B,random_T,1,L1,0.9323100882296321,0.0006742787855822088,1018
gsm8kfull_Qwen2.5-3B,random_T,1,L2,0.6122890297433495,0.008695144935504462,79
gsm8kfull_Qwen2.5-3B,random_T,1,L3,0.5073170720077141,0.009134138223815742,41
gsm8kfull_Qwen2.5-3B,random_T,1,L4,0.3977836861823361,0.005095474889499128,47
gsm8kfull_Qwen2.5-3B,random_T,1,L5,0.19111111127431432,0.005331773949321792,105
gsm8kfull_Qwen2.5-3B,random_T,1,overall,0.8193992271737823,0.0033015884673676856,1290
gsm8kfull_Qwen2.5-3B,equal_mix,1,L1,0.9878724623444671,0.00030924179040341907,1018
gsm8kfull_Qwen2.5-3B,equal_mix,1,L2,0.7065400843881856,0.006888759095029871,79
gsm8kfull_Qwen2.5-3B,equal_mix,1,L3,0.4922764227642276,0.015122279041817706,41
gsm8kfull_Qwen2.5-3B,equal_mix,1,L4,0.29113475177304965,0.013105703675865546,47
gsm8kfull_Qwen2.5-3B,equal_mix,1,L5,0.05492063492063492,0.002991547679845014,105
gsm8kfull_Qwen2.5-3B,equal_mix,1,overall,0.853569121447029,0.004151649603652566,1290
gsm8kfull_Qwen2.5-3B,T1.0,2,L1,0.9031004443064518,0.0006345156980396126,1018
gsm8kfull_Qwen2.5-3B,T1.0,2,L2,0.5761075948958406,0.006231847038144661,79
gsm8kfull_Qwen2.5-3B,T1.0,2,L3,0.49141260175927864,0.008904144699472316,41
gsm8kfull_Qwen2.5-3B,T1.0,2,L4,0.41298758813199843,0.00908222975005713,47
gsm8kfull_Qwen2.5-3B,T1.0,2,L5,0.22839285757776998,0.004406209147284083,105
gsm8kfull_Qwen2.5-3B,T1.0,2,overall,0.7972157640780925,0.0031307372900518074,1290
gsm8kfull_Qwen2.5-3B,T0.1,2,L1,0.9877783243825564,0.0003474465946801235,1018
gsm8kfull_Qwen2.5-3B,T0.1,2,L2,0.7080168790706601,0.0025031357267459244,79
gsm8kfull_Qwen2.5-3B,T0.1,2,L3,0.49400406276307446,0.009906739847366114,41
gsm8kfull_Qwen2.5-3B,T0.1,2,L4,0.2908244682806181,0.006834123283871417,47
gsm8kfull_Qwen2.5-3B,T0.1,2,L5,0.05628968282706207,0.0024332548176853133,105
gsm8kfull_Qwen2.5-3B,T0.1,2,overall,0.8537403108118925,0.0024045479543573205,1290
gsm8kfull_Qwen2.5-3B,random_T,2,L1,0.9327725957940042,0.0008269869187147137,1018
gsm8kfull_Qwen2.5-3B,random_T,2,L2,0.6209915605086818,0.006030674732674585,79
gsm8kfull_Qwen2.5-3B,random_T,2,L3,0.510518291798549,0.011294077136162277,41
gsm8kfull_Qwen2.5-3B,random_T,2,L4,0.40226063839034404,0.008076966681220946,47
gsm8kfull_Qwen2.5-3B,random_T,2,L5,0.19337301586296352,0.0020015112152493276,105
gsm8kfull_Qwen2.5-3B,random_T,2,overall,0.8207461259164185,0.0030860987773604644,1290
gsm8kfull_Qwen2.5-3B,equal_mix,2,L1,0.9809184675834959,0.00040210607797148734,1018
gsm8kfull_Qwen2.5-3B,equal_mix,2,L2,0.6929588607594935,0.0039024902792637165,79
gsm8kfull_Qwen2.5-3B,equal_mix,2,L3,0.5179369918699187,0.009218045491368756,41
gsm8kfull_Qwen2.5-3B,equal_mix,2,L4,0.3313829787234043,0.002396570282142345,47
gsm8kfull_Qwen2.5-3B,equal_mix,2,L5,0.08440476190476191,0.0031595875042920983,105
gsm8kfull_Qwen2.5-3B,equal_mix,2,overall,0.8519315245478026,0.0021869508470297697,1290
gsm8kfull_Qwen2.5-3B,T1.0,4,L1,0.9648142476618283,0.0004849433314680708,1018
gsm8kfull_Qwen2.5-3B,T1.0,4,L2,0.6996088277092714,0.005555311596057919,79
gsm8kfull_Qwen2.5-3B,T1.0,4,L3,0.641742889050061,0.010663313804239963,41
gsm8kfull_Qwen2.5-3B,T1.0,4,L4,0.49951980355136255,0.009181306364569855,47
gsm8kfull_Qwen2.5-3B,T1.0,4,L5,0.2604960344872245,0.006789263606881344,105
gsm8kfull_Qwen2.5-3B,T1.0,4,overall,0.8640240111224021,0.0035373125148646873,1290
gsm8kfull_Qwen2.5-3B,T0.1,4,L1,0.997426531189161,0.00015582286847459743,1018
gsm8kfull_Qwen2.5-3B,T0.1,4,L2,0.8344892767033998,0.003606199586457448,79
gsm8kfull_Qwen2.5-3B,T0.1,4,L3,0.5750762176344065,0.014144819880262866,41
gsm8kfull_Qwen2.5-3B,T0.1,4,L4,0.2839465127954035,0.00767893304536933,47
gsm8kfull_Qwen2.5-3B,T0.1,4,L5,0.03356812194669767,0.003112371664614529,105
gsm8kfull_Qwen2.5-3B,T0.1,4,overall,0.8695760662317304,0.0031798448247077203,1290
gsm8kfull_Qwen2.5-3B,random_T,4,L1,0.9753731457466538,0.0005560639340317392,1018
gsm8kfull_Qwen2.5-3B,random_T,4,L2,0.7464310844362033,0.006492030429211961,79
gsm8kfull_Qwen2.5-3B,random_T,4,L3,0.6381605714559555,0.009702917803936848,41
gsm8kfull_Qwen2.5-3B,random_T,4,L4,0.47224438798131674,0.009400065600178824,47
gsm8kfull_Qwen2.5-3B,random_T,4,L5,0.20152116617232207,0.005778732445852035,105
gsm8kfull_Qwen2.5-3B,random_T,4,overall,0.8693160543825299,0.0034285255539106617,1290
gsm8kfull_Qwen2.5-3B,equal_mix,4,L1,0.9920374235974673,0.00035922026389946743,1018
gsm8kfull_Qwen2.5-3B,equal_mix,4,L2,0.8107638888888888,0.004033255701053906,79
gsm8kfull_Qwen2.5-3B,equal_mix,4,L3,0.6427337398373983,0.007192509056593713,41
gsm8kfull_Qwen2.5-3B,equal_mix,4,L4,0.4100620567375887,0.012529547342655288,47
gsm8kfull_Qwen2.5-3B,equal_mix,4,L5,0.10200066137566138,0.0021774622276288956,105
gsm8kfull_Qwen2.5-3B,equal_mix,4,overall,0.8761856696813088,0.0029745479193358224,1290
gsm8kfull_Qwen2.5-3B,T1.0,8,L1,0.9826487760864914,0.0005588759193817384,1018
gsm8kfull_Qwen2.5-3B,T1.0,8,L2,0.7877847500113998,0.0033927537450830257,79
gsm8kfull_Qwen2.5-3B,T1.0,8,L3,0.7514089742690566,0.009828420997769666,41
gsm8kfull_Qwen2.5-3B,T1.0,8,L4,0.5905080642452107,0.008139518318933123,47
gsm8kfull_Qwen2.5-3B,T1.0,8,L5,0.29100670889463454,0.004086498854694456,105
gsm8kfull_Qwen2.5-3B,T1.0,8,overall,0.8927820160507298,0.0027918910053252675,1290
gsm8kfull_Qwen2.5-3B,T0.1,8,L1,0.9996623282699547,0.00011166444936287046,1018
gsm8kfull_Qwen2.5-3B,T0.1,8,L2,0.9167106198107643,0.003954417871576738,79
gsm8kfull_Qwen2.5-3B,T0.1,8,L3,0.634070121357596,0.008233446828502,41
gsm8kfull_Qwen2.5-3B,T0.1,8,L4,0.25781197457554494,0.004399509723176,47
gsm8kfull_Qwen2.5-3B,T0.1,8,L5,0.019318783497955235,0.0006910925844210461,105
gsm8kfull_Qwen2.5-3B,T0.1,8,overall,0.8761386815440788,0.001966244465250542,1290
gsm8kfull_Qwen2.5-3B,random_T,8,L1,0.9879889378242424,0.00032856716297876036,1018
gsm8kfull_Qwen2.5-3B,random_T,8,L2,0.8195759885578969,0.004441733567658699,79
gsm8kfull_Qwen2.5-3B,random_T,8,L3,0.733955550847984,0.007149648329654459,41
gsm8kfull_Qwen2.5-3B,random_T,8,L4,0.5256387221210814,0.008420499885139801,47
gsm8kfull_Qwen2.5-3B,random_T,8,L5,0.2159176128694699,0.003405682009172555,105
gsm8kfull_Qwen2.5-3B,random_T,8,overall,0.8899130144782209,0.002538798698297876,1290
gsm8kfull_Qwen2.5-3B,equal_mix,8,L1,0.9945317616240992,0.00019661708154451114,1018
gsm8kfull_Qwen2.5-3B,equal_mix,8,L2,0.8653256856540085,0.005108866584803413,79
gsm8kfull_Qwen2.5-3B,equal_mix,8,L3,0.7549113192024777,0.00727927606135835,41
gsm8kfull_Qwen2.5-3B,equal_mix,8,L4,0.5427480158730159,0.010987774780352219,47
gsm8kfull_Qwen2.5-3B,equal_mix,8,L5,0.1608672052154195,0.004748722212967181,105
gsm8kfull_Qwen2.5-3B,equal_mix,8,overall,0.8946865425433738,0.0030898623330168776,1290
gsm8kfull_Qwen2.5-3B,T1.0,16,L1,0.9888235377492389,0.000208293902063568,1018
gsm8kfull_Qwen2.5-3B,T1.0,16,L2,0.835846167533238,0.005555217534884341,79
gsm8kfull_Qwen2.5-3B,T1.0,16,L3,0.8352550380537664,0.00584041917167754,41
