combo,baseline,N,stratum,mean,std6,n_pids
math1k_Qwen2.5-3B,T1.0,1,L1,0.8566582937642208,0.004237972160106963,199
math1k_Qwen2.5-3B,T1.0,1,L2,0.5288735336266845,0.006511086477794959,199
math1k_Qwen2.5-3B,T1.0,1,L3,0.39258794005885345,0.004250614867844106,199
math1k_Qwen2.5-3B,T1.0,1,L4,0.2904351395226048,0.004515300539471614,203
math1k_Qwen2.5-3B,T1.0,1,L5,0.11308333370679367,0.0037162370107208364,200
math1k_Qwen2.5-3B,T1.0,1,overall,0.4354208337869495,0.004744142610891965,1000
math1k_Qwen2.5-3B,T0.1,1,L1,0.9778266342940243,0.0010351941360657246,199
math1k_Qwen2.5-3B,T0.1,1,L2,0.6994137346145496,0.005418443271220139,199
math1k_Qwen2.5-3B,T0.1,1,L3,0.5014865977854984,0.0030384529812743965,199
math1k_Qwen2.5-3B,T0.1,1,L4,0.29302134675743,0.006804749041718139,203
math1k_Qwen2.5-3B,T0.1,1,L5,0.05841666738192241,0.0024541631368817972,200
math1k_Qwen2.5-3B,T0.1,1,overall,0.5047333332402631,0.004300863390383026,1000
math1k_Qwen2.5-3B,random_T,1,L1,0.8999371881810466,0.0038938634155080204,199
math1k_Qwen2.5-3B,random_T,1,L2,0.5944304841459795,0.006259088436220227,199
math1k_Qwen2.5-3B,random_T,1,L3,0.4512562809115778,0.005581623091524588,199
math1k_Qwen2.5-3B,random_T,1,L4,0.31639983530855187,0.0025387585381514916,203
math1k_Qwen2.5-3B,random_T,1,L5,0.10579166709911077,0.003699380552947789,200
math1k_Qwen2.5-3B,random_T,1,overall,0.47256666668194036,0.004588960734583693,1000
math1k_Qwen2.5-3B,equal_mix,1,L1,0.9775125628140701,0.0014213201631890033,199
math1k_Qwen2.5-3B,equal_mix,1,L2,0.6978852596314908,0.003033254103344903,199
math1k_Qwen2.5-3B,equal_mix,1,L3,0.4964195979899497,0.0048511010070164794,199
math1k_Qwen2.5-3B,equal_mix,1,L4,0.29396551724137926,0.006145801436284098,203
math1k_Qwen2.5-3B,equal_mix,1,L5,0.056875000000000016,0.001719374886404947,200
math1k_Qwen2.5-3B,equal_mix,1,overall,0.5032416666666666,0.0038954815120459158,1000
math1k_Qwen2.5-3B,T1.0,2,L1,0.8632328325954314,0.0019051068662435883,199
math1k_Qwen2.5-3B,T1.0,2,L2,0.5522613063785348,0.00430063064535167,199
math1k_Qwen2.5-3B,T1.0,2,L3,0.4198806531402833,0.0030431453978934245,199
math1k_Qwen2.5-3B,T1.0,2,L4,0.30799466304707357,0.004075296963552242,203
math1k_Qwen2.5-3B,T1.0,2,L5,0.12586458343857276,0.0022260589548759716,200
math1k_Qwen2.5-3B,T1.0,2,overall,0.4529354169170061,0.003257028295054978,1000
math1k_Qwen2.5-3B,T0.1,2,L1,0.9775858466050132,0.0008662118185761617,199
math1k_Qwen2.5-3B,T0.1,2,L2,0.7054334165313136,0.004482963192143677,199
math1k_Qwen2.5-3B,T0.1,2,L3,0.5086055272438219,0.005373596142027926,199
math1k_Qwen2.5-3B,T0.1,2,L4,0.3056958124335176,0.0024993476585967542,203
math1k_Qwen2.5-3B,T0.1,2,L5,0.060927083566784855,0.0017732458929823364,200
math1k_Qwen2.5-3B,T0.1,2,overall,0.5103749999230106,0.0034339203282455866,1000
math1k_Qwen2.5-3B,random_T,2,L1,0.9046796506623328,0.0017279010529776013,199
math1k_Qwen2.5-3B,random_T,2,L2,0.6166352599085475,0.0046846686744636615,199
math1k_Qwen2.5-3B,random_T,2,L3,0.4647822445398899,0.0018830257116292958,199
math1k_Qwen2.5-3B,random_T,2,L4,0.3321018057450199,0.003422818226937129,203
math1k_Qwen2.5-3B,random_T,2,L5,0.1129062503009724,0.002924772682351191,200
math1k_Qwen2.5-3B,random_T,2,overall,0.4852312504934768,0.003123487661380933,1000
math1k_Qwen2.5-3B,equal_mix,2,L1,0.9690012562814072,0.0005656754925838972,199
math1k_Qwen2.5-3B,equal_mix,2,L2,0.696922110552764,0.005133412406113478,199
math1k_Qwen2.5-3B,equal_mix,2,L3,0.5148555276381908,0.005340562934680485,199
math1k_Qwen2.5-3B,equal_mix,2,L4,0.32455870279146143,0.0028595350172034447,203
math1k_Qwen2.5-3B,equal_mix,2,L5,0.07336458333333332,0.0017714827240666807,200
math1k_Qwen2.5-3B,equal_mix,2,overall,0.5145333333333333,0.0036429466698447363,1000
math1k_Qwen2.5-3B,T1.0,4,L1,0.9430538120506397,0.0011104404387923161,199
math1k_Qwen2.5-3B,T1.0,4,L2,0.6968331291797373,0.002655672274570417,199
math1k_Qwen2.5-3B,T1.0,4,L3,0.531009216962142,0.003806081278212227,199
math1k_Qwen2.5-3B,T1.0,4,L4,0.3842535609603448,0.002417317092971316,203
math1k_Qwen2.5-3B,T1.0,4,L5,0.13946527986127574,0.002322469843048704,200
math1k_Qwen2.5-3B,T1.0,4,overall,0.5379048643275164,0.002607029255059272,1000
math1k_Qwen2.5-3B,T0.1,4,L1,0.9959118518497876,0.000518263473805613,199
math1k_Qwen2.5-3B,T0.1,4,L2,0.8609819958856956,0.002606713808536451,199
math1k_Qwen2.5-3B,T0.1,4,L3,0.6351409837279087,0.003911997831488262,199
math1k_Qwen2.5-3B,T0.1,4,L4,0.33677305969943355,0.007069959662721087,203
math1k_Qwen2.5-3B,T0.1,4,L5,0.05004166765254922,0.001156990967768801,200
math1k_Qwen2.5-3B,T0.1,4,overall,0.5742881961107098,0.003855597676450348,1000
math1k_Qwen2.5-3B,random_T,4,L1,0.960308489912319,0.003159600778667947,199
math1k_Qwen2.5-3B,random_T,4,L2,0.7593104457248695,0.003585440870902456,199
math1k_Qwen2.5-3B,random_T,4,L3,0.5876256340687199,0.005023366935872202,199
math1k_Qwen2.5-3B,random_T,4,L4,0.4076508665143869,0.007538120511658455,203
math1k_Qwen2.5-3B,random_T,4,L5,0.12017882167051236,0.003920096973316003,200
math1k_Qwen2.5-3B,random_T,4,overall,0.5659305596079988,0.004916809643243552,1000
math1k_Qwen2.5-3B,equal_mix,4,L1,0.9894140843104412,0.00044200641938145637,199
math1k_Qwen2.5-3B,equal_mix,4,L2,0.847958542713568,0.004565002929296671,199
math1k_Qwen2.5-3B,equal_mix,4,L3,0.6631909547738694,0.0018841545501470391,199
math1k_Qwen2.5-3B,equal_mix,4,L4,0.42219827586206904,0.0023162769740108693,203
math1k_Qwen2.5-3B,equal_mix,4,L5,0.08317013888888886,0.0017649247833096571,200
math1k_Qwen2.5-3B,equal_mix,4,overall,0.5999524305555556,0.0025699148657315272,1000
math1k_Qwen2.5-3B,T1.0,8,L1,0.970041103898181,0.0014088979569149374,199
math1k_Qwen2.5-3B,T1.0,8,L2,0.8072186603961229,0.003136543737839608,199
math1k_Qwen2.5-3B,T1.0,8,L3,0.643653088912463,0.0020912381050571752,199
math1k_Qwen2.5-3B,T1.0,8,L4,0.4716251059578677,0.003749281886081931,203
math1k_Qwen2.5-3B,T1.0,8,L5,0.1620041425675542,0.0042246584628416965,200
math1k_Qwen2.5-3B,T1.0,8,overall,0.6099023828111046,0.003105830211356781,1000
math1k_Qwen2.5-3B,T0.1,8,L1,0.9995672813112811,0.0001799531049860721,199
math1k_Qwen2.5-3B,T0.1,8,L2,0.942611873599153,0.00282204642296789,199
math1k_Qwen2.5-3B,T0.1,8,L3,0.7414502078664164,0.0026111869623919046,199
