combo,baseline,N,stratum,mean,std6,n_pids
math500_Phi-4-mini-instruct,T1.0,1,L1,0.7632170542034992,0.006134717242191094,215
math500_Phi-4-mini-instruct,T1.0,1,L2,0.4679263556347222,0.00548384609746937,43
math500_Phi-4-mini-instruct,T1.0,1,L3,0.40791666671219806,0.010148208486571978,30
math500_Phi-4-mini-instruct,T1.0,1,L4,0.2584967327127659,0.008734114162452867,51
math500_Phi-4-mini-instruct,T1.0,1,L5,0.09924516949469701,0.0032797695688846855,138
math500_Phi-4-mini-instruct,T1.0,1,overall,0.4681953180419928,0.006117156307487127,477
math500_Phi-4-mini-instruct,T0.1,1,L1,0.966414730308592,0.0014660693988727395,215
math500_Phi-4-mini-instruct,T0.1,1,L2,0.691763565175293,0.010792157216690787,43
math500_Phi-4-mini-instruct,T0.1,1,L3,0.48527777642011644,0.019682667274207852,30
math500_Phi-4-mini-instruct,T0.1,1,L4,0.28995098017789184,0.004015421673377687,51
math500_Phi-4-mini-instruct,T0.1,1,L5,0.04981884123883457,0.004425632335903146,138
math500_Phi-4-mini-instruct,T0.1,1,overall,0.5738906366698533,0.006574484545283914,477
math500_Phi-4-mini-instruct,random_T,1,L1,0.842674419445585,0.003025937781921061,215
math500_Phi-4-mini-instruct,random_T,1,L2,0.5504844963565008,0.012444666757641474,43
math500_Phi-4-mini-instruct,random_T,1,L3,0.4652777762048775,0.015226682085646665,30
math500_Phi-4-mini-instruct,random_T,1,L4,0.2889705886942596,0.006783506780065241,51
math500_Phi-4-mini-instruct,random_T,1,L5,0.08837560472047128,0.0028098208929504057,138
math500_Phi-4-mini-instruct,random_T,1,overall,0.5151729565725554,0.006314585840151035,477
math500_Phi-4-mini-instruct,equal_mix,1,L1,0.9644961240310073,0.00210804257998262,215
math500_Phi-4-mini-instruct,equal_mix,1,L2,0.6875,0.004454414257994931,43
math500_Phi-4-mini-instruct,equal_mix,1,L3,0.48666666666666664,0.008563488385776752,30
math500_Phi-4-mini-instruct,equal_mix,1,L4,0.28929738562091506,0.007918854288085803,51
math500_Phi-4-mini-instruct,equal_mix,1,L5,0.05178140096618359,0.0008135382599823407,138
math500_Phi-4-mini-instruct,equal_mix,1,overall,0.5732267645003492,0.003911515946027041,477
math500_Phi-4-mini-instruct,T1.0,2,L1,0.7726162790270278,0.001711714062144482,215
math500_Phi-4-mini-instruct,T1.0,2,L2,0.491279070041785,0.007179703545521465,43
math500_Phi-4-mini-instruct,T1.0,2,L3,0.436249999438102,0.003395259801737349,30
math500_Phi-4-mini-instruct,T1.0,2,L4,0.2777777779421288,0.007033359916219197,51
math500_Phi-4-mini-instruct,T1.0,2,L5,0.11139794693953821,0.002761369047655443,138
math500_Phi-4-mini-instruct,T1.0,2,overall,0.48189640112883775,0.0037666455128065497,477
math500_Phi-4-mini-instruct,T0.1,2,L1,0.9650969010914944,0.0009175495904300751,215
math500_Phi-4-mini-instruct,T0.1,2,L2,0.7075096886287363,0.0047922537093003405,43
math500_Phi-4-mini-instruct,T0.1,2,L3,0.5008333348565631,0.007095575424069145,30
math500_Phi-4-mini-instruct,T0.1,2,L4,0.3019607835053618,0.0044063149577024,51
math500_Phi-4-mini-instruct,T0.1,2,L5,0.053079710391480565,0.0017703641404291552,138
math500_Phi-4-mini-instruct,T0.1,2,overall,0.5779219085622676,0.002932383648914501,477
math500_Phi-4-mini-instruct,random_T,2,L1,0.8475387607318486,0.0024395523575227412,215
math500_Phi-4-mini-instruct,random_T,2,L2,0.5711724812150464,0.005838369976333444,43
math500_Phi-4-mini-instruct,random_T,2,L3,0.4763194440139665,0.012495601464956154,30
math500_Phi-4-mini-instruct,random_T,2,L4,0.30723039185920475,0.006484221342978054,51
math500_Phi-4-mini-instruct,random_T,2,L5,0.09622584575908665,0.0015293403404668278,138
math500_Phi-4-mini-instruct,random_T,2,overall,0.5241483234163246,0.004554939598440154,477
math500_Phi-4-mini-instruct,equal_mix,2,L1,0.9551453488372094,0.0012506082889866565,215
math500_Phi-4-mini-instruct,equal_mix,2,L2,0.6978682170542637,0.006912657857258887,43
math500_Phi-4-mini-instruct,equal_mix,2,L3,0.5109027777777777,0.00882474687497647,30
math500_Phi-4-mini-instruct,equal_mix,2,L4,0.3094362745098039,0.0035101256835752517,51
math500_Phi-4-mini-instruct,equal_mix,2,L5,0.06319444444444446,0.0022826566209216024,138
math500_Phi-4-mini-instruct,equal_mix,2,overall,0.5769261006289309,0.0035686497013343575,477
math500_Phi-4-mini-instruct,T1.0,4,L1,0.8904522000819214,0.0028892663514974337,215
math500_Phi-4-mini-instruct,T1.0,4,L2,0.6215520061610281,0.0074302434263336225,43
math500_Phi-4-mini-instruct,T1.0,4,L3,0.53120371122948,0.012031874160737059,30
math500_Phi-4-mini-instruct,T1.0,4,L4,0.3308551246939483,0.01119819682030889,51
math500_Phi-4-mini-instruct,T1.0,4,L5,0.12655747022787964,0.0034636708718820595,138
math500_Phi-4-mini-instruct,T1.0,4,overall,0.5627853519292673,0.005892592877509777,477
math500_Phi-4-mini-instruct,T0.1,4,L1,0.994544574918673,0.0009266722498964563,215
math500_Phi-4-mini-instruct,T0.1,4,L2,0.853706396827402,0.006888011310921501,43
math500_Phi-4-mini-instruct,T0.1,4,L3,0.6218518536951807,0.009905192004669716,30
math500_Phi-4-mini-instruct,T0.1,4,L4,0.3410471171822423,0.008018216587518454,51
math500_Phi-4-mini-instruct,T0.1,4,L5,0.04599184861883593,0.001589029123115293,138
math500_Phi-4-mini-instruct,T0.1,4,overall,0.6141138204772372,0.004294080952541746,477
math500_Phi-4-mini-instruct,random_T,4,L1,0.9284318505808017,0.002342898019321784,215
math500_Phi-4-mini-instruct,random_T,4,L2,0.6990956128971982,0.0046976300049021095,43
math500_Phi-4-mini-instruct,random_T,4,L3,0.602893520726098,0.007757495752608797,30
math500_Phi-4-mini-instruct,random_T,4,L4,0.35845588644497783,0.009809400876910682,51
math500_Phi-4-mini-instruct,random_T,4,L5,0.10337158042435862,0.0024841836036708234,138
math500_Phi-4-mini-instruct,random_T,4,overall,0.5876463168941093,0.0045079731659417276,477
math500_Phi-4-mini-instruct,equal_mix,4,L1,0.9839744832041345,0.001134828794596444,215
math500_Phi-4-mini-instruct,equal_mix,4,L2,0.8261627906976745,0.010165647751475524,43
math500_Phi-4-mini-instruct,equal_mix,4,L3,0.6688194444444445,0.01270351305061569,30
math500_Phi-4-mini-instruct,equal_mix,4,L4,0.37777096949891065,0.009925896210643265,51
math500_Phi-4-mini-instruct,equal_mix,4,L5,0.07304750402576488,0.002113648777235254,138
math500_Phi-4-mini-instruct,equal_mix,4,overall,0.6215743652457489,0.005645559993469669,477
math500_Phi-4-mini-instruct,T1.0,8,L1,0.9371083683630292,0.0012279588124882996,215
math500_Phi-4-mini-instruct,T1.0,8,L2,0.7205782828513216,0.003285707465357412,43
math500_Phi-4-mini-instruct,T1.0,8,L3,0.6476332691808542,0.0158950977299199,30
math500_Phi-4-mini-instruct,T1.0,8,L4,0.4124533159283958,0.007444033002280971,51
math500_Phi-4-mini-instruct,T1.0,8,L5,0.14490514427225518,0.0037731596204927005,138
math500_Phi-4-mini-instruct,T1.0,8,overall,0.6140968395345977,0.005252294207693711,477
