combo,baseline,N,stratum,mean,std6,n_pids
mathfull_Llama-3.2-3B,T1.0,1,L1,0.7877688976489955,0.0010546288282224574,1689
mathfull_Llama-3.2-3B,T1.0,1,L2,0.48285555539611313,0.0020484868744952024,375
mathfull_Llama-3.2-3B,T1.0,1,L3,0.36961640212487773,0.0025967869820636446,315
mathfull_Llama-3.2-3B,T1.0,1,L4,0.2717874653954372,0.002506615218551347,476
mathfull_Llama-3.2-3B,T1.0,1,L5,0.08525824340403632,0.0010338604974978475,1749
mathfull_Llama-3.2-3B,T1.0,1,overall,0.4141027735260469,0.0015056037300629581,4604
mathfull_Llama-3.2-3B,T0.1,1,L1,0.9657983044524482,0.0005544336102717609,1689
mathfull_Llama-3.2-3B,T0.1,1,L2,0.7045444439252218,0.003310700353288372,375
mathfull_Llama-3.2-3B,T0.1,1,L3,0.4986243366012497,0.005903965174261864,315
mathfull_Llama-3.2-3B,T0.1,1,L4,0.295098039547258,0.0035673585454148696,476
mathfull_Llama-3.2-3B,T0.1,1,L5,0.05077663486000213,0.00034086237091571214,1749
mathfull_Llama-3.2-3B,T0.1,1,overall,0.49560798651524224,0.0021795078925216683,4604
mathfull_Llama-3.2-3B,random_T,1,L1,0.8466054878662811,0.0012785639241046773,1689
mathfull_Llama-3.2-3B,random_T,1,L2,0.5540777770909998,0.0023808185066190577,375
mathfull_Llama-3.2-3B,random_T,1,L3,0.4206481475471741,0.0037837811938078586,315
mathfull_Llama-3.2-3B,random_T,1,L4,0.2994222689057369,0.0029967366796592463,476
mathfull_Llama-3.2-3B,random_T,1,L5,0.08009576968502942,0.00043756560290443157,1749
mathfull_Llama-3.2-3B,random_T,1,overall,0.4458758694767334,0.0017441769202792105,4604
mathfull_Llama-3.2-3B,equal_mix,1,L1,0.9660277284389172,0.0011025562700433074,1689
mathfull_Llama-3.2-3B,equal_mix,1,L2,0.7048333333333332,0.0018755739862179141,375
mathfull_Llama-3.2-3B,equal_mix,1,L3,0.49698412698412686,0.003289584408898676,315
mathfull_Llama-3.2-3B,equal_mix,1,L4,0.2967261904761905,0.004389281781010955,476
mathfull_Llama-3.2-3B,equal_mix,1,L5,0.05092433771679056,0.0011720518568180695,1749
mathfull_Llama-3.2-3B,equal_mix,1,overall,0.49582790327251614,0.001996642798803229,4604
mathfull_Llama-3.2-3B,T1.0,2,L1,0.8037213840558083,0.0008109286778218588,1689
mathfull_Llama-3.2-3B,T1.0,2,L2,0.5149722224159373,0.001968351524012127,375
mathfull_Llama-3.2-3B,T1.0,2,L3,0.40074074039994567,0.00270548445418846,315
mathfull_Llama-3.2-3B,T1.0,2,L4,0.298853291134697,0.001097760197229648,476
mathfull_Llama-3.2-3B,T1.0,2,L5,0.09720078159160223,0.0004975558250781326,1749
mathfull_Llama-3.2-3B,T1.0,2,overall,0.43203554906299907,0.0011297156468852087,4604
mathfull_Llama-3.2-3B,T0.1,2,L1,0.9667850811852725,0.0003838171423955828,1689
mathfull_Llama-3.2-3B,T0.1,2,L2,0.7149055554469427,0.0016864716167007327,375
mathfull_Llama-3.2-3B,T0.1,2,L3,0.5114285712835019,0.0036770961319656185,315
mathfull_Llama-3.2-3B,T0.1,2,L4,0.3094581579789519,0.0021697864713208642,476
mathfull_Llama-3.2-3B,T0.1,2,L5,0.05539594079359474,0.0007060223293633216,1749
mathfull_Llama-3.2-3B,T0.1,2,overall,0.500929445919811,0.001373647927960995,4604
mathfull_Llama-3.2-3B,random_T,2,L1,0.8551904487893948,0.001019904782129372,1689
mathfull_Llama-3.2-3B,random_T,2,L2,0.5751888887219959,0.0036654349351209017,375
mathfull_Llama-3.2-3B,random_T,2,L3,0.4434193121712832,0.0022424558496427047,315
mathfull_Llama-3.2-3B,random_T,2,L4,0.3180103287070139,0.003405711666845907,476
mathfull_Llama-3.2-3B,random_T,2,L5,0.08890675652430687,0.001119608115585002,1749
mathfull_Llama-3.2-3B,random_T,2,overall,0.4575717676445573,0.0018695902391007615,4604
mathfull_Llama-3.2-3B,equal_mix,2,L1,0.9554951154529278,0.0005879025809271938,1689
mathfull_Llama-3.2-3B,equal_mix,2,L2,0.6962666666666668,0.004733051634809936,375
mathfull_Llama-3.2-3B,equal_mix,2,L3,0.5109920634920635,0.0013709728813771844,315
mathfull_Llama-3.2-3B,equal_mix,2,L4,0.32949492296918764,0.0028965903558951485,476
mathfull_Llama-3.2-3B,equal_mix,2,L5,0.06552553840289711,0.0005403326965105794,1749
mathfull_Llama-3.2-3B,equal_mix,2,overall,0.5011593179843604,0.0017488290428876074,4604
mathfull_Llama-3.2-3B,T1.0,4,L1,0.9142661290657741,0.0012585753854436764,1689
mathfull_Llama-3.2-3B,T1.0,4,L2,0.6540370416525337,0.0026547517757550135,375
mathfull_Llama-3.2-3B,T1.0,4,L3,0.507967376027,0.0018470961572200795,315
mathfull_Llama-3.2-3B,T1.0,4,L4,0.37239073170104425,0.0016980133999516692,476
mathfull_Llama-3.2-3B,T1.0,4,L5,0.11126556665019267,0.0008200991395871536,1749
mathfull_Llama-3.2-3B,T1.0,4,overall,0.5041986469203261,0.0013936160507597975,4604
mathfull_Llama-3.2-3B,T0.1,4,L1,0.9935162582528269,0.00025475377099843326,1689
mathfull_Llama-3.2-3B,T0.1,4,L2,0.8693879641691845,0.0028163049061277444,375
mathfull_Llama-3.2-3B,T0.1,4,L3,0.6346472683091643,0.003108783195950299,315
mathfull_Llama-3.2-3B,T0.1,4,L4,0.3542622298117028,0.003689083471861436,476
mathfull_Llama-3.2-3B,T0.1,4,L5,0.04861567837412643,0.0006719161145379522,1749
mathfull_Llama-3.2-3B,T0.1,4,overall,0.5338055992911758,0.001705764661098127,4604
mathfull_Llama-3.2-3B,random_T,4,L1,0.9333039395553792,0.0008642406556001482,1689
mathfull_Llama-3.2-3B,random_T,4,L2,0.7145805599225893,0.004170214352904593,375
mathfull_Llama-3.2-3B,random_T,4,L3,0.5564032237740263,0.007292162427579769,315
mathfull_Llama-3.2-3B,random_T,4,L4,0.38953957071296963,0.003547296545754096,476
mathfull_Llama-3.2-3B,random_T,4,L5,0.09561356684565403,0.0007343320756318134,1749
mathfull_Llama-3.2-3B,random_T,4,overall,0.5152550050914959,0.002614292751132223,4604
mathfull_Llama-3.2-3B,equal_mix,4,L1,0.9847941747253453,0.0003592038949638267,1689
mathfull_Llama-3.2-3B,equal_mix,4,L2,0.839422222222222,0.0029519045954672298,375
mathfull_Llama-3.2-3B,equal_mix,4,L3,0.6463062169312169,0.00437437032305708,315
mathfull_Llama-3.2-3B,equal_mix,4,L4,0.4264246323529412,0.0030840633357526043,476
mathfull_Llama-3.2-3B,equal_mix,4,L5,0.07805353058890796,0.0003891068422069948,1749
mathfull_Llama-3.2-3B,equal_mix,4,overall,0.5476066252775357,0.0017627157498258594,4604
mathfull_Llama-3.2-3B,T1.0,8,L1,0.9604782739750495,0.0005452122332340139,1689
mathfull_Llama-3.2-3B,T1.0,8,L2,0.7833252533293433,0.002278453811110962,375
mathfull_Llama-3.2-3B,T1.0,8,L3,0.6272089183517786,0.002037187326502624,315
mathfull_Llama-3.2-3B,T1.0,8,L4,0.4689507592038685,0.002407130376055412,476
mathfull_Llama-3.2-3B,T1.0,8,L5,0.13044720081335484,0.0014656917120983318,1749
mathfull_Llama-3.2-3B,T1.0,8,overall,0.5571108383203239,0.0014936502843172778,4604
mathfull_Llama-3.2-3B,T0.1,8,L1,0.999187553907631,0.00014250873471092162,1689
mathfull_Llama-3.2-3B,T0.1,8,L2,0.949517767826716,0.0010221147026020718,375
mathfull_Llama-3.2-3B,T0.1,8,L3,0.7427679221229578,0.0012756360027293644,315
mathfull_Llama-3.2-3B,T0.1,8,L4,0.420163932499014,0.0025871026223582144,476
mathfull_Llama-3.2-3B,T0.1,8,L5,0.04845034213474314,0.0006140019609478766,1749
mathfull_Llama-3.2-3B,T0.1,8,overall,0.5565609290219234,0.0010193543597386183,4604
mathfull_Llama-3.2-3B,random_T,8,L1,0.9614889397489348,0.00034550155291785935,1689
mathfull_Llama-3.2-3B,random_T,8,L2,0.8119384149776564,0.0026522820250234427,375
mathfull_Llama-3.2-3B,random_T,8,L3,0.6570093239790626,0.003432249137416786,315
mathfull_Llama-3.2-3B,random_T,8,L4,0.4731122876748349,0.0020137969279694795,476
mathfull_Llama-3.2-3B,random_T,8,L5,0.10820901113142418,0.0014426207145865602,1749
mathfull_Llama-3.2-3B,random_T,8,overall,0.5538333343414551,0.0016225427604009625,4604
mathfull_Llama-3.2-3B,equal_mix,8,L1,0.9909518552585818,0.00018712301176216774,1689
mathfull_Llama-3.2-3B,equal_mix,8,L2,0.9100391534391538,0.002008645996535467,375
