combo,baseline,N,stratum,mean,std6,n_pids
mathfull_Qwen2.5-3B,T1.0,1,L1,0.8513628012672788,0.0012142970467105174,2715
mathfull_Qwen2.5-3B,T1.0,1,L2,0.5231553811220996,0.003377310599880912,384
mathfull_Qwen2.5-3B,T1.0,1,L3,0.3827787254639266,0.0020194400706482043,293
mathfull_Qwen2.5-3B,T1.0,1,L4,0.28858494908838694,0.003320755742473503,361
mathfull_Qwen2.5-3B,T1.0,1,L5,0.10783808176773498,0.0014238885690870291,1018
mathfull_Qwen2.5-3B,T1.0,1,overall,0.5949390425933642,0.0018095818002903375,4771
mathfull_Qwen2.5-3B,T0.1,1,L1,0.9766728068107913,0.0004121556468581105,2715
mathfull_Qwen2.5-3B,T0.1,1,L2,0.7008246528243439,0.004202053114756308,384
mathfull_Qwen2.5-3B,T0.1,1,L3,0.5059300326192337,0.006445623379132911,293
mathfull_Qwen2.5-3B,T0.1,1,L4,0.2956024935427754,0.0027557627496158973,361
mathfull_Qwen2.5-3B,T0.1,1,L5,0.0565528821644752,0.0008182505694057864,1018
mathfull_Qwen2.5-3B,T0.1,1,overall,0.6776994699110583,0.002187869091462844,4771
mathfull_Qwen2.5-3B,random_T,1,L1,0.8979159018218043,0.0007352810867813638,2715
mathfull_Qwen2.5-3B,random_T,1,L2,0.5921332455925746,0.003932510692965896,384
mathfull_Qwen2.5-3B,random_T,1,L3,0.44236348043444895,0.007085251293422443,293
mathfull_Qwen2.5-3B,random_T,1,L4,0.3141966762437398,0.0045777663577668245,361
mathfull_Qwen2.5-3B,random_T,1,L5,0.10044613692326411,0.001848965653619888,1018
mathfull_Qwen2.5-3B,random_T,1,overall,0.6310024118702398,0.002636362435712764,4771
mathfull_Qwen2.5-3B,equal_mix,1,L1,0.9773066298342511,0.000507323866081581,2715
mathfull_Qwen2.5-3B,equal_mix,1,L2,0.6975260416666668,0.0038851426260596623,384
mathfull_Qwen2.5-3B,equal_mix,1,L3,0.5058731513083048,0.0017795097690957906,293
mathfull_Qwen2.5-3B,equal_mix,1,L4,0.29809556786703595,0.0027772587117093385,361
mathfull_Qwen2.5-3B,equal_mix,1,L5,0.05588163064832991,0.0011200959197680215,1018
mathfull_Qwen2.5-3B,equal_mix,1,overall,0.6778365821281335,0.0015514973836158832,4771
mathfull_Qwen2.5-3B,T1.0,2,L1,0.8604005538289045,0.0005069812983819416,2715
mathfull_Qwen2.5-3B,T1.0,2,L2,0.5484483502012962,0.002473672832791429,384
mathfull_Qwen2.5-3B,T1.0,2,L3,0.410153583417921,0.0039645936824106425,293
mathfull_Qwen2.5-3B,T1.0,2,L4,0.3100992609026119,0.0034113699746898597,361
mathfull_Qwen2.5-3B,T1.0,2,L5,0.11791707617191068,0.0010889845268923495,1018
mathfull_Qwen2.5-3B,T1.0,2,overall,0.6075774652678835,0.0016545815155227005,4771
mathfull_Qwen2.5-3B,T0.1,2,L1,0.9771723460280288,0.00040079496371557994,2715
mathfull_Qwen2.5-3B,T0.1,2,L2,0.7071994363149213,0.0027825013390202482,384
mathfull_Qwen2.5-3B,T0.1,2,L3,0.5141638227493689,0.003956688934490332,293
mathfull_Qwen2.5-3B,T0.1,2,L4,0.3071791315580256,0.004082565189733528,361
mathfull_Qwen2.5-3B,T0.1,2,L5,0.05972290469639091,0.0008923503280388675,1018
mathfull_Qwen2.5-3B,T0.1,2,overall,0.6805548284531475,0.0017626826916525716,4771
mathfull_Qwen2.5-3B,random_T,2,L1,0.9037852996163313,0.000693306146302819,2715
mathfull_Qwen2.5-3B,random_T,2,L2,0.6130805114387637,0.002292777620480399,384
mathfull_Qwen2.5-3B,random_T,2,L3,0.4644340158729423,0.003411866481767443,293
mathfull_Qwen2.5-3B,random_T,2,L4,0.3328081716354231,0.002300769518502932,361
mathfull_Qwen2.5-3B,random_T,2,L5,0.10984569438062268,0.0013196655334860548,1018
mathfull_Qwen2.5-3B,random_T,2,overall,0.6407977024400457,0.0014777216026993522,4771
mathfull_Qwen2.5-3B,equal_mix,2,L1,0.9694221915285454,0.00022614752608297463,2715
mathfull_Qwen2.5-3B,equal_mix,2,L2,0.6966471354166667,0.002201830231729583,384
mathfull_Qwen2.5-3B,equal_mix,2,L3,0.5216723549488055,0.0039297343904997175,293
mathfull_Qwen2.5-3B,equal_mix,2,L4,0.32817405355494,0.0023210985126587555,361
mathfull_Qwen2.5-3B,equal_mix,2,L5,0.07315815324165037,0.0005842523208924804,1018
mathfull_Qwen2.5-3B,equal_mix,2,overall,0.6802116083280935,0.0013594751667392595,4771
mathfull_Qwen2.5-3B,T1.0,4,L1,0.9435628987090666,0.00035859058815909244,2715
mathfull_Qwen2.5-3B,T1.0,4,L2,0.6937608552596228,0.0028822151663565596,384
mathfull_Qwen2.5-3B,T1.0,4,L3,0.5153666613363916,0.0034458753295657845,293
mathfull_Qwen2.5-3B,T1.0,4,L4,0.38805498237229735,0.002018848221456679,361
mathfull_Qwen2.5-3B,T1.0,4,L5,0.1318949895486121,0.0006257975767331502,1018
mathfull_Qwen2.5-3B,T1.0,4,overall,0.6819402259868498,0.001364902828999661,4771
mathfull_Qwen2.5-3B,T0.1,4,L1,0.9959192764327306,9.395978896507605e-05,2715
mathfull_Qwen2.5-3B,T0.1,4,L2,0.8567183893173933,0.003287190816874208,384
mathfull_Qwen2.5-3B,T0.1,4,L3,0.6416631137382184,0.0049782048090747195,293
mathfull_Qwen2.5-3B,T0.1,4,L4,0.34478782250314594,0.0020260535983096842,361
mathfull_Qwen2.5-3B,T0.1,4,L5,0.04736479572634949,0.0005943592474702994,1018
mathfull_Qwen2.5-3B,T0.1,4,overall,0.7112961130394256,0.001668132269244667,4771
mathfull_Qwen2.5-3B,random_T,4,L1,0.9632256519943567,0.0005498207283565765,2715
mathfull_Qwen2.5-3B,random_T,4,L2,0.7561722400164904,0.002955209496477778,384
mathfull_Qwen2.5-3B,random_T,4,L3,0.5801230130952373,0.003979543381337957,293
mathfull_Qwen2.5-3B,random_T,4,L4,0.41010599887550625,0.0032315351318472625,361
mathfull_Qwen2.5-3B,random_T,4,L5,0.11556667687815687,0.0005324303825173583,1018
mathfull_Qwen2.5-3B,random_T,4,overall,0.700314183782003,0.0016426088790698022,4771
mathfull_Qwen2.5-3B,equal_mix,4,L1,0.9907187436054841,0.00017179116077162645,2715
mathfull_Qwen2.5-3B,equal_mix,4,L2,0.8428864655671299,0.0024543000009185282,384
mathfull_Qwen2.5-3B,equal_mix,4,L3,0.6616929749715587,0.0023840313768160493,293
mathfull_Qwen2.5-3B,equal_mix,4,L4,0.4217826638965836,0.002944163096071469,361
mathfull_Qwen2.5-3B,equal_mix,4,L5,0.08549068161973371,0.0005512023181779581,1018
mathfull_Qwen2.5-3B,equal_mix,4,overall,0.7224143552481428,0.001253538747782512,4771
mathfull_Qwen2.5-3B,T1.0,8,L1,0.9742808063033719,0.00039165294598679333,2715
mathfull_Qwen2.5-3B,T1.0,8,L2,0.8064956425595383,0.0018519190791498714,384
mathfull_Qwen2.5-3B,T1.0,8,L3,0.6261223043390339,0.0034543572886763184,293
mathfull_Qwen2.5-3B,T1.0,8,L4,0.48220580398495927,0.0032291388125329015,361
mathfull_Qwen2.5-3B,T1.0,8,L5,0.1492818757445968,0.0006932636761967185,1018
mathfull_Qwen2.5-3B,T1.0,8,overall,0.726129908986465,0.0014098501438900863,4771
mathfull_Qwen2.5-3B,T0.1,8,L1,0.9995649173700275,3.6456416832633607e-05,2715
mathfull_Qwen2.5-3B,T0.1,8,L2,0.9371773109823051,0.0011309782789793532,384
mathfull_Qwen2.5-3B,T0.1,8,L3,0.7491218233745931,0.0023102474625871392,293
mathfull_Qwen2.5-3B,T0.1,8,L4,0.3933486161854149,0.004738099305281399,361
mathfull_Qwen2.5-3B,T0.1,8,L5,0.04255330200244098,0.0011342744432591687,1018
mathfull_Qwen2.5-3B,T0.1,8,overall,0.729093616476002,0.0015506968840437025,4771
mathfull_Qwen2.5-3B,random_T,8,L1,0.9835008195265806,0.0004782801856659715,2715
mathfull_Qwen2.5-3B,random_T,8,L2,0.8510338409186161,0.002160005581981431,384
mathfull_Qwen2.5-3B,random_T,8,L3,0.6883737275650272,0.003625167545143564,293
mathfull_Qwen2.5-3B,random_T,8,L4,0.4952823275412989,0.001959932624359299,361
