model,dataset,baseline,stratum,N,mean,std6,n_pids
Llama-3.2-3B,gsm8kfull,T0.1,L1,1,0.9845958204455522,0.000899346397854,901
Llama-3.2-3B,gsm8kfull,T0.1,L1,2,0.9844640223154348,0.0005180895292105,901
Llama-3.2-3B,gsm8kfull,T0.1,L1,4,0.9968083308023564,0.0001572235921637,901
Llama-3.2-3B,gsm8kfull,T0.1,L1,8,0.9995583613029994,6.932108286011753e-05,901
Llama-3.2-3B,gsm8kfull,T0.1,L1,16,0.9999653163482822,1.9123245847135574e-05,901
Llama-3.2-3B,gsm8kfull,T0.1,L1,32,1.0,0.0,901
Llama-3.2-3B,gsm8kfull,T0.1,L1,64,1.0,0.0,901
Llama-3.2-3B,gsm8kfull,T0.1,L1,128,1.0,0.0,901
Llama-3.2-3B,gsm8kfull,T0.1,L1,256,1.0,0.0,901
Llama-3.2-3B,gsm8kfull,T0.1,L1,512,1.0,0.0,901
Llama-3.2-3B,gsm8kfull,T0.1,L1,1024,1.0,0.0,901
Llama-3.2-3B,gsm8kfull,T0.1,L1,1536,1.0,0.0,901
Llama-3.2-3B,gsm8kfull,T0.1,L2,1,0.7227150528661666,0.0056777105510051,62
Llama-3.2-3B,gsm8kfull,T0.1,L2,2,0.7194892488500124,0.0066583153627053,62
Llama-3.2-3B,gsm8kfull,T0.1,L2,4,0.8614639345035758,0.0073617843020091,62
Llama-3.2-3B,gsm8kfull,T0.1,L2,8,0.9408770185965364,0.003765465570217,62
Llama-3.2-3B,gsm8kfull,T0.1,L2,16,0.9815860232037884,0.0026584361584436,62
Llama-3.2-3B,gsm8kfull,T0.1,L2,32,0.995295700046324,0.0008030848089447,62
Llama-3.2-3B,gsm8kfull,T0.1,L2,64,0.9994287636651789,0.0004670578024456,62
Llama-3.2-3B,gsm8kfull,T0.1,L2,128,1.0,0.0,62
Llama-3.2-3B,gsm8kfull,T0.1,L2,256,1.0,0.0,62
Llama-3.2-3B,gsm8kfull,T0.1,L2,512,1.0,0.0,62
Llama-3.2-3B,gsm8kfull,T0.1,L2,1024,1.0,0.0,62
Llama-3.2-3B,gsm8kfull,T0.1,L2,1536,1.0,0.0,62
Llama-3.2-3B,gsm8kfull,T0.1,L3,1,0.5169270800737044,0.0100279013355416,48
Llama-3.2-3B,gsm8kfull,T0.1,L3,2,0.5076822913769219,0.0054045083370664,48
Llama-3.2-3B,gsm8kfull,T0.1,L3,4,0.6042679415808784,0.0062233992643602,48
Llama-3.2-3B,gsm8kfull,T0.1,L3,8,0.6722842272267573,0.008153554727786,48
Llama-3.2-3B,gsm8kfull,T0.1,L3,16,0.7435691564654311,0.0064009571209614,48
Llama-3.2-3B,gsm8kfull,T0.1,L3,32,0.7929542821107639,0.0072749916984011,48
Llama-3.2-3B,gsm8kfull,T0.1,L3,64,0.8224247703587428,0.0042404007541882,48
Llama-3.2-3B,gsm8kfull,T0.1,L3,128,0.842100696136994,0.0023905428435788,48
Llama-3.2-3B,gsm8kfull,T0.1,L3,256,0.8497829875430196,0.0032585054021156,48
Llama-3.2-3B,gsm8kfull,T0.1,L3,512,0.853993055759929,0.0033538863634609,48
Llama-3.2-3B,gsm8kfull,T0.1,L3,1024,0.8567708340835654,0.0020036858312845,48
Llama-3.2-3B,gsm8kfull,T0.1,L3,1536,0.8555989586489482,0.0012297620941358,48
Llama-3.2-3B,gsm8kfull,T0.1,L4,1,0.3021153841263209,0.0091203328713043,65
Llama-3.2-3B,gsm8kfull,T0.1,L4,2,0.3016987175895617,0.0035238338792152,65
Llama-3.2-3B,gsm8kfull,T0.1,L4,4,0.2932959410624626,0.0124763980050828,65
Llama-3.2-3B,gsm8kfull,T0.1,L4,8,0.2797055112747237,0.0038241706021464,65
Llama-3.2-3B,gsm8kfull,T0.1,L4,16,0.2559102578255801,0.0082415561214814,65
Llama-3.2-3B,gsm8kfull,T0.1,L4,32,0.2307692302987934,0.0075324463326719,65
Llama-3.2-3B,gsm8kfull,T0.1,L4,64,0.2153952995267433,0.0039217818307396,65
Llama-3.2-3B,gsm8kfull,T0.1,L4,128,0.2082158125029542,0.0059141922879292,65
Llama-3.2-3B,gsm8kfull,T0.1,L4,256,0.2060790595359718,0.003217007823255,65
Llama-3.2-3B,gsm8kfull,T0.1,L4,512,0.2090384617400092,0.0030793257103533,65
Llama-3.2-3B,gsm8kfull,T0.1,L4,1024,0.2122756409482696,0.0041981548190826,65
Llama-3.2-3B,gsm8kfull,T0.1,L4,1536,0.2131089742558124,0.0023939538596867,65
Llama-3.2-3B,gsm8kfull,T0.1,L5,1,0.0588598907925188,0.0028914753134645,182
Llama-3.2-3B,gsm8kfull,T0.1,L5,2,0.0610805862948243,0.001077808091389,182
Llama-3.2-3B,gsm8kfull,T0.1,L5,4,0.0379521526104596,0.0017070951292609,182
Llama-3.2-3B,gsm8kfull,T0.1,L5,8,0.028873681293113,0.0018378890583011,182
Llama-3.2-3B,gsm8kfull,T0.1,L5,16,0.023249390022488,0.0016191091978211,182
Llama-3.2-3B,gsm8kfull,T0.1,L5,32,0.019759997171128,0.0011947263797796,182
Llama-3.2-3B,gsm8kfull,T0.1,L5,64,0.0180898961967587,0.0004984677399044,182
Llama-3.2-3B,gsm8kfull,T0.1,L5,128,0.0188911781755477,0.0009644138064615,182
Llama-3.2-3B,gsm8kfull,T0.1,L5,256,0.0181547619484283,0.0009404856829166,182
Llama-3.2-3B,gsm8kfull,T0.1,L5,512,0.0176434676212364,0.0010425762092314,182
Llama-3.2-3B,gsm8kfull,T0.1,L5,1024,0.0175213676317843,0.0006227217698029,182
Llama-3.2-3B,gsm8kfull,T0.1,L5,1536,0.0173534797982145,0.0008463886141131,182
