combo,baseline,N,stratum,mean,std6,n_pids
aime2024_Phi-4-mini-instruct,T0.1,1,L1,,,0
aime2024_Phi-4-mini-instruct,T0.1,1,L2,0.5875000059604645,0.04401704418534357,1
aime2024_Phi-4-mini-instruct,T0.1,1,L3,,,0
aime2024_Phi-4-mini-instruct,T0.1,1,L4,,,0
aime2024_Phi-4-mini-instruct,T0.1,1,L5,0.016176470884067172,0.005423261520337174,17
aime2024_Phi-4-mini-instruct,T0.1,1,overall,0.047916667277200356,0.01163686716293421,18
aime2024_Phi-4-mini-instruct,T0.2,1,L1,,,0
aime2024_Phi-4-mini-instruct,T0.2,1,L2,0.6166666646798452,0.06258327372464181,1
aime2024_Phi-4-mini-instruct,T0.2,1,L3,,,0
aime2024_Phi-4-mini-instruct,T0.2,1,L4,,,0
aime2024_Phi-4-mini-instruct,T0.2,1,L5,0.012009804155312331,0.00512952214415247,17
aime2024_Phi-4-mini-instruct,T0.2,1,overall,0.04560185196223083,0.015570574288913619,18
aime2024_Phi-4-mini-instruct,T0.3,1,L1,,,0
aime2024_Phi-4-mini-instruct,T0.3,1,L2,0.6541666686534882,0.04306003953118017,1
aime2024_Phi-4-mini-instruct,T0.3,1,L3,,,0
aime2024_Phi-4-mini-instruct,T0.3,1,L4,,,0
aime2024_Phi-4-mini-instruct,T0.3,1,L5,0.01299019632678406,0.004958012982202953,17
aime2024_Phi-4-mini-instruct,T0.3,1,overall,0.0486111114560454,0.01123501268571103,18
aime2024_Phi-4-mini-instruct,T0.4,1,L1,,,0
aime2024_Phi-4-mini-instruct,T0.4,1,L2,0.4958333323399226,0.06406376232671501,1
aime2024_Phi-4-mini-instruct,T0.4,1,L3,,,0
aime2024_Phi-4-mini-instruct,T0.4,1,L4,,,0
aime2024_Phi-4-mini-instruct,T0.4,1,L5,0.014460784492685515,0.003277355800374897,17
aime2024_Phi-4-mini-instruct,T0.4,1,overall,0.04120370381753202,0.015432224008317605,18
aime2024_Phi-4-mini-instruct,T0.5,1,L1,,,0
aime2024_Phi-4-mini-instruct,T0.5,1,L2,0.4749999940395355,0.09617691689978909,1
aime2024_Phi-4-mini-instruct,T0.5,1,L3,,,0
aime2024_Phi-4-mini-instruct,T0.5,1,L4,,,0
aime2024_Phi-4-mini-instruct,T0.5,1,L5,0.016666666969803037,0.002214037246841984,17
aime2024_Phi-4-mini-instruct,T0.5,1,overall,0.04212962958478818,0.02277100090534962,18
aime2024_Phi-4-mini-instruct,T0.6,1,L1,,,0
aime2024_Phi-4-mini-instruct,T0.6,1,L2,0.4250000019868215,0.09746795445564362,1
aime2024_Phi-4-mini-instruct,T0.6,1,L3,,,0
aime2024_Phi-4-mini-instruct,T0.6,1,L4,,,0
aime2024_Phi-4-mini-instruct,T0.6,1,L5,0.01446078458399165,0.0021646473852945476,17
aime2024_Phi-4-mini-instruct,T0.6,1,overall,0.037268518884148866,0.023069531393536607,18
aime2024_Phi-4-mini-instruct,T0.7,1,L1,,,0
aime2024_Phi-4-mini-instruct,T0.7,1,L2,0.3625000019868215,0.04677072052067745,1
aime2024_Phi-4-mini-instruct,T0.7,1,L3,,,0
aime2024_Phi-4-mini-instruct,T0.7,1,L4,,,0
aime2024_Phi-4-mini-instruct,T0.7,1,L5,0.01470588259033713,0.0043624696968141636,17
aime2024_Phi-4-mini-instruct,T0.7,1,overall,0.03402777811236404,0.011811081683385525,18
aime2024_Phi-4-mini-instruct,T0.8,1,L1,,,0
aime2024_Phi-4-mini-instruct,T0.8,1,L2,0.34583333134651184,0.08862373602593068,1
aime2024_Phi-4-mini-instruct,T0.8,1,L3,,,0
aime2024_Phi-4-mini-instruct,T0.8,1,L4,,,0
aime2024_Phi-4-mini-instruct,T0.8,1,L5,0.013480392449042375,0.003881535995675063,17
aime2024_Phi-4-mini-instruct,T0.8,1,overall,0.031944444610012904,0.021226678779114928,18
aime2024_Phi-4-mini-instruct,T0.9,1,L1,,,0
aime2024_Phi-4-mini-instruct,T0.9,1,L2,0.32083334028720856,0.05571504785416162,1
aime2024_Phi-4-mini-instruct,T0.9,1,L3,,,0
aime2024_Phi-4-mini-instruct,T0.9,1,L4,,,0
aime2024_Phi-4-mini-instruct,T0.9,1,L5,0.01274509821087122,0.0034383683420612194,17
