combo,baseline,N,stratum,mean,std6,n_pids
aime2025_Qwen2.5-3B,T0.1,1,L1,,,0
aime2025_Qwen2.5-3B,T0.1,1,L2,,,0
aime2025_Qwen2.5-3B,T0.1,1,L3,0.475000003973643,0.09354143626235055,1
aime2025_Qwen2.5-3B,T0.1,1,L4,,,0
aime2025_Qwen2.5-3B,T0.1,1,L5,0.02009803933255813,0.002575279325934243,17
aime2025_Qwen2.5-3B,T0.1,1,overall,0.04537037070150729,0.022189518771176784,18
aime2025_Qwen2.5-3B,T0.2,1,L1,,,0
aime2025_Qwen2.5-3B,T0.2,1,L2,,,0
aime2025_Qwen2.5-3B,T0.2,1,L3,0.2875000014901161,0.05863019382085496,1
aime2025_Qwen2.5-3B,T0.2,1,L4,,,0
aime2025_Qwen2.5-3B,T0.2,1,L5,0.02769607864320278,0.006057443145332606,17
aime2025_Qwen2.5-3B,T0.2,1,overall,0.04212962991247574,0.015020863498394025,18
aime2025_Qwen2.5-3B,T0.3,1,L1,,,0
aime2025_Qwen2.5-3B,T0.3,1,L2,,,0
aime2025_Qwen2.5-3B,T0.3,1,L3,0.24166666467984518,0.09309493101074523,1
aime2025_Qwen2.5-3B,T0.3,1,L4,,,0
aime2025_Qwen2.5-3B,T0.3,1,L5,0.029656862913101326,0.006538194054805599,17
aime2025_Qwen2.5-3B,T0.3,1,overall,0.04143518523347599,0.02284413596693718,18
aime2025_Qwen2.5-3B,T0.4,1,L1,,,0
aime2025_Qwen2.5-3B,T0.4,1,L2,,,0
aime2025_Qwen2.5-3B,T0.4,1,L3,0.15000000099341074,0.022360678442197853,1
aime2025_Qwen2.5-3B,T0.4,1,L4,,,0
aime2025_Qwen2.5-3B,T0.4,1,L5,0.031127451097264006,0.008023358123273022,17
aime2025_Qwen2.5-3B,T0.4,1,overall,0.03773148164704994,0.00941146648496846,18
aime2025_Qwen2.5-3B,T0.5,1,L1,,,0
aime2025_Qwen2.5-3B,T0.5,1,L2,,,0
