combo,baseline,N,stratum,mean,std6,n_pids
aime2025_Qwen3-4B-Instruct-2507,T0.1,1,L1,0.9440476213182721,0.009494000884764493,7
aime2025_Qwen3-4B-Instruct-2507,T0.1,1,L2,,,0
aime2025_Qwen3-4B-Instruct-2507,T0.1,1,L3,0.49374999354283017,0.04524240605310267,2
aime2025_Qwen3-4B-Instruct-2507,T0.1,1,L4,0.2416666696468989,0.046547472574872774,1
aime2025_Qwen3-4B-Instruct-2507,T0.1,1,L5,0.030681818554347217,0.004001548702004247,11
aime2025_Qwen3-4B-Instruct-2507,T0.1,1,overall,0.38928571476468016,0.018345242663212465,21
aime2025_Qwen3-4B-Instruct-2507,T0.2,1,L1,0.9380952389467331,0.013862786475046024,7
aime2025_Qwen3-4B-Instruct-2507,T0.2,1,L2,,,0
aime2025_Qwen3-4B-Instruct-2507,T0.2,1,L3,0.4979166661699613,0.06245832180107299,2
aime2025_Qwen3-4B-Instruct-2507,T0.2,1,L4,0.2666666656732559,0.07359800384495065,1
aime2025_Qwen3-4B-Instruct-2507,T0.2,1,L5,0.03295454574805318,0.005882809131800533,11
aime2025_Qwen3-4B-Instruct-2507,T0.2,1,overall,0.3900793654223283,0.026676786692014728,21
aime2025_Qwen3-4B-Instruct-2507,T0.3,1,L1,0.9404761933145069,0.016852702895970777,7
aime2025_Qwen3-4B-Instruct-2507,T0.3,1,L2,,,0
aime2025_Qwen3-4B-Instruct-2507,T0.3,1,L3,0.45416667064030963,0.041583255267819696,2
aime2025_Qwen3-4B-Instruct-2507,T0.3,1,L4,0.28333333134651184,0.12213380644441074,1
aime2025_Qwen3-4B-Instruct-2507,T0.3,1,L5,0.03712121202525768,0.007560590489147171,11
aime2025_Qwen3-4B-Instruct-2507,T0.3,1,overall,0.389682540862215,0.03161666520488051,21
aime2025_Qwen3-4B-Instruct-2507,T0.4,1,L1,0.9244047616209303,0.026478394285161473,7
aime2025_Qwen3-4B-Instruct-2507,T0.4,1,L2,,,0
aime2025_Qwen3-4B-Instruct-2507,T0.4,1,L3,0.39166667064030963,0.07274384478947904,2
aime2025_Qwen3-4B-Instruct-2507,T0.4,1,L4,0.3291666656732559,0.08720187107495447,1
aime2025_Qwen3-4B-Instruct-2507,T0.4,1,L5,0.037878788471447704,0.0074226963146847074,11
aime2025_Qwen3-4B-Instruct-2507,T0.4,1,overall,0.3809523814993482,0.03359513740488013,21
aime2025_Qwen3-4B-Instruct-2507,T0.5,1,L1,0.9250000062442961,0.016751481225726048,7
aime2025_Qwen3-4B-Instruct-2507,T0.5,1,L2,,,0
aime2025_Qwen3-4B-Instruct-2507,T0.5,1,L3,0.45624999205271405,0.04524240070095885,2
aime2025_Qwen3-4B-Instruct-2507,T0.5,1,L4,0.26666666318972904,0.05845225581359331,1
aime2025_Qwen3-4B-Instruct-2507,T0.5,1,L5,0.03674242433837869,0.009250493001032074,11
aime2025_Qwen3-4B-Instruct-2507,T0.5,1,overall,0.3837301599393998,0.022271045203138003,21
aime2025_Qwen3-4B-Instruct-2507,T0.6,1,L1,0.9136904776096344,0.011387577505007395,7
aime2025_Qwen3-4B-Instruct-2507,T0.6,1,L2,,,0
aime2025_Qwen3-4B-Instruct-2507,T0.6,1,L3,0.3645833308498065,0.04835846659742381,2
aime2025_Qwen3-4B-Instruct-2507,T0.6,1,L4,0.27500000099341076,0.07905693961934558,1
aime2025_Qwen3-4B-Instruct-2507,T0.6,1,L5,0.034848485508877224,0.00756059111693008,11
aime2025_Qwen3-4B-Instruct-2507,T0.6,1,overall,0.37063492126467207,0.02436196162025706,21
aime2025_Qwen3-4B-Instruct-2507,T0.7,1,L1,0.9160714319774083,0.010289183794045118,7
aime2025_Qwen3-4B-Instruct-2507,T0.7,1,L2,,,0
aime2025_Qwen3-4B-Instruct-2507,T0.7,1,L3,0.4062499950329463,0.040888565533457065,2
aime2025_Qwen3-4B-Instruct-2507,T0.7,1,L4,0.2666666681567828,0.09442810253021826,1
aime2025_Qwen3-4B-Instruct-2507,T0.7,1,L5,0.041666667287548385,0.012168468011533717,11
aime2025_Qwen3-4B-Instruct-2507,T0.7,1,overall,0.3785714296298841,0.026394691929830127,21
aime2025_Qwen3-4B-Instruct-2507,T0.8,1,L1,0.9136904847054255,0.006553028625704867,7
aime2025_Qwen3-4B-Instruct-2507,T0.8,1,L2,,,0
aime2025_Qwen3-4B-Instruct-2507,T0.8,1,L3,0.4062499975164731,0.03770775199366565,2
aime2025_Qwen3-4B-Instruct-2507,T0.8,1,L4,0.19166667014360428,0.06055300839440127,1
aime2025_Qwen3-4B-Instruct-2507,T0.8,1,L5,0.03257575792006471,0.003979977120741173,11
aime2025_Qwen3-4B-Instruct-2507,T0.8,1,overall,0.3694444473921544,0.018238177687173302,21
aime2025_Qwen3-4B-Instruct-2507,T0.9,1,L1,0.9196428585620153,0.01789281854252872,7
aime2025_Qwen3-4B-Instruct-2507,T0.9,1,L2,,,0
aime2025_Qwen3-4B-Instruct-2507,T0.9,1,L3,0.4041666661699613,0.08203149395861034,2
aime2025_Qwen3-4B-Instruct-2507,T0.9,1,L4,0.20416666815678278,0.06406377182450147,1
aime2025_Qwen3-4B-Instruct-2507,T0.9,1,L5,0.03219696975341348,0.010700338336222016,11
aime2025_Qwen3-4B-Instruct-2507,T0.9,1,overall,0.3716269846532553,0.031670204711565446,21
