combo,baseline,N,stratum,mean,std6,n_pids
gsm8kfull_Phi-4-mini-instruct,T0.1,1,L1,0.9832656161848946,0.0005930842580557995,1046
gsm8kfull_Phi-4-mini-instruct,T0.1,1,L2,0.70011415526475,0.005646706237134935,73
gsm8kfull_Phi-4-mini-instruct,T0.1,1,L3,0.4976950346472416,0.01215593230509302,47
gsm8kfull_Phi-4-mini-instruct,T0.1,1,L4,0.2920542633117631,0.005786758117939512,43
gsm8kfull_Phi-4-mini-instruct,T0.1,1,L5,0.06366033828522584,0.004386841550668959,79
gsm8kfull_Phi-4-mini-instruct,T0.1,1,overall,0.8700181168781721,0.0031278177989873565,1288
gsm8kfull_Phi-4-mini-instruct,T0.2,1,L1,0.9731078733867564,0.0011607330632057405,1046
gsm8kfull_Phi-4-mini-instruct,T0.2,1,L2,0.6909246561053681,0.009363166467499576,73
gsm8kfull_Phi-4-mini-instruct,T0.2,1,L3,0.5347517724578262,0.008488446105932686,47
gsm8kfull_Phi-4-mini-instruct,T0.2,1,L4,0.38236434024202737,0.0054374195382189475,43
gsm8kfull_Phi-4-mini-instruct,T0.2,1,L5,0.10611814408236919,0.0047769784312687,79
gsm8kfull_Phi-4-mini-instruct,T0.2,1,overall,0.8682194633359248,0.0033285060286007383,1288
gsm8kfull_Phi-4-mini-instruct,T0.3,1,L1,0.9614045594844414,0.0006718427784466062,1046
gsm8kfull_Phi-4-mini-instruct,T0.3,1,L2,0.6908105021878465,0.009905294405617958,73
gsm8kfull_Phi-4-mini-instruct,T0.3,1,L3,0.5515957429265299,0.0055482574670428645,47
gsm8kfull_Phi-4-mini-instruct,T0.3,1,L4,0.46405038709730606,0.006673817343164881,43
gsm8kfull_Phi-4-mini-instruct,T0.3,1,L5,0.1455696207247203,0.003008826465894709,79
gsm8kfull_Phi-4-mini-instruct,T0.3,1,overall,0.864470110621446,0.0030154534615999457,1288
gsm8kfull_Phi-4-mini-instruct,T0.4,1,L1,0.9477294483088512,0.0006193890969304526,1046
gsm8kfull_Phi-4-mini-instruct,T0.4,1,L2,0.6992009121193189,0.011633086612600105,73
gsm8kfull_Phi-4-mini-instruct,T0.4,1,L3,0.5750886508864713,0.013083015923220304,47
gsm8kfull_Phi-4-mini-instruct,T0.4,1,L4,0.5109496118082095,0.009181017646461388,43
gsm8kfull_Phi-4-mini-instruct,T0.4,1,L5,0.17610759565111578,0.006171291401765933,79
gsm8kfull_Phi-4-mini-instruct,T0.4,1,overall,0.8581360011425653,0.004401992950664182,1288
gsm8kfull_Phi-4-mini-instruct,T0.5,1,L1,0.9343690276484274,0.0011981794812809985,1046
gsm8kfull_Phi-4-mini-instruct,T0.5,1,L2,0.702568492592742,0.008266842284721623,73
gsm8kfull_Phi-4-mini-instruct,T0.5,1,L3,0.5922872335352797,0.011608668783125288,47
gsm8kfull_Phi-4-mini-instruct,T0.5,1,L4,0.5356589138450086,0.013558689572838876,43
gsm8kfull_Phi-4-mini-instruct,T0.5,1,L5,0.20105485250693964,0.011446193255066113,79
gsm8kfull_Phi-4-mini-instruct,T0.5,1,overall,0.8504593707290892,0.0049122397136478835,1288
