combo,baseline,N,stratum,mean,std6,n_pids
gsm8kfull_Qwen2.5-3B,T0.1,1,L1,0.987700557671658,0.0006625036619931931,1018
gsm8kfull_Qwen2.5-3B,T0.1,1,L2,0.7069092817321607,0.005815958401136339,79
gsm8kfull_Qwen2.5-3B,T0.1,1,L3,0.5047764202685859,0.011072850990863033,41
gsm8kfull_Qwen2.5-3B,T0.1,1,L4,0.2939716306719797,0.008320118344199262,47
gsm8kfull_Qwen2.5-3B,T0.1,1,L5,0.05654761955319416,0.0053679782229078205,105
gsm8kfull_Qwen2.5-3B,T0.1,1,overall,0.8540891479785031,0.0033439851611638443,1290
gsm8kfull_Qwen2.5-3B,T0.2,1,L1,0.9742837278727386,0.0006953701725975782,1018
gsm8kfull_Qwen2.5-3B,T0.2,1,L2,0.6821729953907715,0.009875582685240867,79
gsm8kfull_Qwen2.5-3B,T0.2,1,L3,0.5265243891172293,0.008196627752210122,41
gsm8kfull_Qwen2.5-3B,T0.2,1,L4,0.361613475552476,0.004605493544001968,47
gsm8kfull_Qwen2.5-3B,T0.2,1,L5,0.11563492093885702,0.004239610716668183,105
gsm8kfull_Qwen2.5-3B,T0.2,1,overall,0.8499515516385051,0.0032749528808145713,1290
gsm8kfull_Qwen2.5-3B,T0.3,1,L1,0.9631630665797694,0.0007602663161948225,1018
gsm8kfull_Qwen2.5-3B,T0.3,1,L2,0.6609177218773696,0.004839806388781234,79
gsm8kfull_Qwen2.5-3B,T0.3,1,L3,0.5386178855125497,0.012846427334367383,41
gsm8kfull_Qwen2.5-3B,T0.3,1,L4,0.39414893555725716,0.008136732393291135,47
gsm8kfull_Qwen2.5-3B,T0.3,1,L5,0.15246031800255413,0.0036597543925834435,105
gsm8kfull_Qwen2.5-3B,T0.3,1,overall,0.8444412158713109,0.0032616152014396027,1290
gsm8kfull_Qwen2.5-3B,T0.4,1,L1,0.9552676837400979,0.000990237014546965,1018
gsm8kfull_Qwen2.5-3B,T0.4,1,L2,0.6408227837098298,0.008575891011969155,79
gsm8kfull_Qwen2.5-3B,T0.4,1,L3,0.5496951222904329,0.009341415379642974,41
gsm8kfull_Qwen2.5-3B,T0.4,1,L4,0.4210992900601833,0.006606602415466411,47
gsm8kfull_Qwen2.5-3B,T0.4,1,L5,0.18535714341357112,0.004713443776610759,105
gsm8kfull_Qwen2.5-3B,T0.4,1,overall,0.8409916036167888,0.0033837557780693737,1290
gsm8kfull_Qwen2.5-3B,T0.5,1,L1,0.9481622486740605,0.0011869818076223353,1018
gsm8kfull_Qwen2.5-3B,T0.5,1,L2,0.6347046410232656,0.006667134945622081,79
gsm8kfull_Qwen2.5-3B,T0.5,1,L3,0.546036584832804,0.015978637901762297,41
gsm8kfull_Qwen2.5-3B,T0.5,1,L4,0.4367907793915018,0.010714708211999492,47
gsm8kfull_Qwen2.5-3B,T0.5,1,L5,0.19952380981828485,0.003340128825486132,105
gsm8kfull_Qwen2.5-3B,T0.5,1,overall,0.8366182189391449,0.00412791072242415,1290
gsm8kfull_Qwen2.5-3B,T0.6,1,L1,0.9404223994098814,0.001597739832062674,1018
gsm8kfull_Qwen2.5-3B,T0.6,1,L2,0.6319620260332205,0.005466537132226269,79
gsm8kfull_Qwen2.5-3B,T0.6,1,L3,0.5347560971854178,0.009076973277602063,41
gsm8kfull_Qwen2.5-3B,T0.6,1,L4,0.44228723292496613,0.005198089439818109,47
gsm8kfull_Qwen2.5-3B,T0.6,1,L5,0.2118253971021327,0.006483306435961139,105
gsm8kfull_Qwen2.5-3B,T0.6,1,overall,0.8311854025454908,0.0032968119133100736,1290
gsm8kfull_Qwen2.5-3B,T0.7,1,L1,0.9322609721030979,0.0013960213028660657,1018
gsm8kfull_Qwen2.5-3B,T0.7,1,L2,0.6145569617360956,0.010144367712930076,79
gsm8kfull_Qwen2.5-3B,T0.7,1,L3,0.5232723561244282,0.021134593378962445,41
gsm8kfull_Qwen2.5-3B,T0.7,1,L4,0.433244681969972,0.011982851461904177,47
gsm8kfull_Qwen2.5-3B,T0.7,1,L5,0.22134920609967101,0.006578785940583372,105
gsm8kfull_Qwen2.5-3B,T0.7,1,overall,0.8237596921490395,0.005548959683973232,1290
gsm8kfull_Qwen2.5-3B,T0.8,1,L1,0.9234364794465982,0.0012751867093060503,1018
gsm8kfull_Qwen2.5-3B,T0.8,1,L2,0.6065400844510598,0.005969756106383159,79
gsm8kfull_Qwen2.5-3B,T0.8,1,L3,0.5201219508681839,0.014684872029124668,41
gsm8kfull_Qwen2.5-3B,T0.8,1,L4,0.4212765944329031,0.006635092017407409,47
gsm8kfull_Qwen2.5-3B,T0.8,1,L5,0.22634920640774658,0.0063952686750638294,105
gsm8kfull_Qwen2.5-3B,T0.8,1,overall,0.8161757126705629,0.0039054551944897563,1290
gsm8kfull_Qwen2.5-3B,T0.9,1,L1,0.9137811094849385,0.0016113024172049642,1018
gsm8kfull_Qwen2.5-3B,T0.9,1,L2,0.5900843874688892,0.0075358102418780736,79
gsm8kfull_Qwen2.5-3B,T0.9,1,L3,0.5074186972001703,0.014508692265324913,41
gsm8kfull_Qwen2.5-3B,T0.9,1,L4,0.4288120566279436,0.007035903072493079,47
