combo,baseline,N,stratum,mean,std6,n_pids
math1k_Qwen2.5-3B,T0.1,1,L1,0.9778685103509095,0.0010125866642173137,199
math1k_Qwen2.5-3B,T0.1,1,L2,0.6989740363417359,0.006197131281787754,199
math1k_Qwen2.5-3B,T0.1,1,L3,0.5010468990134833,0.0022185615411621906,199
math1k_Qwen2.5-3B,T0.1,1,L4,0.2929392448215086,0.005839395235647772,203
math1k_Qwen2.5-3B,T0.1,1,L5,0.058000000740091005,0.0020615527921409166,200
math1k_Qwen2.5-3B,T0.1,1,overall,0.5044666665423041,0.004074065265945248,1000
math1k_Qwen2.5-3B,T0.2,1,L1,0.9601340050773207,0.0032592376642700065,199
math1k_Qwen2.5-3B,T0.2,1,L2,0.677533500121167,0.008312147590619287,199
math1k_Qwen2.5-3B,T0.2,1,L3,0.5126256262774344,0.006629904941093033,199
math1k_Qwen2.5-3B,T0.2,1,L4,0.3347906401787681,0.003183681873422438,203
math1k_Qwen2.5-3B,T0.2,1,L5,0.08364583401475102,0.002188630840519079,200
math1k_Qwen2.5-3B,T0.2,1,overall,0.5125999999229487,0.005256038234134517,1000
math1k_Qwen2.5-3B,T0.3,1,L1,0.9445351778312744,0.0018200909421460232,199
math1k_Qwen2.5-3B,T0.3,1,L2,0.6670435505047116,0.004084493048968054,199
math1k_Qwen2.5-3B,T0.3,1,L3,0.508354269957148,0.004095361951857486,199
math1k_Qwen2.5-3B,T0.3,1,L4,0.3527298847867913,0.005517140962355744,203
math1k_Qwen2.5-3B,T0.3,1,L5,0.09891666713791587,0.002067103484150756,200
math1k_Qwen2.5-3B,T0.3,1,overall,0.5132541666996354,0.003788200334724508,1000
math1k_Qwen2.5-3B,T0.4,1,L1,0.9344430508675488,0.002790434186676262,199
math1k_Qwen2.5-3B,T0.4,1,L2,0.6530988270251495,0.0036102888943239657,199
math1k_Qwen2.5-3B,T0.4,1,L3,0.5065536006467676,0.004531967114196164,199
math1k_Qwen2.5-3B,T0.4,1,L4,0.3581486035181188,0.0071803061819785165,203
math1k_Qwen2.5-3B,T0.4,1,L5,0.10939583415786426,0.002582896380049009,200
math1k_Qwen2.5-3B,T0.4,1,overall,0.5113083335751046,0.004475581305952683,1000
math1k_Qwen2.5-3B,T0.5,1,L1,0.9277638215166042,0.0010836115897094735,199
math1k_Qwen2.5-3B,T0.5,1,L2,0.64315326551484,0.007462247727241207,199
math1k_Qwen2.5-3B,T0.5,1,L3,0.4971105522231216,0.004825166723478925,199
math1k_Qwen2.5-3B,T0.5,1,L4,0.3546387515992709,0.004886954643031054,203
math1k_Qwen2.5-3B,T0.5,1,L5,0.11556250057183205,0.006775299896714286,200
math1k_Qwen2.5-3B,T0.5,1,overall,0.5066416669006769,0.005475146216175335,1000
