combo,baseline,N,stratum,mean,std6,n_pids
math500_Phi-4-mini-instruct,T0.1,1,L1,0.9664534900539605,0.0014160286704206584,215
math500_Phi-4-mini-instruct,T0.1,1,L2,0.6919573639021364,0.009151516034278532,43
math500_Phi-4-mini-instruct,T0.1,1,L3,0.4861111091242896,0.018002057320830767,30
math500_Phi-4-mini-instruct,T0.1,1,L4,0.2918300650332099,0.006733137410836929,51
math500_Phi-4-mini-instruct,T0.1,1,L5,0.04948671553328921,0.003574705789163252,138
math500_Phi-4-mini-instruct,T0.1,1,overall,0.5740828099442551,0.0061138937161914824,477
math500_Phi-4-mini-instruct,T0.2,1,L1,0.9451744205729907,0.0017980067185960717,215
math500_Phi-4-mini-instruct,T0.2,1,L2,0.6746124023383903,0.007314191591912961,43
math500_Phi-4-mini-instruct,T0.2,1,L3,0.5026388865378167,0.008841452234171893,30
math500_Phi-4-mini-instruct,T0.2,1,L4,0.3220588231361867,0.010930383432102935,51
math500_Phi-4-mini-instruct,T0.2,1,L5,0.06923309233543522,0.004374040362677876,138
math500_Phi-4-mini-instruct,T0.2,1,overall,0.5729122998786454,0.005431866823731089,477
math500_Phi-4-mini-instruct,T0.3,1,L1,0.9275581415771516,0.002865283070348094,215
math500_Phi-4-mini-instruct,T0.3,1,L2,0.6484496114096902,0.009774821150443248,43
math500_Phi-4-mini-instruct,T0.3,1,L3,0.5280555529726877,0.01515353357996411,30
math500_Phi-4-mini-instruct,T0.3,1,L4,0.32295751576524934,0.014569355874276066,51
math500_Phi-4-mini-instruct,T0.3,1,L5,0.0836654595427827,0.004136495203084519,138
math500_Phi-4-mini-instruct,T0.3,1,overall,0.5684835786998252,0.007375715930876994,477
math500_Phi-4-mini-instruct,T0.4,1,L1,0.913585273609605,0.003089976227069799,215
math500_Phi-4-mini-instruct,T0.4,1,L2,0.6215116268442583,0.009439395600614292,43
math500_Phi-4-mini-instruct,T0.4,1,L3,0.5319444427059756,0.006985434536744597,30
math500_Phi-4-mini-instruct,T0.4,1,L4,0.3276960788891206,0.007736717512313358,51
