combo,baseline,N,stratum,mean,std6,n_pids
mathfull_Llama-3.2-3B,T0.1,1,L1,0.9658402425134255,0.0005075407929706337,1689
mathfull_Llama-3.2-3B,T0.1,1,L2,0.705055554986,0.0042860836888495395,375
mathfull_Llama-3.2-3B,T0.1,1,L3,0.49833333120932655,0.005837516365994514,315
mathfull_Llama-3.2-3B,T0.1,1,L4,0.2958508406019657,0.0036266126969393964,476
mathfull_Llama-3.2-3B,T0.1,1,L5,0.050533638870915464,0.0004860480503352534,1749
mathfull_Llama-3.2-3B,T0.1,1,overall,0.4956306117653411,0.002317718072894606,4604
mathfull_Llama-3.2-3B,T0.2,1,L1,0.9409315196048443,0.0012096374128100784,1689
mathfull_Llama-3.2-3B,T0.2,1,L2,0.6606111104488372,0.002064479631560653,375
mathfull_Llama-3.2-3B,T0.2,1,L3,0.494933861315684,0.0026069546304159754,315
mathfull_Llama-3.2-3B,T0.2,1,L4,0.3345063022443508,0.004502738272210988,476
mathfull_Llama-3.2-3B,T0.2,1,L5,0.06998046569271311,0.0012075891920468836,1749
mathfull_Llama-3.2-3B,T0.2,1,overall,0.4940242188771075,0.00199976758105736,4604
mathfull_Llama-3.2-3B,T0.3,1,L1,0.9222024887262047,0.001305066515192876,1689
mathfull_Llama-3.2-3B,T0.3,1,L2,0.6456333324776756,0.005064692807109656,375
mathfull_Llama-3.2-3B,T0.3,1,L3,0.48947089825850476,0.003501669898474592,315
mathfull_Llama-3.2-3B,T0.3,1,L4,0.34740020959776324,0.002000423138758153,476
mathfull_Llama-3.2-3B,T0.3,1,L5,0.08222079351782226,0.00038719450172574986,1749
mathfull_Llama-3.2-3B,T0.3,1,overall,0.49154268108608246,0.002005927251202837,4604
mathfull_Llama-3.2-3B,T0.4,1,L1,0.9066878845332548,0.0013590280276573699,1689
mathfull_Llama-3.2-3B,T0.4,1,L2,0.6326111107965311,0.004279026930288863,375
mathfull_Llama-3.2-3B,T0.4,1,L3,0.48449735372923514,0.004679085332215819,315
mathfull_Llama-3.2-3B,T0.4,1,L4,0.3495185572147912,0.003035589937016325,476
mathfull_Llama-3.2-3B,T0.4,1,L5,0.08980131568076533,0.0007448059249520384,1749
mathfull_Llama-3.2-3B,T0.4,1,overall,0.4875488714834871,0.0021978006020439565,4604
mathfull_Llama-3.2-3B,T0.5,1,L1,0.8918319541344485,0.0012153743563633947,1689
mathfull_Llama-3.2-3B,T0.5,1,L2,0.6165222214129237,0.0028029881174193787,375
mathfull_Llama-3.2-3B,T0.5,1,L3,0.47646825353284833,0.0021098277701057915,315
mathfull_Llama-3.2-3B,T0.5,1,L4,0.34698879541385735,0.0028106674275036477,476
mathfull_Llama-3.2-3B,T0.5,1,L5,0.09442538655680209,0.0008428301334216057,1749
mathfull_Llama-3.2-3B,T0.5,1,overall,0.48173418139240226,0.001604057571393837,4604
mathfull_Llama-3.2-3B,T0.6,1,L1,0.8782588339767113,0.0014589784397311348,1689
mathfull_Llama-3.2-3B,T0.6,1,L2,0.5986333322922389,0.003258288536381758,375
mathfull_Llama-3.2-3B,T0.6,1,L3,0.4685317452218403,0.0022508083026367867,315
mathfull_Llama-3.2-3B,T0.6,1,L4,0.3417454482152724,0.0044327753110632384,476
mathfull_Llama-3.2-3B,T0.6,1,L5,0.09690061053685377,0.001262479695658433,1749
mathfull_Llama-3.2-3B,T0.6,1,overall,0.4751529476804,0.002151568281709643,4604
mathfull_Llama-3.2-3B,T0.7,1,L1,0.8634004363025908,0.0010205918736837733,1689
mathfull_Llama-3.2-3B,T0.7,1,L2,0.5815777772963047,0.0036183898020741637,375
mathfull_Llama-3.2-3B,T0.7,1,L3,0.45432539602652905,0.0027289357263070744,315
mathfull_Llama-3.2-3B,T0.7,1,L4,0.33436624643311985,0.001904034417446492,476
mathfull_Llama-3.2-3B,T0.7,1,L5,0.0982918816847414,0.0006543257886256082,1749
mathfull_Llama-3.2-3B,T0.7,1,overall,0.46710650250180813,0.001579721502754177,4604
mathfull_Llama-3.2-3B,T0.8,1,L1,0.845685318461045,0.001113759541515191,1689
mathfull_Llama-3.2-3B,T0.8,1,L2,0.559611110166543,0.0033957922607251887,375
mathfull_Llama-3.2-3B,T0.8,1,L3,0.43760581976443375,0.001813568495200363,315
mathfull_Llama-3.2-3B,T0.8,1,L4,0.32110469222540966,0.002215220595704519,476
mathfull_Llama-3.2-3B,T0.8,1,L5,0.09713884189952826,0.0010405874663450582,1749
mathfull_Llama-3.2-3B,T0.8,1,overall,0.455865371503155,0.0015931232195693628,4604
mathfull_Llama-3.2-3B,T0.9,1,L1,0.821931124357343,0.002269334364691057,1689
mathfull_Llama-3.2-3B,T0.9,1,L2,0.5321999998249941,0.00313375860643672,375
mathfull_Llama-3.2-3B,T0.9,1,L3,0.4132804229106537,0.0031200339314284946,315
mathfull_Llama-3.2-3B,T0.9,1,L4,0.30435049023312266,0.0024767243203054727,476
mathfull_Llama-3.2-3B,T0.9,1,L5,0.09301505686386168,0.000730788851393162,1749
mathfull_Llama-3.2-3B,T0.9,1,overall,0.43995529322255467,0.002047499208357672,4604
mathfull_Llama-3.2-3B,T1.0,1,L1,0.7877318936333763,0.0013447991771987475,1689
mathfull_Llama-3.2-3B,T1.0,1,L2,0.4826444442429476,0.003035689174744478,375
mathfull_Llama-3.2-3B,T1.0,1,L3,0.36927248665954543,0.003838979133083883,315
mathfull_Llama-3.2-3B,T1.0,1,L4,0.26998424426266393,0.0016861614473893238,476
mathfull_Llama-3.2-3B,T1.0,1,L5,0.08503430591562838,0.0008645612548249645,1749
mathfull_Llama-3.2-3B,T1.0,1,overall,0.4137769699285614,0.0017321358887592854,4604
mathfull_Llama-3.2-3B,T1.1,1,L1,0.7317544903291141,0.0023689622463883083,1689
mathfull_Llama-3.2-3B,T1.1,1,L2,0.40216666649364763,0.005472313685583798,375
mathfull_Llama-3.2-3B,T1.1,1,L3,0.2972222226184039,0.004113531404600049,315
mathfull_Llama-3.2-3B,T1.1,1,L4,0.21111694728846056,0.00398601805032614,476
mathfull_Llama-3.2-3B,T1.1,1,L5,0.0658233281360218,0.0007136069674666476,1749
mathfull_Llama-3.2-3B,T1.1,1,overall,0.3683726112174192,0.0027371106253012774,4604
mathfull_Llama-3.2-3B,T1.2,1,L1,0.5999728636029472,0.0017720597330249353,1689
mathfull_Llama-3.2-3B,T1.2,1,L2,0.2590000004561411,0.00278408155739561,375
mathfull_Llama-3.2-3B,T1.2,1,L3,0.17653439219981903,0.0019242825785091313,315
mathfull_Llama-3.2-3B,T1.2,1,L4,0.12808123312196604,0.0028712552619833257,476
mathfull_Llama-3.2-3B,T1.2,1,L5,0.03783114190753503,0.0006457714017228087,1749
mathfull_Llama-3.2-3B,T1.2,1,overall,0.28089071122973686,0.001745692405337673,4604
mathfull_Llama-3.2-3B,random_T,1,L1,0.8468102441576075,0.0013735989796922216,1689
