combo,baseline,N,stratum,mean,std6,n_pids
mathfull_Qwen2.5-3B,T0.1,1,L1,0.9767111739071693,0.00046507457349293543,2715
mathfull_Qwen2.5-3B,T0.1,1,L2,0.7005750867150103,0.004056030073909134,384
mathfull_Qwen2.5-3B,T0.1,1,L3,0.5061575635097947,0.006999794693345151,293
mathfull_Qwen2.5-3B,T0.1,1,L4,0.29509464494577875,0.0016582461019746541,361
mathfull_Qwen2.5-3B,T0.1,1,L5,0.05685576363164777,0.0008099534910496354,1018
mathfull_Qwen2.5-3B,T0.1,1,overall,0.6777413898066112,0.0021918672998813577,4771
mathfull_Qwen2.5-3B,T0.2,1,L1,0.9595871719152669,0.0006501577830341263,2715
mathfull_Qwen2.5-3B,T0.2,1,L2,0.6782443567450779,0.0032550561933356813,384
mathfull_Qwen2.5-3B,T0.2,1,L3,0.5116609769774785,0.0032142068410201145,293
mathfull_Qwen2.5-3B,T0.2,1,L4,0.33104801455139427,0.004697448888493103,361
mathfull_Qwen2.5-3B,T0.2,1,L5,0.08276440809372893,0.0011194137082339625,1018
mathfull_Qwen2.5-3B,T0.2,1,overall,0.674786034727925,0.0019143673693491627,4771
mathfull_Qwen2.5-3B,T0.3,1,L1,0.9469490505905879,0.0007274905985982334,2715
mathfull_Qwen2.5-3B,T0.3,1,L2,0.6672092013403826,0.001830650511857252,384
mathfull_Qwen2.5-3B,T0.3,1,L3,0.5087030709247541,0.006355595316219252,293
mathfull_Qwen2.5-3B,T0.3,1,L4,0.34991920546956173,0.005749744075376192,361
mathfull_Qwen2.5-3B,T0.3,1,L5,0.09850605836439423,0.00138550556540862,1018
mathfull_Qwen2.5-3B,T0.3,1,overall,0.6713110471680089,0.0024418531103781154,4771
mathfull_Qwen2.5-3B,T0.4,1,L1,0.9366528568378872,0.0005311008924954749,2715
mathfull_Qwen2.5-3B,T0.4,1,L2,0.6553385408187751,0.003352200911690565,384
mathfull_Qwen2.5-3B,T0.4,1,L3,0.4984072806161062,0.007059705742769502,293
mathfull_Qwen2.5-3B,T0.4,1,L4,0.356151892776951,0.0038722788550853656,361
mathfull_Qwen2.5-3B,T0.4,1,L5,0.10805091746218537,0.0011043346117086505,1018
mathfull_Qwen2.5-3B,T0.4,1,overall,0.6663723551621833,0.002349579268568936,4771
mathfull_Qwen2.5-3B,T0.5,1,L1,0.9252992657175033,0.00047063229796892136,2715
mathfull_Qwen2.5-3B,T0.5,1,L2,0.6422851556781098,0.0023171055311446208,384
mathfull_Qwen2.5-3B,T0.5,1,L3,0.48801194490765276,0.003435823204536831,293
mathfull_Qwen2.5-3B,T0.5,1,L4,0.3546975992829818,0.002646631740450054,361
mathfull_Qwen2.5-3B,T0.5,1,L5,0.11363785264625677,0.0007436912888629302,1018
mathfull_Qwen2.5-3B,T0.5,1,overall,0.6593044798567185,0.0013896637796108075,4771
mathfull_Qwen2.5-3B,T0.6,1,L1,0.9154864971262408,0.0006114462179896,2715
mathfull_Qwen2.5-3B,T0.6,1,L2,0.6278862844167937,0.00364273168225606,384
mathfull_Qwen2.5-3B,T0.6,1,L3,0.47370591506455195,0.005668873336839054,293
mathfull_Qwen2.5-3B,T0.6,1,L4,0.3484879963492093,0.0028665397669525457,361
mathfull_Qwen2.5-3B,T0.6,1,L5,0.11706778066709744,0.0014001912348016613,1018
mathfull_Qwen2.5-3B,T0.6,1,overall,0.6519449116388337,0.002072294209017662,4771
mathfull_Qwen2.5-3B,T0.7,1,L1,0.9035067549681989,0.0005090813937573906,2715
mathfull_Qwen2.5-3B,T0.7,1,L2,0.6081488705870772,0.0013319597713059331,384
mathfull_Qwen2.5-3B,T0.7,1,L3,0.45804891913421497,0.0036523020972482096,293
