model,dataset,baseline,stratum,N,mean,std6,n_pids
Llama-3.2-3B,gsm8kfull,T0.1,L1,1,0.9845958204455522,0.000899346397854,901
Llama-3.2-3B,gsm8kfull,T0.1,L1,2,0.9844640223154348,0.0005180895292105,901
Llama-3.2-3B,gsm8kfull,T0.1,L1,4,0.9968083308023564,0.0001572235921637,901
Llama-3.2-3B,gsm8kfull,T0.1,L1,8,0.9995583613029994,6.932108286011753e-05,901
Llama-3.2-3B,gsm8kfull,T0.1,L1,16,0.9999653163482822,1.9123245847135574e-05,901
Llama-3.2-3B,gsm8kfull,T0.1,L1,32,1.0,0.0,901
Llama-3.2-3B,gsm8kfull,T0.1,L1,64,1.0,0.0,901
Llama-3.2-3B,gsm8kfull,T0.1,L1,128,1.0,0.0,901
Llama-3.2-3B,gsm8kfull,T0.1,L1,256,1.0,0.0,901
Llama-3.2-3B,gsm8kfull,T0.1,L1,512,1.0,0.0,901
Llama-3.2-3B,gsm8kfull,T0.1,L1,1024,1.0,0.0,901
Llama-3.2-3B,gsm8kfull,T0.1,L1,1536,1.0,0.0,901
Llama-3.2-3B,gsm8kfull,T0.1,L1,2048,1.0,0.0,901
Llama-3.2-3B,gsm8kfull,T0.2,L1,1,0.964303553300106,0.0004681757270584,901
Llama-3.2-3B,gsm8kfull,T0.2,L1,2,0.9648029980281746,0.0006081582821052,901
Llama-3.2-3B,gsm8kfull,T0.2,L1,4,0.9884260550742232,0.0003694061121643,901
Llama-3.2-3B,gsm8kfull,T0.2,L1,8,0.9950938006374423,0.0002550961688372,901
Llama-3.2-3B,gsm8kfull,T0.2,L1,16,0.996716611300944,0.0001261392711765,901
Llama-3.2-3B,gsm8kfull,T0.2,L1,32,0.9971166296820376,4.3356924479254125e-05,901
Llama-3.2-3B,gsm8kfull,T0.2,L1,64,0.997343229742523,4.704722930779049e-05,901
Llama-3.2-3B,gsm8kfull,T0.2,L1,128,0.9975305216492348,0.0001150745852444,901
Llama-3.2-3B,gsm8kfull,T0.2,L1,256,0.997662319647044,4.538131984215e-05,901
Llama-3.2-3B,gsm8kfull,T0.2,L1,512,0.9977386237580028,3.722643593113259e-05,901
Llama-3.2-3B,gsm8kfull,T0.2,L1,1024,0.9977617462145324,2.265528803906616e-05,901
Llama-3.2-3B,gsm8kfull,T0.2,L1,1536,0.9977756196862452,1.1327633216650052e-05,901
Llama-3.2-3B,gsm8kfull,T0.2,L1,2048,0.9977802441731408,0.0,901
Llama-3.2-3B,gsm8kfull,T0.3,L1,1,0.9495791733496464,0.0011800012059344,901
Llama-3.2-3B,gsm8kfull,T0.3,L1,2,0.9503422137701286,0.0009637285904611,901
Llama-3.2-3B,gsm8kfull,T0.3,L1,4,0.9823201851263956,0.0004794139674266,901
Llama-3.2-3B,gsm8kfull,T0.3,L1,8,0.991730831866678,0.0004163748624829,901
Llama-3.2-3B,gsm8kfull,T0.3,L1,16,0.9944529229298902,0.0001505838658827,901
Llama-3.2-3B,gsm8kfull,T0.3,L1,32,0.9951766556431376,0.0001408459126526,901
Llama-3.2-3B,gsm8kfull,T0.3,L1,64,0.9949616167347712,0.0001201211114271,901
Llama-3.2-3B,gsm8kfull,T0.3,L1,128,0.994799759527348,5.6468045975012767e-05,901
Llama-3.2-3B,gsm8kfull,T0.3,L1,256,0.9945847206827236,4.6979004044996304e-05,901
Llama-3.2-3B,gsm8kfull,T0.3,L1,512,0.9945454125034532,4.423586282751274e-05,901
Llama-3.2-3B,gsm8kfull,T0.3,L1,1024,0.9944899186093664,1.8440068414837654e-05,901
Llama-3.2-3B,gsm8kfull,T0.3,L1,1536,0.9944552349242274,1.1327644188301105e-05,901
Llama-3.2-3B,gsm8kfull,T0.3,L1,2048,0.9944552349242272,1.1327644188301105e-05,901
Llama-3.2-3B,gsm8kfull,T0.4,L1,1,0.9379069573716944,0.0011347675421985,901
Llama-3.2-3B,gsm8kfull,T0.4,L1,2,0.9384688320499062,0.0007228817309938,901
Llama-3.2-3B,gsm8kfull,T0.4,L1,4,0.9765110533454332,0.0005848304426045,901
Llama-3.2-3B,gsm8kfull,T0.4,L1,8,0.9887079562670736,0.0004310602571021,901
Llama-3.2-3B,gsm8kfull,T0.4,L1,16,0.9928667224739316,0.0002807603635503,901
Llama-3.2-3B,gsm8kfull,T0.4,L1,32,0.994170828812862,0.0001385727748189,901
Llama-3.2-3B,gsm8kfull,T0.4,L1,64,0.994612467619775,0.0001386422283531,901
Llama-3.2-3B,gsm8kfull,T0.4,L1,128,0.9947396411394748,8.615713224164914e-05,901
Llama-3.2-3B,gsm8kfull,T0.4,L1,256,0.9946402145747428,7.27090034469953e-05,901
Llama-3.2-3B,gsm8kfull,T0.4,L1,512,0.99454310026035,5.1662003446379806e-05,901
Llama-3.2-3B,gsm8kfull,T0.4,L1,1024,0.994480669626272,3.964675361018349e-05,901
Llama-3.2-3B,gsm8kfull,T0.4,L1,1536,0.9944691083983518,2.265528837663847e-05,901
Llama-3.2-3B,gsm8kfull,T0.4,L1,2048,0.9944506104328524,0.0,901
Llama-3.2-3B,gsm8kfull,T0.5,L1,1,0.9279643009894653,0.0010779845720029,901
Llama-3.2-3B,gsm8kfull,T0.5,L1,2,0.9287851478351824,0.0007565008212931,901
Llama-3.2-3B,gsm8kfull,T0.5,L1,4,0.9724973802045788,0.0006279380682873,901
Llama-3.2-3B,gsm8kfull,T0.5,L1,8,0.986245607344976,0.0004616013268161,901
Llama-3.2-3B,gsm8kfull,T0.5,L1,16,0.9914687387721044,0.0002120428213498,901
Llama-3.2-3B,gsm8kfull,T0.5,L1,32,0.9934208904890206,0.0001178897401969,901
