combo,baseline,N,stratum,mean,std6,n_pids
aime2023_Qwen3-4B-Instruct-2507,T0.1,1,L1,0.9666666686534882,0.006454966087737786,2
aime2023_Qwen3-4B-Instruct-2507,T0.1,1,L2,0.7091666668653488,0.04933726954732155,5
aime2023_Qwen3-4B-Instruct-2507,T0.1,1,L3,0.5833333333333334,0.06645800320375068,1
aime2023_Qwen3-4B-Instruct-2507,T0.1,1,L4,0.3583333318432172,0.05791516836089963,2
aime2023_Qwen3-4B-Instruct-2507,T0.1,1,L5,0.05208333453629166,0.01406828632190241,8
aime2023_Qwen3-4B-Instruct-2507,T0.1,1,Lr,0.0,0.0,3
aime2023_Qwen3-4B-Instruct-2507,T0.1,1,overall,0.34265873071161057,0.03447738878699767,21
aime2023_Qwen3-4B-Instruct-2507,T0.1,1,overall_md_compat,0.3997685191635456,0.03723983611445444,18
aime2023_Qwen3-4B-Instruct-2507,T0.2,1,L1,0.9625000009934107,0.017677673744350215,2
aime2023_Qwen3-4B-Instruct-2507,T0.2,1,L2,0.6850000003973643,0.03449637724334804,5
aime2023_Qwen3-4B-Instruct-2507,T0.2,1,L3,0.587499996026357,0.06471089368554285,1
aime2023_Qwen3-4B-Instruct-2507,T0.2,1,L4,0.37083333482344943,0.049159598556384715,2
aime2023_Qwen3-4B-Instruct-2507,T0.2,1,L5,0.05677083464494596,0.0095640662684136,8
aime2023_Qwen3-4B-Instruct-2507,T0.2,1,Lr,0.0,0.0,3
aime2023_Qwen3-4B-Instruct-2507,T0.2,1,overall,0.33968254032411743,0.027883775315989734,21
aime2023_Qwen3-4B-Instruct-2507,T0.2,1,overall_md_compat,0.3962962970448037,0.030117919585932528,18
aime2023_Qwen3-4B-Instruct-2507,T0.3,1,L1,0.9562500019868215,0.029315093415796422,2
aime2023_Qwen3-4B-Instruct-2507,T0.3,1,L2,0.6975000043710072,0.027340443482071587,5
aime2023_Qwen3-4B-Instruct-2507,T0.3,1,L3,0.5083333303531011,0.1080123518713623,1
aime2023_Qwen3-4B-Instruct-2507,T0.3,1,L4,0.34375,0.06262487560629175,2
aime2023_Qwen3-4B-Instruct-2507,T0.3,1,L5,0.07083333407839139,0.015394127966970959,8
aime2023_Qwen3-4B-Instruct-2507,T0.3,1,Lr,0.0,0.0,3
aime2023_Qwen3-4B-Instruct-2507,T0.3,1,overall,0.3410714299432815,0.03576543976018864,21
aime2023_Qwen3-4B-Instruct-2507,T0.3,1,overall_md_compat,0.39791666826716177,0.03863109017505153,18
aime2023_Qwen3-4B-Instruct-2507,T0.4,1,L1,0.927083338300387,0.025515514747303514,2
aime2023_Qwen3-4B-Instruct-2507,T0.4,1,L2,0.7066666622956594,0.028577382557247167,5
aime2023_Qwen3-4B-Instruct-2507,T0.4,1,L3,0.49166665971279144,0.07691986811192986,1
aime2023_Qwen3-4B-Instruct-2507,T0.4,1,L4,0.3958333333333333,0.08126602112709545,2
