combo,baseline,N,stratum,mean,std6,n_pids
aime2026_Phi-4-mini-instruct,T0.1,1,L1,,,0
aime2026_Phi-4-mini-instruct,T0.1,1,L2,,,0
aime2026_Phi-4-mini-instruct,T0.1,1,L3,,,0
aime2026_Phi-4-mini-instruct,T0.1,1,L4,,,0
aime2026_Phi-4-mini-instruct,T0.1,1,L5,0.0378787884714477,0.009713527566646573,11
aime2026_Phi-4-mini-instruct,T0.1,1,Lr,0.0,0.0,13
aime2026_Phi-4-mini-instruct,T0.1,1,overall,0.01736111138274686,0.00657608924966057,24
aime2026_Phi-4-mini-instruct,T0.1,1,overall_md_compat,0.0378787884714477,0.009713527566646573,11
aime2026_Phi-4-mini-instruct,T0.2,1,L1,,,0
aime2026_Phi-4-mini-instruct,T0.2,1,L2,,,0
aime2026_Phi-4-mini-instruct,T0.2,1,L3,,,0
aime2026_Phi-4-mini-instruct,T0.2,1,L4,,,0
aime2026_Phi-4-mini-instruct,T0.2,1,L5,0.05265151554097732,0.008554234658383838,11
aime2026_Phi-4-mini-instruct,T0.2,1,Lr,0.0003205128252888337,0.000785092877975455,13
aime2026_Phi-4-mini-instruct,T0.2,1,overall,0.02430555573664606,0.005819998057163439,24
aime2026_Phi-4-mini-instruct,T0.2,1,overall_md_compat,0.05265151554097733,0.008554234658383838,11
aime2026_Phi-4-mini-instruct,T0.3,1,L1,,,0
aime2026_Phi-4-mini-instruct,T0.3,1,L2,,,0
aime2026_Phi-4-mini-instruct,T0.3,1,L3,,,0
aime2026_Phi-4-mini-instruct,T0.3,1,L4,,,0
aime2026_Phi-4-mini-instruct,T0.3,1,L5,0.061363636882919244,0.00850376702345234,11
aime2026_Phi-4-mini-instruct,T0.3,1,Lr,0.0016025641264441684,0.001890754028655536,13
aime2026_Phi-4-mini-instruct,T0.3,1,overall,0.028993055806495246,0.005922868638590991,24
aime2026_Phi-4-mini-instruct,T0.3,1,overall_md_compat,0.061363636882919244,0.00850376702345234,11
aime2026_Phi-4-mini-instruct,T0.4,1,L1,,,0
aime2026_Phi-4-mini-instruct,T0.4,1,L2,,,0
aime2026_Phi-4-mini-instruct,T0.4,1,L3,,,0
aime2026_Phi-4-mini-instruct,T0.4,1,L4,,,0
aime2026_Phi-4-mini-instruct,T0.4,1,L5,0.0712121208903916,0.007560591381616961,11
aime2026_Phi-4-mini-instruct,T0.4,1,Lr,0.0003205128252888337,0.0007850928779754549,13
aime2026_Phi-4-mini-instruct,T0.4,1,overall,0.0328124998551276,0.005151054840148474,24
aime2026_Phi-4-mini-instruct,T0.4,1,overall_md_compat,0.0712121208903916,0.007560591381616961,11
aime2026_Phi-4-mini-instruct,T0.5,1,L1,,,0
aime2026_Phi-4-mini-instruct,T0.5,1,L2,,,0
aime2026_Phi-4-mini-instruct,T0.5,1,L3,,,0
aime2026_Phi-4-mini-instruct,T0.5,1,L4,,,0
aime2026_Phi-4-mini-instruct,T0.5,1,L5,0.06704545498007174,0.007571969502750312,11
aime2026_Phi-4-mini-instruct,T0.5,1,Lr,0.0009615384758665011,0.0016089616134640028,13
aime2026_Phi-4-mini-instruct,T0.5,1,overall,0.03125000020696057,0.005261241103632289,24
aime2026_Phi-4-mini-instruct,T0.5,1,overall_md_compat,0.06704545498007174,0.007571969502750312,11
aime2026_Phi-4-mini-instruct,T0.6,1,L1,,,0
aime2026_Phi-4-mini-instruct,T0.6,1,L2,,,0
aime2026_Phi-4-mini-instruct,T0.6,1,L3,,,0
aime2026_Phi-4-mini-instruct,T0.6,1,L4,,,0
aime2026_Phi-4-mini-instruct,T0.6,1,L5,0.05757575744593685,0.004469055522205008,11
aime2026_Phi-4-mini-instruct,T0.6,1,Lr,0.0003205128252888337,0.0007850928779754549,13
aime2026_Phi-4-mini-instruct,T0.6,1,overall,0.026562499943085845,0.003080245191929282,24
aime2026_Phi-4-mini-instruct,T0.6,1,overall_md_compat,0.057575757445936855,0.004469055522205008,11
aime2026_Phi-4-mini-instruct,T0.7,1,L1,,,0
aime2026_Phi-4-mini-instruct,T0.7,1,L2,,,0
aime2026_Phi-4-mini-instruct,T0.7,1,L3,,,0
aime2026_Phi-4-mini-instruct,T0.7,1,L4,,,0
aime2026_Phi-4-mini-instruct,T0.7,1,L5,0.06098484953470302,0.009579664925617043,11
aime2026_Phi-4-mini-instruct,T0.7,1,Lr,0.0006410256505776674,0.0009930726676716322,13
aime2026_Phi-4-mini-instruct,T0.7,1,overall,0.02829861159746845,0.006526517365591012,24
aime2026_Phi-4-mini-instruct,T0.7,1,overall_md_compat,0.06098484953470302,0.009579664925617043,11
aime2026_Phi-4-mini-instruct,T0.8,1,L1,,,0
aime2026_Phi-4-mini-instruct,T0.8,1,L2,,,0
aime2026_Phi-4-mini-instruct,T0.8,1,L3,,,0
aime2026_Phi-4-mini-instruct,T0.8,1,L4,,,0
aime2026_Phi-4-mini-instruct,T0.8,1,L5,0.050000000039510654,0.007186994157437505,11
aime2026_Phi-4-mini-instruct,T0.8,1,Lr,0.0,0.0,13
aime2026_Phi-4-mini-instruct,T0.8,1,overall,0.022916666684775714,0.004865618045743046,24
aime2026_Phi-4-mini-instruct,T0.8,1,overall_md_compat,0.050000000039510654,0.007186994157437505,11
aime2026_Phi-4-mini-instruct,T0.9,1,L1,,,0
aime2026_Phi-4-mini-instruct,T0.9,1,L2,,,0
aime2026_Phi-4-mini-instruct,T0.9,1,L3,,,0
aime2026_Phi-4-mini-instruct,T0.9,1,L4,,,0
aime2026_Phi-4-mini-instruct,T0.9,1,L5,0.05189394025188504,0.008056703536210527,11
aime2026_Phi-4-mini-instruct,T0.9,1,Lr,0.0006410256505776674,0.0009930726676716322,13
aime2026_Phi-4-mini-instruct,T0.9,1,overall,0.024131944842843547,0.005503164634162985,24
aime2026_Phi-4-mini-instruct,T0.9,1,overall_md_compat,0.05189394025188505,0.008056703536210527,11
aime2026_Phi-4-mini-instruct,T1.0,1,L1,,,0
aime2026_Phi-4-mini-instruct,T1.0,1,L2,,,0
aime2026_Phi-4-mini-instruct,T1.0,1,L3,,,0
aime2026_Phi-4-mini-instruct,T1.0,1,L4,,,0
aime2026_Phi-4-mini-instruct,T1.0,1,L5,0.04583333328253392,0.006805544015910191,11
aime2026_Phi-4-mini-instruct,T1.0,1,Lr,0.0003205128252888337,0.0007850928779754551,13
aime2026_Phi-4-mini-instruct,T1.0,1,overall,0.021180555534859497,0.004643465586306122,24
aime2026_Phi-4-mini-instruct,T1.0,1,overall_md_compat,0.04583333328253392,0.006805544015910191,11
aime2026_Phi-4-mini-instruct,T1.1,1,L1,,,0
aime2026_Phi-4-mini-instruct,T1.1,1,L2,,,0
aime2026_Phi-4-mini-instruct,T1.1,1,L3,,,0
aime2026_Phi-4-mini-instruct,T1.1,1,L4,,,0
aime2026_Phi-4-mini-instruct,T1.1,1,L5,0.0333333338864825,0.006992715425993698,11
aime2026_Phi-4-mini-instruct,T1.1,1,Lr,0.0009615384758665011,0.0016089616134640028,13
aime2026_Phi-4-mini-instruct,T1.1,1,overall,0.015798611372398835,0.004879944528693612,24
aime2026_Phi-4-mini-instruct,T1.1,1,overall_md_compat,0.0333333338864825,0.006992715425993698,11
