combo,baseline,N,stratum,mean,std6,n_pids
aime2026_Qwen2.5-3B,T0.1,1,L1,,,0
aime2026_Qwen2.5-3B,T0.1,1,L2,,,0
aime2026_Qwen2.5-3B,T0.1,1,L3,0.5666666626930237,0.0917423964285314,1
aime2026_Qwen2.5-3B,T0.1,1,L4,0.3500000014901161,0.0894427154347909,1
aime2026_Qwen2.5-3B,T0.1,1,L5,0.008333333529149875,0.0033676733628684005,13
aime2026_Qwen2.5-3B,T0.1,1,Lr,0.0,0.0,10
aime2026_Qwen2.5-3B,T0.1,1,overall,0.04100000000248353,0.025740320555288698,25
aime2026_Qwen2.5-3B,T0.1,1,overall_md_compat,0.06833333333747255,0.033230610945557855,15
aime2026_Qwen2.5-3B,T0.2,1,L1,,,0
aime2026_Qwen2.5-3B,T0.2,1,L2,,,0
aime2026_Qwen2.5-3B,T0.2,1,L3,0.541666661699613,0.04377976222645491,1
aime2026_Qwen2.5-3B,T0.2,1,L4,0.26666667064030963,0.025819895130657355,1
aime2026_Qwen2.5-3B,T0.2,1,L5,0.01987179531118809,0.004965363404948874,13
aime2026_Qwen2.5-3B,T0.2,1,Lr,0.00041666667287548385,0.0010206207413680916,10
aime2026_Qwen2.5-3B,T0.2,1,overall,0.04283333352456491,0.010796784837722478,25
aime2026_Qwen2.5-3B,T0.2,1,overall_md_compat,0.0711111114256912,0.013913656130638328,15
aime2026_Qwen2.5-3B,T0.3,1,L1,,,0
aime2026_Qwen2.5-3B,T0.3,1,L2,,,0
aime2026_Qwen2.5-3B,T0.3,1,L3,0.4958333323399226,0.04587120741828843,1
aime2026_Qwen2.5-3B,T0.3,1,L4,0.2666666681567828,0.09831920847969473,1
aime2026_Qwen2.5-3B,T0.3,1,L5,0.02916666683860314,0.010492083897502313,13
aime2026_Qwen2.5-3B,T0.3,1,Lr,0.0016666666915019354,0.002041241482736183,10
aime2026_Qwen2.5-3B,T0.3,1,overall,0.04633333345254262,0.023016160246794166,25
aime2026_Qwen2.5-3B,T0.3,1,overall_md_compat,0.07611111129323642,0.02966695596646688,15
aime2026_Qwen2.5-3B,T0.4,1,L1,,,0
aime2026_Qwen2.5-3B,T0.4,1,L2,,,0
aime2026_Qwen2.5-3B,T0.4,1,L3,0.4666666587193807,0.07852812065025307,1
aime2026_Qwen2.5-3B,T0.4,1,L4,0.20833333084980646,0.06258327253413253,1
aime2026_Qwen2.5-3B,T0.4,1,L5,0.023397436150564596,0.00945377006555512,13
aime2026_Qwen2.5-3B,T0.4,1,Lr,0.00041666667287548385,0.0010206207413680916,10
aime2026_Qwen2.5-3B,T0.4,1,overall,0.03933333305021127,0.021218489475738216,25
aime2026_Qwen2.5-3B,T0.4,1,overall_md_compat,0.06527777730176847,0.027380273584977473,15
aime2026_Qwen2.5-3B,T0.5,1,L1,,,0
aime2026_Qwen2.5-3B,T0.5,1,L2,,,0
aime2026_Qwen2.5-3B,T0.5,1,L3,0.4416666626930237,0.0465474544342695,1
aime2026_Qwen2.5-3B,T0.5,1,L4,0.2500000024835269,0.07071067706498405,1
aime2026_Qwen2.5-3B,T0.5,1,L5,0.02243589757917783,0.007263700300846597,13
aime2026_Qwen2.5-3B,T0.5,1,Lr,0.0,0.0,10
aime2026_Qwen2.5-3B,T0.5,1,overall,0.039333333348234495,0.017722937467683626,25
aime2026_Qwen2.5-3B,T0.5,1,overall_md_compat,0.06555555558039082,0.02288021388607138,15
aime2026_Qwen2.5-3B,T0.6,1,L1,,,0
aime2026_Qwen2.5-3B,T0.6,1,L2,,,0
aime2026_Qwen2.5-3B,T0.6,1,L3,0.4375,0.10093313999030526,1
aime2026_Qwen2.5-3B,T0.6,1,L4,0.20000000049670538,0.03535533695198516,1
aime2026_Qwen2.5-3B,T0.6,1,L5,0.014743589939406285,0.0035805743876400624,13
aime2026_Qwen2.5-3B,T0.6,1,Lr,0.0,0.0,10
aime2026_Qwen2.5-3B,T0.6,1,overall,0.033166666788359486,0.021544526235293713,25
aime2026_Qwen2.5-3B,T0.6,1,overall_md_compat,0.055277777980599144,0.02781386377040711,15
aime2026_Qwen2.5-3B,T0.7,1,L1,,,0
aime2026_Qwen2.5-3B,T0.7,1,L2,,,0
aime2026_Qwen2.5-3B,T0.7,1,L3,0.4375,0.058630196997793475,1
aime2026_Qwen2.5-3B,T0.7,1,L4,0.16666666666666666,0.05845226176193062,1
aime2026_Qwen2.5-3B,T0.7,1,L5,0.014423077233517781,0.006521471336200543,13
aime2026_Qwen2.5-3B,T0.7,1,Lr,0.00041666667287548385,0.0010206207413680916,10
aime2026_Qwen2.5-3B,T0.7,1,overall,0.031833333497246104,0.017224944959120126,25
aime2026_Qwen2.5-3B,T0.7,1,overall_md_compat,0.05277777804682652,0.02222168843591149,15
aime2026_Qwen2.5-3B,T0.8,1,L1,,,0
aime2026_Qwen2.5-3B,T0.8,1,L2,,,0
aime2026_Qwen2.5-3B,T0.8,1,L3,0.3791666676600774,0.01881932080460168,1
aime2026_Qwen2.5-3B,T0.8,1,L4,0.18750000124176344,0.05645795086670122,1
aime2026_Qwen2.5-3B,T0.8,1,L5,0.015705128367512654,0.006596649016005589,13
