combo,baseline,N,stratum,mean,std6,n_pids
gsm8kfull_Phi-4-mini-instruct,T0.1,1,L1,0.9832616327692553,0.0005963979080615569,1046
gsm8kfull_Phi-4-mini-instruct,T0.1,1,L2,0.6998858447080334,0.006043979804286388,73
gsm8kfull_Phi-4-mini-instruct,T0.1,1,L3,0.4980496447665472,0.011925652600634638,47
gsm8kfull_Phi-4-mini-instruct,T0.1,1,L4,0.29244186024564184,0.005802313903784581,43
gsm8kfull_Phi-4-mini-instruct,T0.1,1,L5,0.06397679400579209,0.004224021757324277,79
gsm8kfull_Phi-4-mini-instruct,T0.1,1,Lr,0.0,0.0,31
gsm8kfull_Phi-4-mini-instruct,T0.1,1,overall,0.8495988131625287,0.0030883302189320234,1319
gsm8kfull_Phi-4-mini-instruct,T0.1,1,overall_md_compat,0.8700472318023101,0.003125274707279974,1288
gsm8kfull_Phi-4-mini-instruct,T0.2,1,L1,0.9731198236716637,0.0011654724791042475,1046
gsm8kfull_Phi-4-mini-instruct,T0.2,1,L2,0.6910388113837264,0.0086973267722428,73
gsm8kfull_Phi-4-mini-instruct,T0.2,1,L3,0.5342198574373908,0.008134415005374956,47
gsm8kfull_Phi-4-mini-instruct,T0.2,1,L4,0.3820736429025961,0.006168455323637538,43
gsm8kfull_Phi-4-mini-instruct,T0.2,1,L5,0.10606540144983097,0.005281745382079251,79
gsm8kfull_Phi-4-mini-instruct,T0.2,1,Lr,0.0020161290823291706,0.0013251352687700293,31
gsm8kfull_Phi-4-mini-instruct,T0.2,1,overall,0.8478455916997955,0.003251772934736988,1319
gsm8kfull_Phi-4-mini-instruct,T0.2,1,overall_md_compat,0.8682032883932281,0.0032842446230223524,1288
gsm8kfull_Phi-4-mini-instruct,T0.3,1,L1,0.9614045594749442,0.0007298745925267388,1046
gsm8kfull_Phi-4-mini-instruct,T0.3,1,L2,0.6910388131528141,0.010498497355788457,73
gsm8kfull_Phi-4-mini-instruct,T0.3,1,L3,0.5532801394344221,0.00627043147448963,47
gsm8kfull_Phi-4-mini-instruct,T0.3,1,L4,0.46346899178312273,0.007096040139977869,43
gsm8kfull_Phi-4-mini-instruct,T0.3,1,L5,0.14599156148637396,0.0036284466813660183,79
gsm8kfull_Phi-4-mini-instruct,T0.3,1,Lr,0.010215053965728128,0.0022619015856225927,31
gsm8kfull_Phi-4-mini-instruct,T0.3,1,overall,0.8444718239586052,0.003236335181032295,1319
gsm8kfull_Phi-4-mini-instruct,T0.3,1,overall_md_compat,0.8645509853481853,0.003256196470523045,1288
gsm8kfull_Phi-4-mini-instruct,T0.4,1,L1,0.9477891997238911,0.0004812864056664464,1046
gsm8kfull_Phi-4-mini-instruct,T0.4,1,L2,0.6988584461481605,0.011737469150396258,73
gsm8kfull_Phi-4-mini-instruct,T0.4,1,L3,0.5747340411898937,0.012671413542973412,47
gsm8kfull_Phi-4-mini-instruct,T0.4,1,L4,0.5122093012224335,0.009496520879559303,43
gsm8kfull_Phi-4-mini-instruct,T0.4,1,L5,0.17684599258524333,0.006247629160938405,79
gsm8kfull_Phi-4-mini-instruct,T0.4,1,Lr,0.021639785278708704,0.0017972596351597556,31
