combo,baseline,N,stratum,mean,std6,n_pids
gsm8kfull_Qwen2.5-3B,T0.1,1,L1,0.987700557671658,0.0006625036619931931,1018
gsm8kfull_Qwen2.5-3B,T0.1,1,L2,0.7072257375038121,0.00618318020920535,79
gsm8kfull_Qwen2.5-3B,T0.1,1,L3,0.5047764202685859,0.011072850990863033,41
gsm8kfull_Qwen2.5-3B,T0.1,1,L4,0.29343971567796473,0.007880002987345671,47
gsm8kfull_Qwen2.5-3B,T0.1,1,L5,0.056626984621915545,0.005118585948676771,105
gsm8kfull_Qwen2.5-3B,T0.1,1,Lr,0.0,0.0,28
gsm8kfull_Qwen2.5-3B,T0.1,1,overall,0.8359509364383357,0.0032781380511859594,1318
gsm8kfull_Qwen2.5-3B,T0.1,1,overall_md_compat,0.8540956079269199,0.0033135237585356705,1290
gsm8kfull_Qwen2.5-3B,T0.2,1,L1,0.9742796348838456,0.0006962802345039967,1018
gsm8kfull_Qwen2.5-3B,T0.2,1,L2,0.6822784807108625,0.009981156031471804,79
gsm8kfull_Qwen2.5-3B,T0.2,1,L3,0.526727641077061,0.008435081505419027,41
gsm8kfull_Qwen2.5-3B,T0.2,1,L4,0.3617907806913904,0.004762544178711282,47
gsm8kfull_Qwen2.5-3B,T0.2,1,L5,0.11607142901491552,0.004438416950395195,105
gsm8kfull_Qwen2.5-3B,T0.2,1,Lr,0.002232142901491551,0.0013540849340601272,28
gsm8kfull_Qwen2.5-3B,T0.2,1,overall,0.8319929198121211,0.00331305405888494,1318
gsm8kfull_Qwen2.5-3B,T0.2,1,overall_md_compat,0.8500032312489411,0.003342869300597046,1290
gsm8kfull_Qwen2.5-3B,T0.3,1,L1,0.9631589736103933,0.0007390954187584259,1018
gsm8kfull_Qwen2.5-3B,T0.3,1,L2,0.6606540091115715,0.00432823762554638,79
gsm8kfull_Qwen2.5-3B,T0.3,1,L3,0.5395325191500709,0.011514005639667122,41
gsm8kfull_Qwen2.5-3B,T0.3,1,L4,0.39228723331598947,0.012253684242510643,47
gsm8kfull_Qwen2.5-3B,T0.3,1,L5,0.15214285764784094,0.003614031698431361,105
gsm8kfull_Qwen2.5-3B,T0.3,1,Lr,0.007738095364489016,0.0019287918745261496,28
gsm8kfull_Qwen2.5-3B,T0.3,1,overall,0.826583840538261,0.003484661120359958,1318
gsm8kfull_Qwen2.5-3B,T0.3,1,overall_md_compat,0.8443572365575366,0.003510794752051708,1290
gsm8kfull_Qwen2.5-3B,T0.4,1,L1,0.9553208926103439,0.0009789562930890335,1018
gsm8kfull_Qwen2.5-3B,T0.4,1,L2,0.6408227832697112,0.006607789370518992,79
gsm8kfull_Qwen2.5-3B,T0.4,1,L3,0.5489837398858574,0.012033480917605487,41
gsm8kfull_Qwen2.5-3B,T0.4,1,L4,0.4232269499305609,0.008705655818224077,47
gsm8kfull_Qwen2.5-3B,T0.4,1,L5,0.18615079430183248,0.006119402632621625,105
gsm8kfull_Qwen2.5-3B,T0.4,1,Lr,0.016964285955986095,0.00532729795973904,28
gsm8kfull_Qwen2.5-3B,T0.4,1,overall,0.8236437799287966,0.0037617402045396417,1318
gsm8kfull_Qwen2.5-3B,T0.4,1,overall_md_compat,0.8411531022785939,0.003720461512333055,1290
gsm8kfull_Qwen2.5-3B,T0.5,1,L1,0.9481049468271195,0.0011898237656789246,1018
gsm8kfull_Qwen2.5-3B,T0.5,1,L2,0.6363924045099991,0.008013268614456488,79
gsm8kfull_Qwen2.5-3B,T0.5,1,L3,0.5435975602850681,0.01757431181477079,41
gsm8kfull_Qwen2.5-3B,T0.5,1,L4,0.4367021266238909,0.01054748447402614,47
gsm8kfull_Qwen2.5-3B,T0.5,1,L5,0.20015873029118492,0.004389398326288159,105
gsm8kfull_Qwen2.5-3B,T0.5,1,Lr,0.0254464286179947,0.002509548182777882,28
gsm8kfull_Qwen2.5-3B,T0.5,1,overall,0.819413886518351,0.004492882623930228,1318
gsm8kfull_Qwen2.5-3B,T0.5,1,overall_md_compat,0.8366472887053354,0.004526305640814972,1290
gsm8kfull_Qwen2.5-3B,T0.6,1,L1,0.9404510503467697,0.001511335389262474,1018
gsm8kfull_Qwen2.5-3B,T0.6,1,L2,0.6338080179087723,0.00338129019674264,79
gsm8kfull_Qwen2.5-3B,T0.6,1,L3,0.5350609750645917,0.009245400366796623,41
gsm8kfull_Qwen2.5-3B,T0.6,1,L4,0.4415780134261289,0.0065958864820721014,47
gsm8kfull_Qwen2.5-3B,T0.6,1,L5,0.2121825401390356,0.005711143918575592,105
gsm8kfull_Qwen2.5-3B,T0.6,1,Lr,0.03482142840290353,0.005327297721144307,28
gsm8kfull_Qwen2.5-3B,T0.6,1,overall,0.8144126221444317,0.0031402780440607336,1318
gsm8kfull_Qwen2.5-3B,T0.6,1,overall_md_compat,0.8313339813884338,0.0030756119269410454,1290
gsm8kfull_Qwen2.5-3B,T0.7,1,L1,0.9322159491679445,0.0012671919652121526,1018
gsm8kfull_Qwen2.5-3B,T0.7,1,L2,0.6130274261351879,0.008255592529905728,79
gsm8kfull_Qwen2.5-3B,T0.7,1,L3,0.5234756086899982,0.017072081095992793,41
gsm8kfull_Qwen2.5-3B,T0.7,1,L4,0.4340425534438051,0.013502678341652927,47
gsm8kfull_Qwen2.5-3B,T0.7,1,L5,0.22142857142561487,0.005870870454989109,105
gsm8kfull_Qwen2.5-3B,T0.7,1,Lr,0.04166666712124078,0.006020444524952597,28
gsm8kfull_Qwen2.5-3B,T0.7,1,overall,0.8070593092298031,0.004940594069693183,1318
gsm8kfull_Qwen2.5-3B,T0.7,1,overall_md_compat,0.8236724828569655,0.0049145252266102795,1290
gsm8kfull_Qwen2.5-3B,T0.8,1,L1,0.9233628056135904,0.0012364797925259012,1018
gsm8kfull_Qwen2.5-3B,T0.8,1,L2,0.6063291137637216,0.004955336213993719,79
gsm8kfull_Qwen2.5-3B,T0.8,1,L3,0.5190040648468142,0.015287336885106103,41
gsm8kfull_Qwen2.5-3B,T0.8,1,L4,0.4192375873829773,0.007971036109765642,47
gsm8kfull_Qwen2.5-3B,T0.8,1,L5,0.22623015902936458,0.00651775229554719,105
gsm8kfull_Qwen2.5-3B,T0.8,1,Lr,0.04940476228616067,0.00322748659565661,28
gsm8kfull_Qwen2.5-3B,T0.8,1,overall,0.7996996733002913,0.003974169738968156,1318
gsm8kfull_Qwen2.5-3B,T0.8,1,overall_md_compat,0.8159851442370322,0.003988827259423388,1290
gsm8kfull_Qwen2.5-3B,T0.9,1,L1,0.9136665056172341,0.001685738505390052,1018
gsm8kfull_Qwen2.5-3B,T0.9,1,L2,0.5897151893240553,0.007987607683313176,79
gsm8kfull_Qwen2.5-3B,T0.9,1,L3,0.5083333318674468,0.013512208616757396,41
gsm8kfull_Qwen2.5-3B,T0.9,1,L4,0.42845744673321223,0.008415358479178075,47
gsm8kfull_Qwen2.5-3B,T0.9,1,L5,0.22813492111920838,0.005647258886844057,105
gsm8kfull_Qwen2.5-3B,T0.9,1,Lr,0.05818452373413103,0.006323966591437911,28
gsm8kfull_Qwen2.5-3B,T0.9,1,overall,0.7915496985281059,0.004196957227164706,1318
gsm8kfull_Qwen2.5-3B,T0.9,1,overall_md_compat,0.8074677023220836,0.004138686227476089,1290
gsm8kfull_Qwen2.5-3B,T1.0,1,L1,0.9017804547239853,0.0010382814981981716,1018
gsm8kfull_Qwen2.5-3B,T1.0,1,L2,0.5697257393098707,0.005691513374006813,79
gsm8kfull_Qwen2.5-3B,T1.0,1,L3,0.49288617807432894,0.015380687493765088,41
gsm8kfull_Qwen2.5-3B,T1.0,1,L4,0.40443262457847595,0.013950646146422562,47
gsm8kfull_Qwen2.5-3B,T1.0,1,L5,0.2274206352139276,0.0071925516827135525,105
gsm8kfull_Qwen2.5-3B,T1.0,1,Lr,0.06383928608903218,0.005751830277154318,28
gsm8kfull_Qwen2.5-3B,T1.0,1,overall,0.7798969420930866,0.004679495623060009,1318
gsm8kfull_Qwen2.5-3B,T1.0,1,overall_md_compat,0.7954392788125543,0.00465348097233249,1290
gsm8kfull_Qwen2.5-3B,T1.1,1,L1,0.8838817968168042,0.0018624367664823458,1018
gsm8kfull_Qwen2.5-3B,T1.1,1,L2,0.5368670883592422,0.00580331770160046,79
gsm8kfull_Qwen2.5-3B,T1.1,1,L3,0.4477642261521603,0.011094657230094195,41
gsm8kfull_Qwen2.5-3B,T1.1,1,L4,0.3843971634587498,0.008050504578967046,47
gsm8kfull_Qwen2.5-3B,T1.1,1,L5,0.22317460355245403,0.006523403858679617,105
gsm8kfull_Qwen2.5-3B,T1.1,1,Lr,0.07410714386164079,0.008045629265288241,28
gsm8kfull_Qwen2.5-3B,T1.1,1,overall,0.7618645694201975,0.003950116639220405,1318
gsm8kfull_Qwen2.5-3B,T1.1,1,overall_md_compat,0.7767926375718561,0.003812749855189236,1290
gsm8kfull_Qwen2.5-3B,T1.2,1,L1,0.8574124121685961,0.0024268139421012307,1018
gsm8kfull_Qwen2.5-3B,T1.2,1,L2,0.4861814343539472,0.008992391596673784,79
gsm8kfull_Qwen2.5-3B,T1.2,1,L3,0.4183943089612616,0.016143765238548644,41
gsm8kfull_Qwen2.5-3B,T1.2,1,L4,0.3529255313745944,0.00471877712562139,47
gsm8kfull_Qwen2.5-3B,T1.2,1,L5,0.21138888969721772,0.005902489193294115,105
gsm8kfull_Qwen2.5-3B,T1.2,1,Lr,0.08110119139642587,0.00435277409601182,28
gsm8kfull_Qwen2.5-3B,T1.2,1,overall,0.7355557680735343,0.004634130772871157,1318
gsm8kfull_Qwen2.5-3B,T1.2,1,overall_md_compat,0.7497609836913319,0.004640048571750972,1290
gsm8kfull_Qwen2.5-3B,random_T,1,L1,0.9323100882296321,0.0006742787855822088,1018
gsm8kfull_Qwen2.5-3B,random_T,1,L2,0.6122890297433495,0.008695144935504462,79
gsm8kfull_Qwen2.5-3B,random_T,1,L3,0.5073170720077141,0.009134138223815742,41
gsm8kfull_Qwen2.5-3B,random_T,1,L4,0.3977836861823361,0.005095474889499128,47
gsm8kfull_Qwen2.5-3B,random_T,1,L5,0.19111111127431432,0.005331773949321792,105
gsm8kfull_Qwen2.5-3B,random_T,1,Lr,0.03363095276013372,0.0024397498843892816,28
gsm8kfull_Qwen2.5-3B,random_T,1,overall,0.8027061227097594,0.0032856304254944256,1318
gsm8kfull_Qwen2.5-3B,random_T,1,overall_md_compat,0.8193992271737823,0.0033015884673676856,1290
gsm8kfull_Qwen2.5-3B,equal_mix,1,L1,0.9878724623444671,0.00030924179040341907,1018
gsm8kfull_Qwen2.5-3B,equal_mix,1,L2,0.7065400843881856,0.006888759095029871,79
gsm8kfull_Qwen2.5-3B,equal_mix,1,L3,0.4922764227642276,0.015122279041817706,41
gsm8kfull_Qwen2.5-3B,equal_mix,1,L4,0.29113475177304965,0.013105703675865546,47
gsm8kfull_Qwen2.5-3B,equal_mix,1,L5,0.05492063492063492,0.002991547679845014,105
gsm8kfull_Qwen2.5-3B,equal_mix,1,Lr,0.0,0.0,28
gsm8kfull_Qwen2.5-3B,equal_mix,1,overall,0.8354356348002029,0.004107313401893047,1318
