combo,baseline,N,stratum,mean,std6,n_pids
math1k_Qwen2.5-3B,T0.1,1,L1,0.9778266342940243,0.0010351941360657246,199
math1k_Qwen2.5-3B,T0.1,1,L2,0.6994137346145496,0.005418443271220139,199
math1k_Qwen2.5-3B,T0.1,1,L3,0.5014865977854984,0.0030384529812743965,199
math1k_Qwen2.5-3B,T0.1,1,L4,0.29302134675743,0.006804749041718139,203
math1k_Qwen2.5-3B,T0.1,1,L5,0.05841666738192241,0.0024541631368817972,200
math1k_Qwen2.5-3B,T0.1,1,Lr,,,0
math1k_Qwen2.5-3B,T0.1,1,overall,0.5047333332402631,0.004300863390383026,1000
math1k_Qwen2.5-3B,T0.1,1,overall_md_compat,0.5047333332402631,0.004300863390383026,1000
math1k_Qwen2.5-3B,T0.2,1,L1,0.9598827487859295,0.003163901433957256,199
math1k_Qwen2.5-3B,T0.2,1,L2,0.6781407025216812,0.008538648537252403,199
math1k_Qwen2.5-3B,T0.2,1,L3,0.5131909531639449,0.007562354680618871,199
math1k_Qwen2.5-3B,T0.2,1,L4,0.3353653527499591,0.00429265630127392,203
math1k_Qwen2.5-3B,T0.2,1,L5,0.08358333400605868,0.002927954441630967,200
math1k_Qwen2.5-3B,T0.2,1,Lr,,,0
math1k_Qwen2.5-3B,T0.2,1,overall,0.5128874998992929,0.0057737973336398594,1000
math1k_Qwen2.5-3B,T0.2,1,overall_md_compat,0.5128874998992929,0.0057737973336398594,1000
math1k_Qwen2.5-3B,T0.3,1,L1,0.9447654961191829,0.001833769030856899,199
math1k_Qwen2.5-3B,T0.3,1,L2,0.6667294805023939,0.004458943877468489,199
math1k_Qwen2.5-3B,T0.3,1,L3,0.5084380221957189,0.0049793244393884885,199
math1k_Qwen2.5-3B,T0.3,1,L4,0.35244252819151956,0.005732843477644328,203
math1k_Qwen2.5-3B,T0.3,1,L5,0.09885416723477343,0.0019307004501787118,200
math1k_Qwen2.5-3B,T0.3,1,Lr,,,0
math1k_Qwen2.5-3B,T0.3,1,overall,0.513183333434475,0.004120302159066586,1000
math1k_Qwen2.5-3B,T0.3,1,overall_md_compat,0.513183333434475,0.004120302159066586,1000
math1k_Qwen2.5-3B,T0.4,1,L1,0.9342336704084023,0.0029125685273547587,199
math1k_Qwen2.5-3B,T0.4,1,L2,0.6527638186699082,0.004155995259695804,199
math1k_Qwen2.5-3B,T0.4,1,L3,0.5070142364800226,0.005113800907410737,199
math1k_Qwen2.5-3B,T0.4,1,L4,0.35946223265162636,0.007848767033477408,203
math1k_Qwen2.5-3B,T0.4,1,L5,0.10993750079534949,0.0030789101778604137,200
math1k_Qwen2.5-3B,T0.4,1,Lr,,,0
math1k_Qwen2.5-3B,T0.4,1,overall,0.5116666667734584,0.004973000285046817,1000
math1k_Qwen2.5-3B,T0.4,1,overall_md_compat,0.5116666667734584,0.004973000285046817,1000
math1k_Qwen2.5-3B,T0.5,1,L1,0.9277010072066356,0.000609005350128034,199
math1k_Qwen2.5-3B,T0.5,1,L2,0.6449329973552594,0.006012151040085514,199
math1k_Qwen2.5-3B,T0.5,1,L3,0.4980946393430832,0.005103296194273718,199
math1k_Qwen2.5-3B,T0.5,1,L4,0.35474137874543427,0.007130424932521798,203
math1k_Qwen2.5-3B,T0.5,1,L5,0.11533333408956727,0.005071776530098428,200
math1k_Qwen2.5-3B,T0.5,1,Lr,,,0
math1k_Qwen2.5-3B,T0.5,1,overall,0.5071541668403272,0.005283487457705872,1000
math1k_Qwen2.5-3B,T0.5,1,overall_md_compat,0.5071541668403272,0.005283487457705872,1000
