combo,baseline,N,stratum,mean,std6,n_pids
math500_Phi-4-mini-instruct,T0.1,1,L1,0.966414730308592,0.0014660693988727395,215
math500_Phi-4-mini-instruct,T0.1,1,L2,0.691763565175293,0.010792157216690787,43
math500_Phi-4-mini-instruct,T0.1,1,L3,0.48527777642011644,0.019682667274207852,30
math500_Phi-4-mini-instruct,T0.1,1,L4,0.28995098017789184,0.004015421673377687,51
math500_Phi-4-mini-instruct,T0.1,1,L5,0.04981884123883457,0.004425632335903146,138
math500_Phi-4-mini-instruct,T0.1,1,Lr,0.0,0.0,17
math500_Phi-4-mini-instruct,T0.1,1,overall,0.5541413637480163,0.006460370478004317,494
math500_Phi-4-mini-instruct,T0.1,1,overall_md_compat,0.5738906366698533,0.006574484545283914,477
math500_Phi-4-mini-instruct,T0.2,1,L1,0.9449224824129149,0.0016909176436022497,215
math500_Phi-4-mini-instruct,T0.2,1,L2,0.6741279057523077,0.008187153830934081,43
math500_Phi-4-mini-instruct,T0.2,1,L3,0.4987499972184499,0.01009331571322498,30
math500_Phi-4-mini-instruct,T0.2,1,L4,0.3198529406712433,0.00730211179770677,51
math500_Phi-4-mini-instruct,T0.2,1,L5,0.07007850307053413,0.0035562968026367817,138
math500_Phi-4-mini-instruct,T0.2,1,Lr,0.0012254902143396583,0.0011070186234209817,17
math500_Phi-4-mini-instruct,T0.2,1,overall,0.552859312377106,0.004727121175807934,494
math500_Phi-4-mini-instruct,T0.2,1,overall_md_compat,0.5725192179887768,0.004806077983597155,477
math500_Phi-4-mini-instruct,T0.3,1,L1,0.927713180558626,0.0030849408606376293,215
math500_Phi-4-mini-instruct,T0.3,1,L2,0.6457364340276682,0.012115735754509518,43
math500_Phi-4-mini-instruct,T0.3,1,L3,0.5254166642824809,0.019942626057313607,30
math500_Phi-4-mini-instruct,T0.3,1,L4,0.3254084960965354,0.013143899530063018,51
math500_Phi-4-mini-instruct,T0.3,1,L5,0.08369565279569459,0.0019712274098541535,138
math500_Phi-4-mini-instruct,T0.3,1,Lr,0.006372549205872358,0.0027380864219711362,17
math500_Phi-4-mini-instruct,T0.3,1,overall,0.549072200678133,0.007762144699505486,494
math500_Phi-4-mini-instruct,T0.3,1,overall_md_compat,0.5684136976907713,0.007882322236633304,477
math500_Phi-4-mini-instruct,T0.4,1,L1,0.9135271344998087,0.0028734498015548136,215
math500_Phi-4-mini-instruct,T0.4,1,L2,0.6200581393962682,0.012138497748148408,43
math500_Phi-4-mini-instruct,T0.4,1,L3,0.5337499973674615,0.012312482186905506,30
math500_Phi-4-mini-instruct,T0.4,1,L4,0.324264706483756,0.007101925944054942,51
math500_Phi-4-mini-instruct,T0.4,1,L5,0.09015700554223237,0.002984827259081865,138
math500_Phi-4-mini-instruct,T0.4,1,Lr,0.010539215825059836,0.0031426118657791736,17
math500_Phi-4-mini-instruct,T0.4,1,overall,0.5429993265122426,0.005801809422028003,494
math500_Phi-4-mini-instruct,T0.4,1,overall_md_compat,0.5619758923019326,0.005874408515760234,477
math500_Phi-4-mini-instruct,T0.5,1,L1,0.8970348866064418,0.003153500902456711,215
math500_Phi-4-mini-instruct,T0.5,1,L2,0.6019379829251489,0.012126891263352766,43
math500_Phi-4-mini-instruct,T0.5,1,L3,0.5255555538667573,0.008460146952541494,30
math500_Phi-4-mini-instruct,T0.5,1,L4,0.31405228821353787,0.017657041106778185,51
math500_Phi-4-mini-instruct,T0.5,1,L5,0.09990942088779116,0.0037753380133494796,138
math500_Phi-4-mini-instruct,T0.5,1,Lr,0.014950980541898924,0.005129522032116386,17
math500_Phi-4-mini-instruct,T0.5,1,overall,0.5355684897829696,0.007651773015208795,494
math500_Phi-4-mini-instruct,T0.5,1,overall_md_compat,0.5541229922087519,0.007726484364082964,477
math500_Phi-4-mini-instruct,T0.6,1,L1,0.8802713190169297,0.0033041814812830817,215
math500_Phi-4-mini-instruct,T0.6,1,L2,0.5794573643410853,0.008202964149563284,43
math500_Phi-4-mini-instruct,T0.6,1,L3,0.5050000004470349,0.023634953623058584,30
math500_Phi-4-mini-instruct,T0.6,1,L4,0.32532679872112535,0.007980817470897133,51
math500_Phi-4-mini-instruct,T0.6,1,L5,0.10169082174554539,0.001686502596950964,138
math500_Phi-4-mini-instruct,T0.6,1,Lr,0.02328431409071473,0.005213161066333878,17
math500_Phi-4-mini-instruct,T0.6,1,overall,0.5270158577812195,0.007268967477220909,494
math500_Phi-4-mini-instruct,T0.6,1,overall_md_compat,0.5449685543068769,0.007331604562120083,477
math500_Phi-4-mini-instruct,T0.7,1,L1,0.8585852734686793,0.0038958982162918196,215
math500_Phi-4-mini-instruct,T0.7,1,L2,0.5538759686688121,0.009635505326712257,43
math500_Phi-4-mini-instruct,T0.7,1,L3,0.49277777688370805,0.007103730671550303,30
math500_Phi-4-mini-instruct,T0.7,1,L4,0.30735294086846454,0.0053608716102975995,51
math500_Phi-4-mini-instruct,T0.7,1,L5,0.10899758511695308,0.0037630028389428506,138
math500_Phi-4-mini-instruct,T0.7,1,Lr,0.021568627644549396,0.002891741663612983,17
math500_Phi-4-mini-instruct,T0.7,1,overall,0.5147351561850704,0.004996225566830201,494
math500_Phi-4-mini-instruct,T0.7,1,overall_md_compat,0.5323113217724684,0.005055085334264024,477
math500_Phi-4-mini-instruct,T0.8,1,L1,0.8351162800031116,0.0026779552973101193,215
math500_Phi-4-mini-instruct,T0.8,1,L2,0.5313953475145868,0.011737851050844232,43
math500_Phi-4-mini-instruct,T0.8,1,L3,0.46694444291707543,0.009123634459351132,30
math500_Phi-4-mini-instruct,T0.8,1,L4,0.29722222301110723,0.01014915110223516,51
math500_Phi-4-mini-instruct,T0.8,1,L5,0.10628019385759668,0.0038781090243556813,138
math500_Phi-4-mini-instruct,T0.8,1,Lr,0.028676470723368375,0.004627097831019557,17
math500_Phi-4-mini-instruct,T0.8,1,overall,0.49943488574801737,0.005978405984926271,494
math500_Phi-4-mini-instruct,T0.8,1,overall_md_compat,0.5162124393233193,0.006020971464383056,477
math500_Phi-4-mini-instruct,T0.9,1,L1,0.8037790711189426,0.0033303357272981083,215
math500_Phi-4-mini-instruct,T0.9,1,L2,0.5001937978604967,0.0155686620369651,43
math500_Phi-4-mini-instruct,T0.9,1,L3,0.4406944433020221,0.01753897642350363,30
math500_Phi-4-mini-instruct,T0.9,1,L4,0.2865196084177572,0.005945333359788192,51
math500_Phi-4-mini-instruct,T0.9,1,L5,0.10471014532930971,0.0014310448071821352,138
math500_Phi-4-mini-instruct,T0.9,1,Lr,0.026470588629736617,0.003602191012917882,17
math500_Phi-4-mini-instruct,T0.9,1,overall,0.4798667347957299,0.007019555923996061,494
math500_Phi-4-mini-instruct,T0.9,1,overall_md_compat,0.4960255073005976,0.007111105294828407,477
math500_Phi-4-mini-instruct,T1.0,1,L1,0.7632170542034992,0.006134717242191094,215
math500_Phi-4-mini-instruct,T1.0,1,L2,0.4679263556347222,0.00548384609746937,43
math500_Phi-4-mini-instruct,T1.0,1,L3,0.40791666671219806,0.010148208486571978,30
math500_Phi-4-mini-instruct,T1.0,1,L4,0.2584967327127659,0.008734114162452867,51
math500_Phi-4-mini-instruct,T1.0,1,L5,0.09924516949469701,0.0032797695688846855,138
math500_Phi-4-mini-instruct,T1.0,1,Lr,0.025490196312175074,0.004428074614977056,17
math500_Phi-4-mini-instruct,T1.0,1,overall,0.4529605264035173,0.00606684811967656,494
math500_Phi-4-mini-instruct,T1.0,1,overall_md_compat,0.4681953180419928,0.006117156307487127,477
math500_Phi-4-mini-instruct,T1.1,1,L1,0.7082945738825224,0.0033351360196290565,215
math500_Phi-4-mini-instruct,T1.1,1,L2,0.4209302318419597,0.01600685919599941,43
math500_Phi-4-mini-instruct,T1.1,1,L3,0.35291666693778506,0.0082285075858061,30
math500_Phi-4-mini-instruct,T1.1,1,L4,0.23529411863316507,0.0063687770697143965,51
math500_Phi-4-mini-instruct,T1.1,1,L5,0.08934178830074947,0.0028881530498717986,138
math500_Phi-4-mini-instruct,T1.1,1,Lr,0.025490196275652622,0.009784294073722003,17
math500_Phi-4-mini-instruct,T1.1,1,overall,0.41646423792421267,0.006408395187333487,494
math500_Phi-4-mini-instruct,T1.1,1,overall_md_compat,0.4303983232659853,0.006254542715790325,477
math500_Phi-4-mini-instruct,T1.2,1,L1,0.6134689919462847,0.0037117748496050067,215
math500_Phi-4-mini-instruct,T1.2,1,L2,0.32199612269972183,0.009384928950760076,43
math500_Phi-4-mini-instruct,T1.2,1,L3,0.2508333338528044,0.012703892087135243,30
math500_Phi-4-mini-instruct,T1.2,1,L4,0.17565359449123638,0.010782828530687811,51
math500_Phi-4-mini-instruct,T1.2,1,L5,0.06074879285856938,0.0019399007209356315,138
math500_Phi-4-mini-instruct,T1.2,1,Lr,0.01813725508092081,0.006285223464943153,17
math500_Phi-4-mini-instruct,T1.2,1,overall,0.34598515512152767,0.0061545081266871525,494
math500_Phi-4-mini-instruct,T1.2,1,overall_md_compat,0.3576694618315702,0.006149798234485415,477
math500_Phi-4-mini-instruct,random_T,1,L1,0.842674419445585,0.003025937781921061,215
math500_Phi-4-mini-instruct,random_T,1,L2,0.5504844963565008,0.012444666757641474,43
math500_Phi-4-mini-instruct,random_T,1,L3,0.4652777762048775,0.015226682085646665,30
math500_Phi-4-mini-instruct,random_T,1,L4,0.2889705886942596,0.006783506780065241,51
math500_Phi-4-mini-instruct,random_T,1,L5,0.08837560472047128,0.0028098208929504057,138
math500_Phi-4-mini-instruct,random_T,1,Lr,0.014950980596682607,0.006128431191766845,17
math500_Phi-4-mini-instruct,random_T,1,overall,0.49795883999038965,0.006308270977670733,494
math500_Phi-4-mini-instruct,random_T,1,overall_md_compat,0.5151729565725554,0.006314585840151035,477
math500_Phi-4-mini-instruct,equal_mix,1,L1,0.9644961240310073,0.00210804257998262,215
math500_Phi-4-mini-instruct,equal_mix,1,L2,0.6875,0.004454414257994931,43
math500_Phi-4-mini-instruct,equal_mix,1,L3,0.48666666666666664,0.008563488385776752,30
math500_Phi-4-mini-instruct,equal_mix,1,L4,0.28929738562091506,0.007918854288085803,51
math500_Phi-4-mini-instruct,equal_mix,1,L5,0.05178140096618359,0.0008135382599823407,138
math500_Phi-4-mini-instruct,equal_mix,1,Lr,0.0,0.0,17
math500_Phi-4-mini-instruct,equal_mix,1,overall,0.5535003373819161,0.003843623324064711,494
math500_Phi-4-mini-instruct,equal_mix,1,overall_md_compat,0.5732267645003492,0.003911515946027041,477
math500_Phi-4-mini-instruct,consensus_vote,1,L1,0.9644961240310073,0.00210804257998262,215
math500_Phi-4-mini-instruct,consensus_vote,1,L2,0.6875,0.004454414257994931,43
math500_Phi-4-mini-instruct,consensus_vote,1,L3,0.48666666666666664,0.008563488385776752,30
math500_Phi-4-mini-instruct,consensus_vote,1,L4,0.28929738562091506,0.007918854288085803,51
math500_Phi-4-mini-instruct,consensus_vote,1,L5,0.05178140096618359,0.0008135382599823407,138
math500_Phi-4-mini-instruct,consensus_vote,1,Lr,0.0,0.0,17
math500_Phi-4-mini-instruct,consensus_vote,1,overall,0.5535003373819161,0.003843623324064711,494
math500_Phi-4-mini-instruct,consensus_vote,1,overall_md_compat,0.5732267645003492,0.003911515946027041,477
math500_Phi-4-mini-instruct,T0.1,2,L1,0.9650969010914944,0.0009175495904300751,215
math500_Phi-4-mini-instruct,T0.1,2,L2,0.7075096886287363,0.0047922537093003405,43
math500_Phi-4-mini-instruct,T0.1,2,L3,0.5008333348565631,0.007095575424069145,30
math500_Phi-4-mini-instruct,T0.1,2,L4,0.3019607835053618,0.0044063149577024,51
math500_Phi-4-mini-instruct,T0.1,2,L5,0.053079710391480565,0.0017703641404291552,138
math500_Phi-4-mini-instruct,T0.1,2,Lr,0.0,0.0,17
math500_Phi-4-mini-instruct,T0.1,2,overall,0.5580339076603272,0.0028814859362958204,494
math500_Phi-4-mini-instruct,T0.1,2,overall_md_compat,0.5779219085622676,0.002932383648914501,477
math500_Phi-4-mini-instruct,T0.2,2,L1,0.9453972887623218,0.0009225084709271105,215
math500_Phi-4-mini-instruct,T0.2,2,L2,0.6941375985395077,0.006219615561027769,43
math500_Phi-4-mini-instruct,T0.2,2,L3,0.5059722205003103,0.013013525663985434,30
math500_Phi-4-mini-instruct,T0.2,2,L4,0.32054738560691476,0.004352589277238445,51
math500_Phi-4-mini-instruct,T0.2,2,L5,0.0736413044317351,0.0018197282288741293,138
math500_Phi-4-mini-instruct,T0.2,2,Lr,0.0017156863000755216,0.0013690431619463072,17
math500_Phi-4-mini-instruct,T0.2,2,overall,0.5563301291108111,0.004119164972975828,494
math500_Phi-4-mini-instruct,T0.2,2,overall_md_compat,0.5760962622927451,0.004183949607767292,477
math500_Phi-4-mini-instruct,T0.3,2,L1,0.9295639551425164,0.0014993907922090611,215
math500_Phi-4-mini-instruct,T0.3,2,L2,0.6515019373145213,0.01332450783743423,43
math500_Phi-4-mini-instruct,T0.3,2,L3,0.5422916665673256,0.005949731952565958,30
math500_Phi-4-mini-instruct,T0.3,2,L4,0.3415032682660359,0.005495154394306143,51
math500_Phi-4-mini-instruct,T0.3,2,L5,0.0873641306500666,0.0021812601466424998,138
math500_Phi-4-mini-instruct,T0.3,2,Lr,0.006740196133215054,0.0022503684830270506,17
math500_Phi-4-mini-instruct,T0.3,2,overall,0.5541034083051152,0.004816969302243473,494
math500_Phi-4-mini-instruct,T0.3,2,overall_md_compat,0.5736111118835686,0.004883611145115817,477
math500_Phi-4-mini-instruct,T0.4,2,L1,0.9154263582802559,0.0017713641857245643,215
math500_Phi-4-mini-instruct,T0.4,2,L2,0.6313469017198844,0.009373665990604737,43
math500_Phi-4-mini-instruct,T0.4,2,L3,0.5415972211294704,0.010070644013526489,30
math500_Phi-4-mini-instruct,T0.4,2,L4,0.34644607814893225,0.004623850526574654,51
math500_Phi-4-mini-instruct,T0.4,2,L5,0.09465579719030735,0.0020782073348014295,138
math500_Phi-4-mini-instruct,T0.4,2,Lr,0.011887254841698737,0.0018259392833044233,17
math500_Phi-4-mini-instruct,T0.4,2,overall,0.5488782060086256,0.004324500117329771,494
math500_Phi-4-mini-instruct,T0.4,2,overall_md_compat,0.5680162482934006,0.00438736605803579,477
math500_Phi-4-mini-instruct,T0.5,2,L1,0.9004360490760138,0.0026245992071929707,215
math500_Phi-4-mini-instruct,T0.5,2,L2,0.6151647267415542,0.006748737213709857,43
math500_Phi-4-mini-instruct,T0.5,2,L3,0.5240277783738242,0.007851339379917902,30
math500_Phi-4-mini-instruct,T0.5,2,L4,0.33174019524206716,0.005497522948389404,51
math500_Phi-4-mini-instruct,T0.5,2,L5,0.10858997615765115,0.003446991388632386,138
math500_Phi-4-mini-instruct,T0.5,2,Lr,0.02095588227259178,0.0024052099951791827,17
math500_Phi-4-mini-instruct,T0.5,2,overall,0.5425649470003641,0.0041646721687559245,494
math500_Phi-4-mini-instruct,T0.5,2,overall_md_compat,0.5611547878816474,0.0042138422623505265,477
math500_Phi-4-mini-instruct,T0.6,2,L1,0.8839922496514726,0.0024337255629319913,215
math500_Phi-4-mini-instruct,T0.6,2,L2,0.5975775196570758,0.0071079403690320715,43
math500_Phi-4-mini-instruct,T0.6,2,L3,0.530486112087965,0.011795174725869736,30
math500_Phi-4-mini-instruct,T0.6,2,L4,0.335212418922144,0.007193811671846311,51
math500_Phi-4-mini-instruct,T0.6,2,L5,0.10979770549802459,0.0024848684003118816,138
math500_Phi-4-mini-instruct,T0.6,2,Lr,0.023651960826314544,0.003984633785279525,17
math500_Phi-4-mini-instruct,T0.6,2,overall,0.5350581992728014,0.0047998433419284975,494
math500_Phi-4-mini-instruct,T0.6,2,overall_md_compat,0.5532844174145001,0.004826356462641558,477
math500_Phi-4-mini-instruct,T0.7,2,L1,0.8617344969695853,0.00261315480880208,215
math500_Phi-4-mini-instruct,T0.7,2,L2,0.5709302325465883,0.007587152261799435,43
math500_Phi-4-mini-instruct,T0.7,2,L3,0.5050694429626068,0.011996576894185791,30
math500_Phi-4-mini-instruct,T0.7,2,L4,0.32340686278283787,0.006506418642901656,51
math500_Phi-4-mini-instruct,T0.7,2,L5,0.11490036261150982,0.0033706120104264417,138
math500_Phi-4-mini-instruct,T0.7,2,Lr,0.02696078466981942,0.004757680902791515,17
math500_Phi-4-mini-instruct,T0.7,2,overall,0.5218286103614218,0.005004573401952883,494
math500_Phi-4-mini-instruct,T0.7,2,overall_md_compat,0.5394654091806192,0.005013148115100336,477
math500_Phi-4-mini-instruct,T0.8,2,L1,0.8396608527894168,0.0020198495808827336,215
math500_Phi-4-mini-instruct,T0.8,2,L2,0.5413275194144989,0.008903926352930329,43
math500_Phi-4-mini-instruct,T0.8,2,L3,0.49020833331677643,0.01337947805038236,30
math500_Phi-4-mini-instruct,T0.8,2,L4,0.3130718949859585,0.006068671994037971,51
math500_Phi-4-mini-instruct,T0.8,2,L5,0.11606280184305916,0.0015758441410820485,138
math500_Phi-4-mini-instruct,T0.8,2,Lr,0.031004902249311697,0.0025647609233928805,17
math500_Phi-4-mini-instruct,T0.8,2,overall,0.5081393387063071,0.00492644094544964,494
math500_Phi-4-mini-instruct,T0.8,2,overall_md_compat,0.5251441299427199,0.004990024702607628,477
math500_Phi-4-mini-instruct,T0.9,2,L1,0.8132073645674905,0.0017906285096369653,215
math500_Phi-4-mini-instruct,T0.9,2,L2,0.5191375973612763,0.00500276033291087,43
math500_Phi-4-mini-instruct,T0.9,2,L3,0.46576389099160836,0.011025275009020235,30
math500_Phi-4-mini-instruct,T0.9,2,L4,0.2921977131962289,0.0038704278306766846,51
math500_Phi-4-mini-instruct,T0.9,2,L5,0.1159420291373533,0.0017176739785582352,138
math500_Phi-4-mini-instruct,T0.9,2,Lr,0.029411764623706833,0.004855168811924891,17
math500_Phi-4-mini-instruct,T0.9,2,overall,0.49096659957663774,0.003760043261051444,494
math500_Phi-4-mini-instruct,T0.9,2,overall_md_compat,0.5074161429607045,0.0037150608029962243,477
math500_Phi-4-mini-instruct,T1.0,2,L1,0.7726162790270278,0.001711714062144482,215
math500_Phi-4-mini-instruct,T1.0,2,L2,0.491279070041785,0.007179703545521465,43
math500_Phi-4-mini-instruct,T1.0,2,L3,0.436249999438102,0.003395259801737349,30
math500_Phi-4-mini-instruct,T1.0,2,L4,0.2777777779421288,0.007033359916219197,51
math500_Phi-4-mini-instruct,T1.0,2,L5,0.11139794693953821,0.002761369047655443,138
math500_Phi-4-mini-instruct,T1.0,2,Lr,0.03186274555456989,0.0046426511848869974,17
math500_Phi-4-mini-instruct,T1.0,2,overall,0.46640941298154515,0.003800147971855183,494
math500_Phi-4-mini-instruct,T1.0,2,overall_md_compat,0.48189640112883775,0.0037666455128065497,477
math500_Phi-4-mini-instruct,T1.1,2,L1,0.7257558145553106,0.003780768775443998,215
math500_Phi-4-mini-instruct,T1.1,2,L2,0.4411821701210137,0.0068215959792194735,43
math500_Phi-4-mini-instruct,T1.1,2,L3,0.37430555530720283,0.0045997180298953996,30
math500_Phi-4-mini-instruct,T1.1,2,L4,0.24877450981609572,0.004582743028544356,51
math500_Phi-4-mini-instruct,T1.1,2,L5,0.10110205338125067,0.004307412267730935,138
math500_Phi-4-mini-instruct,T1.1,2,Lr,0.028553921564975205,0.004247344505320687,17
math500_Phi-4-mini-instruct,T1.1,2,overall,0.4319078950154848,0.004419117658765917,494
math500_Phi-4-mini-instruct,T1.1,2,overall_md_compat,0.44628319385963294,0.0044251165010470985,477
math500_Phi-4-mini-instruct,T1.2,2,L1,0.6321608525780281,0.0020863642400516546,215
math500_Phi-4-mini-instruct,T1.2,2,L2,0.34001938029834927,0.011601229723181509,43
math500_Phi-4-mini-instruct,T1.2,2,L3,0.2668750002980232,0.012895816498364424,30
math500_Phi-4-mini-instruct,T1.2,2,L4,0.18754084913510513,0.004539059013868352,51
math500_Phi-4-mini-instruct,T1.2,2,L5,0.06899154609168211,0.004030406896821105,138
math500_Phi-4-mini-instruct,T1.2,2,Lr,0.027450980536420557,0.0055155227918396435,17
math500_Phi-4-mini-instruct,T1.2,2,overall,0.3605136639710676,0.005605422435100844,494
