combo,baseline,N,stratum,mean,std6,n_pids
mathfull_Llama-3.2-3B,T0.1,1,L1,0.9657983044524482,0.0005544336102717609,1689
mathfull_Llama-3.2-3B,T0.1,1,L2,0.7045444439252218,0.003310700353288372,375
mathfull_Llama-3.2-3B,T0.1,1,L3,0.4986243366012497,0.005903965174261864,315
mathfull_Llama-3.2-3B,T0.1,1,L4,0.295098039547258,0.0035673585454148696,476
mathfull_Llama-3.2-3B,T0.1,1,L5,0.05077663486000213,0.00034086237091571214,1749
mathfull_Llama-3.2-3B,T0.1,1,Lr,0.0,0.0,311
mathfull_Llama-3.2-3B,T0.1,1,overall,0.46424805084764503,0.0021094262320560586,4915
mathfull_Llama-3.2-3B,T0.1,1,overall_md_compat,0.49560798651524224,0.0021795078925216683,4604
mathfull_Llama-3.2-3B,T0.2,1,L1,0.9408895815409263,0.0011485074696147408,1689
mathfull_Llama-3.2-3B,T0.2,1,L2,0.6607222215731938,0.0023564255189007627,375
mathfull_Llama-3.2-3B,T0.2,1,L3,0.4951455012003265,0.005514911431857326,315
mathfull_Llama-3.2-3B,T0.2,1,L4,0.3346551118069003,0.003064890885040044,476
mathfull_Llama-3.2-3B,T0.2,1,L5,0.07008528749898504,0.0012967763398885033,1749
mathfull_Llama-3.2-3B,T0.2,1,Lr,0.0014737406456074402,0.0002993406284432667,311
mathfull_Llama-3.2-3B,T0.2,1,overall,0.46291709126902714,0.00208326388525794,4915
mathfull_Llama-3.2-3B,T0.2,1,overall_md_compat,0.49408756955831545,0.002151069883434016,4604
mathfull_Llama-3.2-3B,T0.3,1,L1,0.9222814309125306,0.0014483455954001807,1689
mathfull_Llama-3.2-3B,T0.3,1,L2,0.6442666660745938,0.005306767518939859,375
mathfull_Llama-3.2-3B,T0.3,1,L3,0.4891402106268932,0.001894427729729178,315
mathfull_Llama-3.2-3B,T0.3,1,L4,0.3474352233841003,0.0034956142585557117,476
mathfull_Llama-3.2-3B,T0.3,1,L5,0.08223032277117906,0.0005594309461746788,1749
mathfull_Llama-3.2-3B,T0.3,1,Lr,0.0034967846339937834,0.0006031617947407819,311
mathfull_Llama-3.2-3B,T0.3,1,overall,0.4605696854151585,0.0021017404372281434,4915
