combo,baseline,N,stratum,mean,std6,n_pids
mathfull_Qwen2.5-3B,T0.1,1,L1,0.9766728068107913,0.0004121556468581105,2715
mathfull_Qwen2.5-3B,T0.1,1,L2,0.7008246528243439,0.004202053114756308,384
mathfull_Qwen2.5-3B,T0.1,1,L3,0.5059300326192337,0.006445623379132911,293
mathfull_Qwen2.5-3B,T0.1,1,L4,0.2956024935427754,0.0027557627496158973,361
mathfull_Qwen2.5-3B,T0.1,1,L5,0.0565528821644752,0.0008182505694057864,1018
mathfull_Qwen2.5-3B,T0.1,1,Lr,0.0,0.0,194
mathfull_Qwen2.5-3B,T0.1,1,overall,0.6512193697775749,0.0021446993235665615,4965
mathfull_Qwen2.5-3B,T0.1,1,overall_md_compat,0.6776994699110583,0.002187869091462844,4771
mathfull_Qwen2.5-3B,T0.2,1,L1,0.9595257845628913,0.0005998922920023392,2715
mathfull_Qwen2.5-3B,T0.2,1,L2,0.6784288188145081,0.002843693411695742,384
mathfull_Qwen2.5-3B,T0.2,1,L3,0.5123862329620414,0.005039019955828939,293
mathfull_Qwen2.5-3B,T0.2,1,L4,0.33161357304103684,0.005697177658715567,361
mathfull_Qwen2.5-3B,T0.2,1,L5,0.08259250236414105,0.0011686509468545093,1018
mathfull_Qwen2.5-3B,T0.2,1,Lr,0.001374570467218091,0.0002783823365540559,194
mathfull_Qwen2.5-3B,T0.2,1,overall,0.6485028543234742,0.0022279337893264853,4965
mathfull_Qwen2.5-3B,T0.2,1,overall_md_compat,0.6748166013509556,0.00227208559593243,4771
mathfull_Qwen2.5-3B,T0.3,1,L1,0.9468953366739535,0.0007634492535886364,2715
mathfull_Qwen2.5-3B,T0.3,1,L2,0.6668945312816908,0.0030298973792857492,384
mathfull_Qwen2.5-3B,T0.3,1,L3,0.5093145607244881,0.004557437932237314,293
mathfull_Qwen2.5-3B,T0.3,1,L4,0.3493190209973786,0.003623258492322875,361
mathfull_Qwen2.5-3B,T0.3,1,L5,0.0985879182694181,0.0016551953642921242,1018
mathfull_Qwen2.5-3B,T0.3,1,Lr,0.0038015464580012964,0.0007140152335834983,194
mathfull_Qwen2.5-3B,T0.3,1,overall,0.645184626941672,0.0019469529548374607,4965
mathfull_Qwen2.5-3B,T0.3,1,overall_md_compat,0.6712647605853174,0.0019809167383662532,4771
mathfull_Qwen2.5-3B,T0.4,1,L1,0.9366190938216143,0.0005762364512762105,2715
mathfull_Qwen2.5-3B,T0.4,1,L2,0.656032985254165,0.0019668210365976608,384
mathfull_Qwen2.5-3B,T0.4,1,L3,0.49874857728357885,0.002833312416869216,293
mathfull_Qwen2.5-3B,T0.4,1,L4,0.35607109848317015,0.005130390167769053,361
mathfull_Qwen2.5-3B,T0.4,1,L5,0.10862802942213312,0.0010419829940945939,1018
mathfull_Qwen2.5-3B,T0.4,1,Lr,0.006658075692586575,0.0007929883864924292,194
mathfull_Qwen2.5-3B,T0.4,1,overall,0.6407628411673492,0.0017650624357350311,4965
mathfull_Qwen2.5-3B,T0.4,1,overall_md_compat,0.6665470215283016,0.001793476224196742,4771
mathfull_Qwen2.5-3B,T0.5,1,L1,0.9253115431652014,0.0006787419963468868,2715
mathfull_Qwen2.5-3B,T0.5,1,L2,0.6428059891081325,0.0030724069975311356,384
mathfull_Qwen2.5-3B,T0.5,1,L3,0.48927758724573867,0.003597675289605439,293
mathfull_Qwen2.5-3B,T0.5,1,L4,0.35504385962693624,0.0025957674846277938,361
mathfull_Qwen2.5-3B,T0.5,1,L5,0.11405533791160467,0.0012307106029453229,1018
mathfull_Qwen2.5-3B,T0.5,1,Lr,0.011060996694791153,0.0010886442676384318,194
mathfull_Qwen2.5-3B,T0.5,1,overall,0.6342077891746571,0.0016101542968263514,4965
mathfull_Qwen2.5-3B,T0.5,1,overall_md_compat,0.6595463927674248,0.0016278289480065966,4771
mathfull_Qwen2.5-3B,T0.6,1,L1,0.9154558035031081,0.00046252714294280994,2715
mathfull_Qwen2.5-3B,T0.6,1,L2,0.627897134953754,0.0020754857127356172,384
mathfull_Qwen2.5-3B,T0.6,1,L3,0.4735494875333212,0.005951449538449956,293
mathfull_Qwen2.5-3B,T0.6,1,L4,0.34867266878496,0.0024454576961693004,361
mathfull_Qwen2.5-3B,T0.6,1,L5,0.11685903801246696,0.0012857444601808417,1018
mathfull_Qwen2.5-3B,T0.6,1,Lr,0.012929553431666801,0.000749936544001457,194
mathfull_Qwen2.5-3B,T0.6,1,overall,0.6269217872455687,0.0018265040925436072,4965
mathfull_Qwen2.5-3B,T0.6,1,overall_md_compat,0.6518881451076305,0.0018571221881998191,4771
mathfull_Qwen2.5-3B,T0.7,1,L1,0.9035174976815935,0.0005938762501890914,2715
mathfull_Qwen2.5-3B,T0.7,1,L2,0.6076388882583059,0.0033111515951573787,384
mathfull_Qwen2.5-3B,T0.7,1,L3,0.45713879376442185,0.005258539065968591,293
mathfull_Qwen2.5-3B,T0.7,1,L4,0.3395313944707135,0.002137373881736462,361
mathfull_Qwen2.5-3B,T0.7,1,L5,0.1180214479202118,0.0016939235461125263,1018
mathfull_Qwen2.5-3B,T0.7,1,Lr,0.017010309474216292,0.0012494020558064393,194
mathfull_Qwen2.5-3B,T0.7,1,overall,0.6175914749837649,0.0019115784724363213,4965
mathfull_Qwen2.5-3B,T0.7,1,overall_md_compat,0.6420125074945283,0.0019337124082029788,4771
mathfull_Qwen2.5-3B,T0.8,1,L1,0.8898956440280529,0.0012038013904535287,2715
mathfull_Qwen2.5-3B,T0.8,1,L2,0.5872829859621965,0.0019848401731995865,384
mathfull_Qwen2.5-3B,T0.8,1,L3,0.4360637084069207,0.0025118775171572953,293
mathfull_Qwen2.5-3B,T0.8,1,L4,0.32802400728971426,0.004943970953416211,361
mathfull_Qwen2.5-3B,T0.8,1,L5,0.11558202413302927,0.0009176595295975725,1018
mathfull_Qwen2.5-3B,T0.8,1,Lr,0.018105670382489555,0.0009530856945068955,194
mathfull_Qwen2.5-3B,T0.8,1,overall,0.6060305486328477,0.0018587185045747892,4965
mathfull_Qwen2.5-3B,T0.8,1,overall_md_compat,0.6299369469519778,0.0018863667659349585,4771
mathfull_Qwen2.5-3B,T0.9,1,L1,0.8725245572473371,0.0013198063697432002,2715
mathfull_Qwen2.5-3B,T0.9,1,L2,0.5595377595301317,0.0033437818036464377,384
mathfull_Qwen2.5-3B,T0.9,1,L3,0.41608361769213303,0.002916416521627165,293
mathfull_Qwen2.5-3B,T0.9,1,L4,0.3124653739787618,0.002772851438006916,361
mathfull_Qwen2.5-3B,T0.9,1,L5,0.1137811073297836,0.0015562396402724692,1018
mathfull_Qwen2.5-3B,T0.9,1,Lr,0.019372852464747386,0.001600568755058419,194
mathfull_Qwen2.5-3B,T0.9,1,overall,0.5917556240112991,0.0018641086353832022,4965
mathfull_Qwen2.5-3B,T0.9,1,overall_md_compat,0.6150300439819616,0.00187404082034823,4771
mathfull_Qwen2.5-3B,T1.0,1,L1,0.8513628012672788,0.0012142970467105174,2715
mathfull_Qwen2.5-3B,T1.0,1,L2,0.5231553811220996,0.003377310599880912,384
mathfull_Qwen2.5-3B,T1.0,1,L3,0.3827787254639266,0.0020194400706482043,293
mathfull_Qwen2.5-3B,T1.0,1,L4,0.28858494908838694,0.003320755742473503,361
mathfull_Qwen2.5-3B,T1.0,1,L5,0.10783808176773498,0.0014238885690870291,1018
mathfull_Qwen2.5-3B,T1.0,1,Lr,0.022164948588666022,0.0014715569181649808,194
mathfull_Qwen2.5-3B,T1.0,1,overall,0.5725587456675009,0.0017975676904649766,4965
mathfull_Qwen2.5-3B,T1.0,1,overall_md_compat,0.5949390425933642,0.0018095818002903375,4771
mathfull_Qwen2.5-3B,T1.1,1,L1,0.822889811404397,0.0007186195355492561,2715
