combo,baseline,N,stratum,mean,std6,n_pids
mathfull_Qwen3-4B-Instruct-2507,T0.1,1,L1,0.9885189046064392,0.00015661042305862286,3844
mathfull_Qwen3-4B-Instruct-2507,T0.1,1,L2,0.7142027243016621,0.00556604299107797,208
mathfull_Qwen3-4B-Instruct-2507,T0.1,1,L3,0.49961873457192857,0.006443518136107695,153
mathfull_Qwen3-4B-Instruct-2507,T0.1,1,L4,0.2914337478308142,0.004351613915311447,161
mathfull_Qwen3-4B-Instruct-2507,T0.1,1,L5,0.06261458415538072,0.0014149958753703245,400
mathfull_Qwen3-4B-Instruct-2507,T0.1,1,Lr,0.0,0.0,96
mathfull_Qwen3-4B-Instruct-2507,T0.1,1,overall,0.8426222067902749,0.0018555596051279338,4862
mathfull_Qwen3-4B-Instruct-2507,T0.1,1,overall_md_compat,0.859594873985379,0.0018741544038728272,4766
mathfull_Qwen3-4B-Instruct-2507,T0.2,1,L1,0.9844216102533278,0.00016862718968314554,3844
mathfull_Qwen3-4B-Instruct-2507,T0.2,1,L2,0.7071113782719922,0.0035763350995533624,208
mathfull_Qwen3-4B-Instruct-2507,T0.2,1,L3,0.5255991270469424,0.006608798933910948,153
mathfull_Qwen3-4B-Instruct-2507,T0.2,1,L4,0.31731366426307966,0.004645686440488614,161
mathfull_Qwen3-4B-Instruct-2507,T0.2,1,L5,0.0768333341437392,0.002476346504060955,400
mathfull_Qwen3-4B-Instruct-2507,T0.2,1,Lr,0.006076388995602935,0.0008663177099849559,96
mathfull_Qwen3-4B-Instruct-2507,T0.2,1,overall,0.8420437412340555,0.0017827187579178732,4862
mathfull_Qwen3-4B-Instruct-2507,T0.2,1,overall_md_compat,0.8588823618414604,0.001796380841097155,4766
mathfull_Qwen3-4B-Instruct-2507,T0.3,1,L1,0.9815849385350591,0.00044439923518115466,3844
mathfull_Qwen3-4B-Instruct-2507,T0.3,1,L2,0.71203926179367,0.0030467424280796176,208
mathfull_Qwen3-4B-Instruct-2507,T0.3,1,L3,0.5454520680464819,0.002941933559817841,153
mathfull_Qwen3-4B-Instruct-2507,T0.3,1,L4,0.3368788815757133,0.007319415245674327,161
mathfull_Qwen3-4B-Instruct-2507,T0.3,1,L5,0.09177083391308165,0.0011467799389450434,400
mathfull_Qwen3-4B-Instruct-2507,T0.3,1,Lr,0.01028645854158741,0.001620034497695621,96
mathfull_Qwen3-4B-Instruct-2507,T0.3,1,overall,0.8425964973492138,0.0016612267823632573,4862
mathfull_Qwen3-4B-Instruct-2507,T0.3,1,overall_md_compat,0.8593614498724056,0.0016620460162272185,4766
mathfull_Qwen3-4B-Instruct-2507,T0.4,1,L1,0.9796609444543073,0.0003316900080849038,3844
mathfull_Qwen3-4B-Instruct-2507,T0.4,1,L2,0.7126802880770694,0.0030527432414398236,208
mathfull_Qwen3-4B-Instruct-2507,T0.4,1,L3,0.5525054464153215,0.007857874688991302,153
mathfull_Qwen3-4B-Instruct-2507,T0.4,1,L4,0.34805900649616867,0.004103317489981348,161
mathfull_Qwen3-4B-Instruct-2507,T0.4,1,L5,0.1031354174320586,0.0025416581112806045,400
mathfull_Qwen3-4B-Instruct-2507,T0.4,1,Lr,0.012326388994956182,0.0009556498817262107,96
mathfull_Qwen3-4B-Instruct-2507,T0.4,1,overall,0.8426701982859224,0.0018803666196906396,4862
mathfull_Qwen3-4B-Instruct-2507,T0.4,1,overall_md_compat,0.8593955456824671,0.0018943608515595662,4766
mathfull_Qwen3-4B-Instruct-2507,T0.5,1,L1,0.9781141616895077,0.0004702887544962805,3844
mathfull_Qwen3-4B-Instruct-2507,T0.5,1,L2,0.7096554492242061,0.004079225801223682,208
mathfull_Qwen3-4B-Instruct-2507,T0.5,1,L3,0.5588779947223356,0.004881948926138773,153
mathfull_Qwen3-4B-Instruct-2507,T0.5,1,L4,0.3399585924298343,0.006154764444356457,161
mathfull_Qwen3-4B-Instruct-2507,T0.5,1,L5,0.1084479171798254,0.00287185070626283,400
mathfull_Qwen3-4B-Instruct-2507,T0.5,1,Lr,0.019531250194025535,0.0023753654992470946,96
mathfull_Qwen3-4B-Instruct-2507,T0.5,1,overall,0.8418294949480419,0.001918612054711649,4862
mathfull_Qwen3-4B-Instruct-2507,T0.5,1,overall_md_compat,0.8583927831344427,0.0019082889205501883,4766
mathfull_Qwen3-4B-Instruct-2507,T0.6,1,L1,0.9766302475285146,0.00045904230348336686,3844
mathfull_Qwen3-4B-Instruct-2507,T0.6,1,L2,0.7112580124073876,0.0036318507159519607,208
mathfull_Qwen3-4B-Instruct-2507,T0.6,1,L3,0.5579520687014513,0.005966774634450658,153
mathfull_Qwen3-4B-Instruct-2507,T0.6,1,L4,0.35657349806548894,0.006016888991325567,161
mathfull_Qwen3-4B-Instruct-2507,T0.6,1,L5,0.11477083403617144,0.0015343293748411278,400
mathfull_Qwen3-4B-Instruct-2507,T0.6,1,Lr,0.023697916738456115,0.0021220362669762015,96
mathfull_Qwen3-4B-Instruct-2507,T0.6,1,overall,0.8418483487045605,0.001825557767328913,4862
mathfull_Qwen3-4B-Instruct-2507,T0.6,1,overall_md_compat,0.8583280888364837,0.0018190895086641764,4766
mathfull_Qwen3-4B-Instruct-2507,T0.7,1,L1,0.9751951106434072,0.00015759752327361459,3844
mathfull_Qwen3-4B-Instruct-2507,T0.7,1,L2,0.7039463134864584,0.002826352359437821,208
mathfull_Qwen3-4B-Instruct-2507,T0.7,1,L3,0.5714324607649789,0.010423461368442383,153
