combo,B,stratum,mean,std6,n_pids
aime2023_Qwen2.5-3B,128,L1,1.0,0.0,2
aime2023_Qwen2.5-3B,128,L2,,,0
aime2023_Qwen2.5-3B,128,L3,,,0
aime2023_Qwen2.5-3B,128,L4,,,0
aime2023_Qwen2.5-3B,128,L5,0.0011574074246541216,0.0013655445762512204,9
aime2023_Qwen2.5-3B,128,Lr,0.0,0.0,16
aime2023_Qwen2.5-3B,128,overall,0.07445987654895879,0.0007883975286890755,27
aime2023_Qwen2.5-3B,128,overall_md_compat,0.18276515152926248,0.0012351815437991337,11
aime2023_Qwen2.5-3B,256,L1,1.0,0.0,2
aime2023_Qwen2.5-3B,256,L2,,,0
aime2023_Qwen2.5-3B,256,L3,,,0
aime2023_Qwen2.5-3B,256,L4,,,0
aime2023_Qwen2.5-3B,256,L5,0.00046296296986164865,0.001134023045964546,9
aime2023_Qwen2.5-3B,256,Lr,0.0,0.0,16
aime2023_Qwen2.5-3B,256,overall,0.07422839506402797,0.0006547285108548699,27
aime2023_Qwen2.5-3B,256,overall_md_compat,0.1821969697026141,0.001025762440112824,11
aime2023_Qwen2.5-3B,512,L1,1.0,0.0,2
aime2023_Qwen2.5-3B,512,L2,,,0
aime2023_Qwen2.5-3B,512,L3,,,0
aime2023_Qwen2.5-3B,512,L4,,,0
aime2023_Qwen2.5-3B,512,L5,0.0,0.0,9
aime2023_Qwen2.5-3B,512,Lr,0.0,0.0,16
aime2023_Qwen2.5-3B,512,overall,0.07407407407407407,0.0,27
aime2023_Qwen2.5-3B,512,overall_md_compat,0.18181818181818182,0.0,11
aime2023_Qwen2.5-3B,1024,L1,1.0,0.0,2
aime2023_Qwen2.5-3B,1024,L2,,,0
aime2023_Qwen2.5-3B,1024,L3,,,0
aime2023_Qwen2.5-3B,1024,L4,,,0
aime2023_Qwen2.5-3B,1024,L5,0.0,0.0,9
aime2023_Qwen2.5-3B,1024,Lr,0.0,0.0,16
aime2023_Qwen2.5-3B,1024,overall,0.07407407407407407,0.0,27
aime2023_Qwen2.5-3B,1024,overall_md_compat,0.18181818181818182,0.0,11
aime2023_Qwen2.5-3B,1536,L1,1.0,0.0,2
aime2023_Qwen2.5-3B,1536,L2,,,0
aime2023_Qwen2.5-3B,1536,L3,,,0
aime2023_Qwen2.5-3B,1536,L4,,,0
aime2023_Qwen2.5-3B,1536,L5,0.0,0.0,9
aime2023_Qwen2.5-3B,1536,Lr,0.0,0.0,16
aime2023_Qwen2.5-3B,1536,overall,0.07407407407407407,0.0,27
aime2023_Qwen2.5-3B,1536,overall_md_compat,0.18181818181818182,0.0,11
aime2023_Qwen2.5-3B,2048,L1,1.0,0.0,2
aime2023_Qwen2.5-3B,2048,L2,,,0
aime2023_Qwen2.5-3B,2048,L3,,,0
aime2023_Qwen2.5-3B,2048,L4,,,0
aime2023_Qwen2.5-3B,2048,L5,0.0,0.0,9
aime2023_Qwen2.5-3B,2048,Lr,0.0,0.0,16
aime2023_Qwen2.5-3B,2048,overall,0.07407407407407407,0.0,27
aime2023_Qwen2.5-3B,2048,overall_md_compat,0.18181818181818182,0.0,11
