combo,B,stratum,mean,std6,n_pids
aime2023_Qwen3-4B-Instruct-2507,128,L1,1.0,0.0,2
aime2023_Qwen3-4B-Instruct-2507,128,L2,1.0,0.0,5
aime2023_Qwen3-4B-Instruct-2507,128,L3,1.0,0.0,1
aime2023_Qwen3-4B-Instruct-2507,128,L4,1.0,0.0,2
aime2023_Qwen3-4B-Instruct-2507,128,L5,0.11171875024835269,0.004279081664339383,8
aime2023_Qwen3-4B-Instruct-2507,128,Lr,0.0,0.0,3
aime2023_Qwen3-4B-Instruct-2507,128,overall,0.5187500000946106,0.002641106542275722,21
aime2023_Qwen3-4B-Instruct-2507,128,overall_md_compat,0.6052083334437124,0.0028527211095595887,18
aime2023_Qwen3-4B-Instruct-2507,256,L1,1.0,0.0,2
aime2023_Qwen3-4B-Instruct-2507,256,L2,1.0,0.0,5
aime2023_Qwen3-4B-Instruct-2507,256,L3,1.0,0.0,1
aime2023_Qwen3-4B-Instruct-2507,256,L4,1.0,0.0,2
aime2023_Qwen3-4B-Instruct-2507,256,L5,0.11848958457509677,0.004240875054730616,8
aime2023_Qwen3-4B-Instruct-2507,256,Lr,0.0,0.0,3
aime2023_Qwen3-4B-Instruct-2507,256,overall,0.5213293655524178,0.0026175249108624154,21
aime2023_Qwen3-4B-Instruct-2507,256,overall_md_compat,0.6082175931444875,0.002827250036487077,18
aime2023_Qwen3-4B-Instruct-2507,512,L1,1.0,0.0,2
aime2023_Qwen3-4B-Instruct-2507,512,L2,1.0,0.0,5
aime2023_Qwen3-4B-Instruct-2507,512,L3,1.0,0.0,1
aime2023_Qwen3-4B-Instruct-2507,512,L4,1.0,0.0,2
aime2023_Qwen3-4B-Instruct-2507,512,L5,0.12265625099341075,0.002369648772777483,8
aime2023_Qwen3-4B-Instruct-2507,512,Lr,0.0,0.0,3
aime2023_Qwen3-4B-Instruct-2507,512,overall,0.5229166670451089,0.0014625789754925023,21
aime2023_Qwen3-4B-Instruct-2507,512,overall_md_compat,0.6100694448859604,0.001579765848518322,18
aime2023_Qwen3-4B-Instruct-2507,1024,L1,1.0,0.0,2
aime2023_Qwen3-4B-Instruct-2507,1024,L2,1.0,0.0,5
aime2023_Qwen3-4B-Instruct-2507,1024,L3,1.0,0.0,1
aime2023_Qwen3-4B-Instruct-2507,1024,L4,1.0,0.0,2
aime2023_Qwen3-4B-Instruct-2507,1024,L5,0.12317708258827527,0.0028669508358646397,8
aime2023_Qwen3-4B-Instruct-2507,1024,Lr,0.0,0.0,3
aime2023_Qwen3-4B-Instruct-2507,1024,overall,0.5231150790812477,0.0017695204726021338,21
aime2023_Qwen3-4B-Instruct-2507,1024,overall_md_compat,0.610300925594789,0.001911300557243093,18
aime2023_Qwen3-4B-Instruct-2507,1536,L1,1.0,0.0,2
aime2023_Qwen3-4B-Instruct-2507,1536,L2,1.0,0.0,5
aime2023_Qwen3-4B-Instruct-2507,1536,L3,1.0,0.0,1
aime2023_Qwen3-4B-Instruct-2507,1536,L4,1.0,0.0,2
aime2023_Qwen3-4B-Instruct-2507,1536,L5,0.12447916716337204,0.0012757746910248553,8
aime2023_Qwen3-4B-Instruct-2507,1536,Lr,0.0,0.0,3
aime2023_Qwen3-4B-Instruct-2507,1536,overall,0.5236111113003322,0.0007874252344879518,21
aime2023_Qwen3-4B-Instruct-2507,1536,overall_md_compat,0.6108796298503876,0.0008505164606832368,18
aime2023_Qwen3-4B-Instruct-2507,2048,L1,1.0,0.0,2
aime2023_Qwen3-4B-Instruct-2507,2048,L2,1.0,0.0,5
aime2023_Qwen3-4B-Instruct-2507,2048,L3,1.0,0.0,1
aime2023_Qwen3-4B-Instruct-2507,2048,L4,1.0,0.0,2
aime2023_Qwen3-4B-Instruct-2507,2048,L5,0.12395833432674408,0.0016137415219344465,8
aime2023_Qwen3-4B-Instruct-2507,2048,Lr,0.0,0.0,3
aime2023_Qwen3-4B-Instruct-2507,2048,overall,0.5234126987911406,0.000996022891229639,21
aime2023_Qwen3-4B-Instruct-2507,2048,overall_md_compat,0.610648148589664,0.0010758276812896312,18
