combo,B,stratum,mean,std6,n_pids
aime2024_Phi-4-mini-instruct,128,L1,,,0
aime2024_Phi-4-mini-instruct,128,L2,1.0,0.0,1
aime2024_Phi-4-mini-instruct,128,L3,,,0
aime2024_Phi-4-mini-instruct,128,L4,,,0
aime2024_Phi-4-mini-instruct,128,L5,0.00012254902143396583,0.00030018257099061516,17
aime2024_Phi-4-mini-instruct,128,Lr,0.0,0.0,8
aime2024_Phi-4-mini-instruct,128,overall,0.03854166666786067,0.0002427298902984001,26
aime2024_Phi-4-mini-instruct,128,overall_md_compat,0.05567129629802097,0.0002917250218528769,18
aime2024_Phi-4-mini-instruct,256,L1,,,0
aime2024_Phi-4-mini-instruct,256,L2,1.0,0.0,1
aime2024_Phi-4-mini-instruct,256,L3,,,0
aime2024_Phi-4-mini-instruct,256,L4,,,0
aime2024_Phi-4-mini-instruct,256,L5,0.0006127451071698292,0.0011780014725239734,17
aime2024_Phi-4-mini-instruct,256,Lr,0.0,0.0,8
aime2024_Phi-4-mini-instruct,256,overall,0.038862179493149504,0.0009525408728877777,26
aime2024_Phi-4-mini-instruct,256,overall_md_compat,0.05613425926788261,0.0011448116530573696,18
aime2024_Phi-4-mini-instruct,512,L1,,,0
aime2024_Phi-4-mini-instruct,512,L2,0.9958333373069763,0.010206197528198842,1
aime2024_Phi-4-mini-instruct,512,L3,,,0
aime2024_Phi-4-mini-instruct,512,L4,,,0
aime2024_Phi-4-mini-instruct,512,L5,0.0,0.0,17
aime2024_Phi-4-mini-instruct,512,Lr,0.0,0.0,8
aime2024_Phi-4-mini-instruct,512,overall,0.038301282204114474,0.002001600013687244,26
aime2024_Phi-4-mini-instruct,512,overall_md_compat,0.05532407429483202,0.002405623827439594,18
aime2024_Phi-4-mini-instruct,1024,L1,,,0
aime2024_Phi-4-mini-instruct,1024,L2,1.0,0.0,1
aime2024_Phi-4-mini-instruct,1024,L3,,,0
aime2024_Phi-4-mini-instruct,1024,L4,,,0
aime2024_Phi-4-mini-instruct,1024,L5,0.0006127451163004426,0.0009773236617070357,17
aime2024_Phi-4-mini-instruct,1024,Lr,0.0,0.0,8
aime2024_Phi-4-mini-instruct,1024,overall,0.03886217949911952,0.0007902712819379378,26
aime2024_Phi-4-mini-instruct,1024,overall_md_compat,0.05613425927650598,0.0009497878761846311,18
aime2024_Phi-4-mini-instruct,1536,L1,,,0
aime2024_Phi-4-mini-instruct,1536,L2,1.0,0.0,1
aime2024_Phi-4-mini-instruct,1536,L3,,,0
aime2024_Phi-4-mini-instruct,1536,L4,,,0
aime2024_Phi-4-mini-instruct,1536,L5,0.0,0.0,17
aime2024_Phi-4-mini-instruct,1536,Lr,0.0,0.0,8
aime2024_Phi-4-mini-instruct,1536,overall,0.038461538461538464,0.0,26
aime2024_Phi-4-mini-instruct,1536,overall_md_compat,0.05555555555555555,0.0,18
aime2024_Phi-4-mini-instruct,2048,L1,,,0
aime2024_Phi-4-mini-instruct,2048,L2,1.0,0.0,1
aime2024_Phi-4-mini-instruct,2048,L3,,,0
aime2024_Phi-4-mini-instruct,2048,L4,,,0
aime2024_Phi-4-mini-instruct,2048,L5,0.0,0.0,17
aime2024_Phi-4-mini-instruct,2048,Lr,0.0,0.0,8
aime2024_Phi-4-mini-instruct,2048,overall,0.038461538461538464,0.0,26
aime2024_Phi-4-mini-instruct,2048,overall_md_compat,0.05555555555555555,0.0,18
