combo,B,stratum,mean,std6,n_pids
gsm8kfull_Phi-4-mini-instruct,128,L1,0.9923000318892158,0.00010381399712548982,1046
gsm8kfull_Phi-4-mini-instruct,128,L2,0.9805365302025862,0.001537921817538381,73
gsm8kfull_Phi-4-mini-instruct,128,L3,0.8863918447787774,0.0011824401710062182,47
gsm8kfull_Phi-4-mini-instruct,128,L4,0.8392926367656725,0.003639465640694229,43
gsm8kfull_Phi-4-mini-instruct,128,L5,0.21726441629160242,0.0030689977115205126,79
gsm8kfull_Phi-4-mini-instruct,128,Lr,0.014919354990925839,0.0021789122221382274,31
gsm8kfull_Phi-4-mini-instruct,128,overall,0.9134961251237227,0.0011387684257160623,1319
gsm8kfull_Phi-4-mini-instruct,128,overall_md_compat,0.9351233610508319,0.0011016973247501031,1288
gsm8kfull_Phi-4-mini-instruct,256,L1,0.99205903442478,8.131465323783046e-05,1046
gsm8kfull_Phi-4-mini-instruct,256,L2,0.9813641553498021,0.001474658899115161,73
gsm8kfull_Phi-4-mini-instruct,256,L3,0.8820035465867488,0.0023226276601513956,47
gsm8kfull_Phi-4-mini-instruct,256,L4,0.8571220945942309,0.0031187397220679086,43
gsm8kfull_Phi-4-mini-instruct,256,L5,0.22211673733177065,0.0025317919246886722,79
gsm8kfull_Phi-4-mini-instruct,256,Lr,0.02016129060297884,0.0022232337638474157,31
gsm8kfull_Phi-4-mini-instruct,256,overall,0.9141895165761084,0.0010653634879768167,1319
gsm8kfull_Phi-4-mini-instruct,256,overall_md_compat,0.9357072766732878,0.0010214463995778112,1288
gsm8kfull_Phi-4-mini-instruct,512,L1,0.9921387030115058,0.0001508610344885391,1046
gsm8kfull_Phi-4-mini-instruct,512,L2,0.9806792240198616,0.0009087720111889746,73
gsm8kfull_Phi-4-mini-instruct,512,L3,0.8814273056844977,0.0037401471016568627,47
gsm8kfull_Phi-4-mini-instruct,512,L4,0.859156978998853,0.002945960598114309,43
gsm8kfull_Phi-4-mini-instruct,512,L5,0.22782173070600767,0.0033601229919570466,79
gsm8kfull_Phi-4-mini-instruct,512,Lr,0.021639784818054526,0.0026706414436821766,31
gsm8kfull_Phi-4-mini-instruct,512,overall,0.9146370358019268,0.0012996157190062353,1319
gsm8kfull_Phi-4-mini-instruct,512,overall_md_compat,0.9361299820600789,0.0012481944239696005,1288
gsm8kfull_Phi-4-mini-instruct,1024,L1,0.9921048438583706,4.5137706351305556e-05,1046
gsm8kfull_Phi-4-mini-instruct,1024,L2,0.9809360729879169,0.0013070648935925582,73
gsm8kfull_Phi-4-mini-instruct,1024,L3,0.8813386537887631,0.003873920286786223,47
gsm8kfull_Phi-4-mini-instruct,1024,L4,0.861967055610735,0.006845708373653076,43
gsm8kfull_Phi-4-mini-instruct,1024,L5,0.22943038065654509,0.004191096809151356,79
gsm8kfull_Phi-4-mini-instruct,1024,Lr,0.022983871079901214,0.0018212242321490055,31
gsm8kfull_Phi-4-mini-instruct,1024,overall,0.9148407886267256,0.001813479899355893,1319
gsm8kfull_Phi-4-mini-instruct,1024,overall_md_compat,0.9363062889714084,0.0018132930986430517,1288
gsm8kfull_Phi-4-mini-instruct,1536,L1,0.9920411089778307,0.00018712788585578362,1046
gsm8kfull_Phi-4-mini-instruct,1536,L2,0.9797945208507314,0.0014161693085449163,73
gsm8kfull_Phi-4-mini-instruct,1536,L3,0.8790336887068149,0.004087157972192962,47
gsm8kfull_Phi-4-mini-instruct,1536,L4,0.8619186066654185,0.0025541737687710077,43
gsm8kfull_Phi-4-mini-instruct,1536,L5,0.2300632913608717,0.002210664240467911,79
gsm8kfull_Phi-4-mini-instruct,1536,Lr,0.024596774259642244,0.0015087326534511025,31
gsm8kfull_Phi-4-mini-instruct,1536,overall,0.914719168679534,0.0011370539317862042,1319
gsm8kfull_Phi-4-mini-instruct,1536,overall_md_compat,0.9361429219613792,0.001126598097966566,1288
gsm8kfull_Phi-4-mini-instruct,2048,L1,0.9920251753194278,7.658135112049296e-05,1046
gsm8kfull_Phi-4-mini-instruct,2048,L2,0.9811358453246625,0.0016931000273168165,73
gsm8kfull_Phi-4-mini-instruct,2048,L3,0.8789450363487217,0.0023332618731865544,47
gsm8kfull_Phi-4-mini-instruct,2048,L4,0.8668604672041743,0.004946988031397686,43
gsm8kfull_Phi-4-mini-instruct,2048,L5,0.22950949405127438,0.0026735356076880872,79
gsm8kfull_Phi-4-mini-instruct,2048,Lr,0.021370967830060636,0.0030066697112976124,31
gsm8kfull_Phi-4-mini-instruct,2048,overall,0.914829732315219,0.0013400326614191101,1319
gsm8kfull_Phi-4-mini-instruct,2048,overall_md_compat,0.9363337864293804,0.0012733136185154564,1288
