combo,B,stratum,mean,std6,n_pids
gsm8kfull_Qwen2.5-3B,128,L1,0.9951538965435359,0.00010807362375527023,1018
gsm8kfull_Qwen2.5-3B,128,L2,0.9169040087390424,0.0024254151348338123,79
gsm8kfull_Qwen2.5-3B,128,L3,0.925406505039522,0.004088854083052855,41
gsm8kfull_Qwen2.5-3B,128,L4,0.6829491739874666,0.00731147411166557,47
gsm8kfull_Qwen2.5-3B,128,L5,0.22414351844834904,0.003915229691925974,105
gsm8kfull_Qwen2.5-3B,128,Lr,0.010545634925143705,0.0044238911324089745,28
gsm8kfull_Qwen2.5-3B,128,overall,0.8948199609034263,0.0021035641375098633,1318
gsm8kfull_Qwen2.5-3B,128,overall_md_compat,0.9140135121649705,0.0020239158501240695,1290
gsm8kfull_Qwen2.5-3B,256,L1,0.9949533398727902,0.00021125556474767862,1018
gsm8kfull_Qwen2.5-3B,256,L2,0.9148470467145119,0.0020640497599478933,79
gsm8kfull_Qwen2.5-3B,256,L3,0.930233740050921,0.0032058131387145057,41
gsm8kfull_Qwen2.5-3B,256,L4,0.6871897168457508,0.003370076720146652,47
gsm8kfull_Qwen2.5-3B,256,L5,0.23011904796881097,0.002458268407936434,105
gsm8kfull_Qwen2.5-3B,256,Lr,0.018601190387493086,0.002860860444935861,28
gsm8kfull_Qwen2.5-3B,256,overall,0.8954903263143853,0.0012922236796284138,1318
gsm8kfull_Qwen2.5-3B,256,overall_md_compat,0.9145235788771395,0.0012363001745162262,1290
gsm8kfull_Qwen2.5-3B,512,L1,0.9947773412186542,0.00018809960045275184,1018
gsm8kfull_Qwen2.5-3B,512,L2,0.9111023204291108,0.002518590645102755,79
gsm8kfull_Qwen2.5-3B,512,L3,0.9287093503521829,0.004519672740697913,41
gsm8kfull_Qwen2.5-3B,512,L4,0.7038563841339598,0.0038751381938496583,47
gsm8kfull_Qwen2.5-3B,512,L5,0.23556878339380974,0.003157560150588953,105
gsm8kfull_Qwen2.5-3B,512,Lr,0.017187500017739478,0.0036130388321119374,28
gsm8kfull_Qwen2.5-3B,512,overall,0.8960809729514962,0.001627912747508368,1318
gsm8kfull_Qwen2.5-3B,512,overall_md_compat,0.9151577305035469,0.0015570092323783063,1290
gsm8kfull_Qwen2.5-3B,1024,L1,0.9946156679832553,0.00013287418595628173,1018
gsm8kfull_Qwen2.5-3B,1024,L2,0.9124472575686591,0.002712427410487901,79
gsm8kfull_Qwen2.5-3B,1024,L3,0.9289634159834282,0.005134276689742125,41
gsm8kfull_Qwen2.5-3B,1024,L4,0.7035017735423877,0.004723022923506397,47
gsm8kfull_Qwen2.5-3B,1024,L5,0.23876984191999315,0.0032144320651615295,105
gsm8kfull_Qwen2.5-3B,1024,Lr,0.019196428558123965,0.0059158102228284,28
gsm8kfull_Qwen2.5-3B,1024,overall,0.8963296662882531,0.0019070285938121783,1318
gsm8kfull_Qwen2.5-3B,1024,overall_md_compat,0.915368217184721,0.0017193239214243876,1290
gsm8kfull_Qwen2.5-3B,1536,L1,0.9950229207666125,0.000172547667606202,1018
gsm8kfull_Qwen2.5-3B,1536,L2,0.9132383968445318,0.002261422566735062,79
gsm8kfull_Qwen2.5-3B,1536,L3,0.929725610900943,0.002577978724442757,41
gsm8kfull_Qwen2.5-3B,1536,L4,0.7071365261258862,0.004489614986559036,47
gsm8kfull_Qwen2.5-3B,1536,L5,0.24196428640464707,0.003354313369575527,105
gsm8kfull_Qwen2.5-3B,1536,Lr,0.014880952380952378,0.0022351171596729945,28
gsm8kfull_Qwen2.5-3B,1536,overall,0.897007777090394,0.0015025128582379973,1318
gsm8kfull_Qwen2.5-3B,1536,overall_md_compat,0.9161547159212968,0.0014826027814712028,1290
gsm8kfull_Qwen2.5-3B,2048,L1,0.9948325966425076,0.00020227419697532237,1018
gsm8kfull_Qwen2.5-3B,2048,L2,0.9110759496649546,0.0015631759474328954,79
gsm8kfull_Qwen2.5-3B,2048,L3,0.9322662603231223,0.0030452211571231342,41
gsm8kfull_Qwen2.5-3B,2048,L4,0.7054521289079431,0.008162337347382347,47
gsm8kfull_Qwen2.5-3B,2048,L5,0.23970238118033324,0.004112746959564745,105
gsm8kfull_Qwen2.5-3B,2048,Lr,0.018377976048560368,0.003896138987253201,28
gsm8kfull_Qwen2.5-3B,2048,overall,0.896644221161472,0.0021242321171218753,1318
gsm8kfull_Qwen2.5-3B,2048,overall_md_compat,0.9157073644662486,0.0020690139318951407,1290
