combo,B,stratum,mean,std6,n_pids
math1k_Qwen2.5-3B,128,L1,0.9998010888670756,0.00011525427231137735,199
math1k_Qwen2.5-3B,128,L2,0.9648136518266944,0.0010498913062844527,199
math1k_Qwen2.5-3B,128,L3,0.9114635685502458,0.0011573819412985227,199
math1k_Qwen2.5-3B,128,L4,0.7011631098591183,0.003555270456780207,203
math1k_Qwen2.5-3B,128,L5,0.13891324437727842,0.0038731863096393314,200
math1k_Qwen2.5-3B,128,Lr,,,0
math1k_Qwen2.5-3B,128,overall,0.7424583437164158,0.0024606475671816322,1000
math1k_Qwen2.5-3B,128,overall_md_compat,0.7424583437164158,0.0024606475671816322,1000
math1k_Qwen2.5-3B,256,L1,0.9997906198154142,0.00015214323717187403,199
math1k_Qwen2.5-3B,256,L2,0.9637772196847664,0.0012852604574884459,199
math1k_Qwen2.5-3B,256,L3,0.9133689286822212,0.0010438606832389528,199
math1k_Qwen2.5-3B,256,L4,0.7144430775687783,0.0032342190652377987,203
math1k_Qwen2.5-3B,256,L5,0.1414475698179255,0.0022180565327043445,200
math1k_Qwen2.5-3B,256,Lr,,,0
math1k_Qwen2.5-3B,256,overall,0.7458318755783451,0.0019124703415839353,1000
math1k_Qwen2.5-3B,256,overall_md_compat,0.7458318755783451,0.0019124703415839353,1000
math1k_Qwen2.5-3B,512,L1,0.9999162479361496,0.0001025749473527538,199
math1k_Qwen2.5-3B,512,L2,0.9636201843934468,0.000999842724978572,199
math1k_Qwen2.5-3B,512,L3,0.9130129822954173,0.0019012718514753617,199
math1k_Qwen2.5-3B,512,L4,0.7189552553559307,0.0036013308218774487,203
math1k_Qwen2.5-3B,512,L5,0.14149722257706648,0.0021667096913447295,200
math1k_Qwen2.5-3B,512,Lr,,,0
math1k_Qwen2.5-3B,512,overall,0.746680694863045,0.0021194657284085362,1000
math1k_Qwen2.5-3B,512,overall_md_compat,0.746680694863045,0.0021194657284085362,1000
math1k_Qwen2.5-3B,1024,L1,0.9997278057051263,0.00016218517811810793,199
math1k_Qwen2.5-3B,1024,L2,0.9623429648706088,0.0009100456135285695,199
math1k_Qwen2.5-3B,1024,L3,0.9137981581958744,0.0012184420934477076,199
math1k_Qwen2.5-3B,1024,L4,0.7207101814139921,0.0017401906886409465,203
math1k_Qwen2.5-3B,1024,L5,0.1430069445221064,0.0016261037557005096,200
math1k_Qwen2.5-3B,1024,Lr,,,0
math1k_Qwen2.5-3B,1024,overall,0.747203472557012,0.0012684867958704595,1000
math1k_Qwen2.5-3B,1024,overall_md_compat,0.747203472557012,0.0012684867958704595,1000
math1k_Qwen2.5-3B,1536,L1,0.9998324958223793,0.00015214323717187403,199
math1k_Qwen2.5-3B,1536,L2,0.9633793972098772,0.0006293956893377318,199
math1k_Qwen2.5-3B,1536,L3,0.9145728649284498,0.0018283103443481996,199
math1k_Qwen2.5-3B,1536,L4,0.7189415720664577,0.0026766770036875664,203
math1k_Qwen2.5-3B,1536,L5,0.14486458362312987,0.0016218319669387643,200
math1k_Qwen2.5-3B,1536,Lr,,,0
math1k_Qwen2.5-3B,1536,overall,0.7475972226882975,0.0016520050178702194,1000
math1k_Qwen2.5-3B,1536,overall_md_compat,0.7475972226882975,0.0016520050178702194,1000
math1k_Qwen2.5-3B,2048,L1,0.9998534338757818,9.456947117393276e-05,199
math1k_Qwen2.5-3B,2048,L2,0.9627512565391196,0.001232180939057504,199
math1k_Qwen2.5-3B,2048,L3,0.9146880241082842,0.0020732132882374655,199
math1k_Qwen2.5-3B,2048,L4,0.720874385269013,0.001968903774072672,203
math1k_Qwen2.5-3B,2048,L5,0.14247569498140364,0.0017588771704224375,200
math1k_Qwen2.5-3B,2048,Lr,,,0
math1k_Qwen2.5-3B,2048,overall,0.7474138893960044,0.0016015417047516105,1000
math1k_Qwen2.5-3B,2048,overall_md_compat,0.7474138893960044,0.0016015417047516105,1000
