combo,B,stratum,mean,std6,n_pids
math500_Phi-4-mini-instruct,128,L1,0.9927228682262953,0.0004326091807687542,215
math500_Phi-4-mini-instruct,128,L2,0.9319767449556511,0.004822428181805267,43
math500_Phi-4-mini-instruct,128,L3,0.9399305573768085,0.002600969949700624,30
math500_Phi-4-mini-instruct,128,L4,0.5604847517333242,0.006804269495567271,51
math500_Phi-4-mini-instruct,128,L5,0.12667069255806288,0.001318676291663515,138
math500_Phi-4-mini-instruct,128,Lr,0.05674019631217508,0.0016386780747204522,17
math500_Phi-4-mini-instruct,128,overall,0.6654619325339473,0.0028061563625512292,494
math500_Phi-4-mini-instruct,128,overall_md_compat,0.6871564178919558,0.0028389179757369923,477
math500_Phi-4-mini-instruct,256,L1,0.992093023265055,0.0003268249113655957,215
math500_Phi-4-mini-instruct,256,L2,0.9292635663751829,0.005273312014199789,43
math500_Phi-4-mini-instruct,256,L3,0.9469444452060594,0.005059826203667523,30
math500_Phi-4-mini-instruct,256,L4,0.5651143789413123,0.0032724643781077115,51
math500_Phi-4-mini-instruct,256,L5,0.1345913850799077,0.0016915399901753841,138
math500_Phi-4-mini-instruct,256,Lr,0.05490196101805744,0.0025752790631514404,17
math500_Phi-4-mini-instruct,256,overall,0.6680049484142564,0.0024809077769508757,494
math500_Phi-4-mini-instruct,256,overall_md_compat,0.689855578992318,0.0024774781000491543,477
math500_Phi-4-mini-instruct,512,L1,0.9920155037743177,0.0003815417774476872,215
math500_Phi-4-mini-instruct,512,L2,0.9278585273887989,0.003729172561541176,43
math500_Phi-4-mini-instruct,512,L3,0.9513194446762402,0.004293217515228643,30
math500_Phi-4-mini-instruct,512,L4,0.5692810466044332,0.005109964428755403,51
math500_Phi-4-mini-instruct,512,L5,0.13636272141916883,0.0013748593213862427,138
math500_Phi-4-mini-instruct,512,Lr,0.054411764238394944,0.0018601632186365767,17
math500_Phi-4-mini-instruct,512,overall,0.6690227171137814,0.0023950075382328795,494
math500_Phi-4-mini-instruct,512,overall_md_compat,0.6909270906963423,0.002411881258592637,477
math500_Phi-4-mini-instruct,1024,L1,0.9917926356773967,0.0006013062392748193,215
math500_Phi-4-mini-instruct,1024,L2,0.9270348850161184,0.004019623785333468,43
math500_Phi-4-mini-instruct,1024,L3,0.9436111114091345,0.0041805321872133636,30
math500_Phi-4-mini-instruct,1024,L4,0.5734885628639532,0.005088170967661425,51
math500_Phi-4-mini-instruct,1024,L5,0.13931159461299544,0.0012353423427263973,138
math500_Phi-4-mini-instruct,1024,Lr,0.05612745179849512,0.00195464829612977,17
math500_Phi-4-mini-instruct,1024,overall,0.6697031042749734,0.00241985816111833,494
math500_Phi-4-mini-instruct,1024,overall_md_compat,0.6915705803590407,0.002434798141646376,477
math500_Phi-4-mini-instruct,1536,L1,0.9916182171466739,0.0005384319018670996,215
math500_Phi-4-mini-instruct,1536,L2,0.9303294575318347,0.001443765989710817,43
math500_Phi-4-mini-instruct,1536,L3,0.9459722237454521,0.003046703312050022,30
math500_Phi-4-mini-instruct,1536,L4,0.5736928105512573,0.006084490185398025,51
math500_Phi-4-mini-instruct,1536,L5,0.13876811616518644,0.0030297524382286636,138
math500_Phi-4-mini-instruct,1536,Lr,0.05563725501883263,0.001719184969245208,17
math500_Phi-4-mini-instruct,1536,overall,0.6699097505607233,0.00271280836075371,494
math500_Phi-4-mini-instruct,1536,overall_md_compat,0.6918020617225937,0.002741582687853955,477
math500_Phi-4-mini-instruct,2048,L1,0.991686046585556,0.000745456641133845,215
math500_Phi-4-mini-instruct,2048,L2,0.929166667423276,0.0033633948935220693,43
math500_Phi-4-mini-instruct,2048,L3,0.9462500007616149,0.0031402404395782287,30
math500_Phi-4-mini-instruct,2048,L4,0.5741830067678653,0.008157998141718173,51
math500_Phi-4-mini-instruct,2048,L5,0.13994565268681533,0.0033614719648751776,138
math500_Phi-4-mini-instruct,2048,Lr,0.05514705940788867,0.0025892386898002384,17
math500_Phi-4-mini-instruct,2048,overall,0.6702176116676509,0.003476131661569003,494
math500_Phi-4-mini-instruct,2048,overall_md_compat,0.6921383651024854,0.0035035992417241446,477
