combo,B,stratum,mean,std6,n_pids
mathfull_Llama-3.2-3B,128,L1,0.9958358003133152,0.00018988088383481763,1689
mathfull_Llama-3.2-3B,128,L2,0.9735388891990815,0.0008346436751624258,375
mathfull_Llama-3.2-3B,128,L3,0.8988271611476583,0.0024927553572783303,315
mathfull_Llama-3.2-3B,128,L4,0.7375406417614161,0.0011218901874512099,476
mathfull_Llama-3.2-3B,128,L5,0.14111373211245268,0.0003127367855933961,1749
mathfull_Llama-3.2-3B,128,Lr,0.0034398446206426662,0.0006639576047927571,311
mathfull_Llama-3.2-3B,128,overall,0.5959555158820938,0.0008052171344420085,4915
mathfull_Llama-3.2-3B,128,overall_md_compat,0.6359799237366358,0.0008138756718831209,4604
mathfull_Llama-3.2-3B,256,L1,0.995464525386053,0.0002162469302840047,1689
mathfull_Llama-3.2-3B,256,L2,0.9698555557479461,0.0006141538986903481,375
mathfull_Llama-3.2-3B,256,L3,0.8972222230067014,0.0014537029489977006,315
mathfull_Llama-3.2-3B,256,L4,0.7488598577056669,0.0016195724473568676,476
mathfull_Llama-3.2-3B,256,L5,0.150420438970221,0.0008509725466851436,1749
mathfull_Llama-3.2-3B,256,Lr,0.004218917476793897,0.0006660506806342415,311
mathfull_Llama-3.2-3B,256,overall,0.5999013510461304,0.0008485723680256482,4915
mathfull_Llama-3.2-3B,256,overall_md_compat,0.6401396735570044,0.000859505296249488,4604
mathfull_Llama-3.2-3B,512,L1,0.9952745708007051,8.890242675121825e-05,1689
mathfull_Llama-3.2-3B,512,L2,0.9677055556757582,0.0010177134846800007,375
mathfull_Llama-3.2-3B,512,L3,0.8956415349213533,0.0016737220935508581,315
mathfull_Llama-3.2-3B,512,L4,0.7539551247479341,0.0012800052879719922,476
mathfull_Llama-3.2-3B,512,L5,0.15415674064949877,0.000800071912296846,1749
mathfull_Llama-3.2-3B,512,Lr,0.004758395878488292,0.0005713377993502549,311
mathfull_Llama-3.2-3B,512,overall,0.6014278854232403,0.0008175517078604813,4915
mathfull_Llama-3.2-3B,512,overall_md_compat,0.6417328835223756,0.0008315590433428103,4604
mathfull_Llama-3.2-3B,1024,L1,0.9951117525328607,9.725826643457434e-05,1689
mathfull_Llama-3.2-3B,1024,L2,0.9666055556196306,0.0009978679321937256,375
mathfull_Llama-3.2-3B,1024,L3,0.8944113764217095,0.001952351436586264,315
mathfull_Llama-3.2-3B,1024,L4,0.7551733202849454,0.0010885920541487827,476
mathfull_Llama-3.2-3B,1024,L5,0.1550600344426284,0.0007194256862539432,1749
mathfull_Llama-3.2-3B,1024,Lr,0.005077706324485593,0.00032020086470816166,311
mathfull_Llama-3.2-3B,1024,overall,0.6016687862300931,0.0007930592665627724,4915
mathfull_Llama-3.2-3B,1024,overall_md_compat,0.6419684877615102,0.0008151700868983685,4604
mathfull_Llama-3.2-3B,1536,L1,0.9951055851899703,0.0001661921439992675,1689
mathfull_Llama-3.2-3B,1536,L2,0.9662166669418415,0.0005795592054514053,375
mathfull_Llama-3.2-3B,1536,L3,0.8943584661590792,0.0010217515810670176,315
mathfull_Llama-3.2-3B,1536,L4,0.7561143217898557,0.0007955530385848098,476
mathfull_Llama-3.2-3B,1536,L5,0.15495203631722917,0.0003124181785906113,1749
mathfull_Llama-3.2-3B,1536,Lr,0.004990621643602082,0.0004102173057523581,311
mathfull_Llama-3.2-3B,1536,overall,0.6016807960022637,0.0004568388978172159,4915
mathfull_Llama-3.2-3B,1536,overall_md_compat,0.6419871913596797,0.0004598177758326877,4604
mathfull_Llama-3.2-3B,2048,L1,0.9951610914020715,0.0001100129305940781,1689
mathfull_Llama-3.2-3B,2048,L2,0.9658555556039016,0.0009918928700643258,375
mathfull_Llama-3.2-3B,2048,L3,0.8939285720466937,0.0003705592783819116,315
mathfull_Llama-3.2-3B,2048,L4,0.7551076690492243,0.0009212537139550061,476
mathfull_Llama-3.2-3B,2048,L5,0.15476105418815933,0.0005787066762926175,1749
mathfull_Llama-3.2-3B,2048,Lr,0.004941496984096841,0.0004356534676767367,311
mathfull_Llama-3.2-3B,2048,overall,0.6014762068624305,0.000549001436476793,4915
mathfull_Llama-3.2-3B,2048,overall_md_compat,0.641772100600954,0.0005558252743339104,4604
