combo,B,stratum,mean,std6,n_pids
mathfull_Qwen2.5-3B,128,L1,0.9984185083184397,5.066549384302707e-05,2715
mathfull_Qwen2.5-3B,128,L2,0.9649631080376113,0.0006689170705771939,384
mathfull_Qwen2.5-3B,128,L3,0.8927403309237342,0.002007462952114244,293
mathfull_Qwen2.5-3B,128,L4,0.7185470540349957,0.001425293014714491,361
mathfull_Qwen2.5-3B,128,L5,0.14250503228757758,0.000877810691129641,1018
mathfull_Qwen2.5-3B,128,Lr,0.001580253951139492,0.0002356332811706888,194
mathfull_Qwen2.5-3B,128,overall,0.7548030572353613,0.0007626876780397201,4965
mathfull_Qwen2.5-3B,128,overall_md_compat,0.7854308551471489,0.000776587260188497,4771
mathfull_Qwen2.5-3B,256,L1,0.9982957336076286,6.552758874225056e-05,2715
mathfull_Qwen2.5-3B,256,L2,0.9643012155979199,0.0008091445654183734,384
mathfull_Qwen2.5-3B,256,L3,0.8932593861818358,0.0009470605826803425,293
mathfull_Qwen2.5-3B,256,L4,0.7289627591923691,0.0019281131784536886,361
mathfull_Qwen2.5-3B,256,L5,0.1456286548444734,0.0009229615692131086,1018
mathfull_Qwen2.5-3B,256,Lr,0.002400128920546563,0.0006884169072523195,194
mathfull_Qwen2.5-3B,256,overall,0.7561451632218119,0.0007545844540613578,4965
mathfull_Qwen2.5-3B,256,overall_md_compat,0.7867941962661309,0.0007571526479933459,4771
mathfull_Qwen2.5-3B,512,L1,0.9982013505474739,6.833049335109247e-05,2715
mathfull_Qwen2.5-3B,512,L2,0.9646267364700583,0.0006154554036045612,384
mathfull_Qwen2.5-3B,512,L3,0.8931740622032981,0.0019000692789772438,293
mathfull_Qwen2.5-3B,512,L4,0.7331659749888971,0.0020845244071025816,361
mathfull_Qwen2.5-3B,512,L5,0.14786325339224868,0.0005662847584327792,1018
mathfull_Qwen2.5-3B,512,Lr,0.003227018882421284,0.00038358827046324834,194
mathfull_Qwen2.5-3B,512,overall,0.7569097853683688,0.0007951977409726872,4965
mathfull_Qwen2.5-3B,512,overall_md_compat,0.7875562864579253,0.0008075077654494051,4771
mathfull_Qwen2.5-3B,1024,L1,0.9981944444523569,6.731473225286026e-05,2715
mathfull_Qwen2.5-3B,1024,L2,0.96389973960888,0.0004575855552661253,384
mathfull_Qwen2.5-3B,1024,L3,0.8926336750673157,0.0008733412237693576,293
mathfull_Qwen2.5-3B,1024,L4,0.7372480003947491,0.00214450998605237,361
mathfull_Qwen2.5-3B,1024,L5,0.14816975027469756,0.00042788059535786994,1018
mathfull_Qwen2.5-3B,1024,Lr,0.0029746563705100432,0.0006750617119842122,194
mathfull_Qwen2.5-3B,1024,overall,0.7571676738672122,0.000673357220716089,4965
mathfull_Qwen2.5-3B,1024,overall_md_compat,0.7878349229542715,0.0006732878208233126,4771
mathfull_Qwen2.5-3B,1536,L1,0.9982220687714226,5.489579754573086e-05,2715
mathfull_Qwen2.5-3B,1536,L2,0.9646430123919142,0.0007613057421310963,384
mathfull_Qwen2.5-3B,1536,L3,0.89296786166967,0.0013885628260131913,293
mathfull_Qwen2.5-3B,1536,L4,0.7365247007190239,0.001395634583894146,361
mathfull_Qwen2.5-3B,1536,L5,0.14854357708486426,0.0005855435190074952,1018
mathfull_Qwen2.5-3B,1536,Lr,0.0029639175443356386,0.00027031156283470275,194
mathfull_Qwen2.5-3B,1536,overall,0.7572836244466629,0.0006123996571907865,4965
mathfull_Qwen2.5-3B,1536,overall_md_compat,0.7879560250207671,0.0006223439097975173,4771
mathfull_Qwen2.5-3B,2048,L1,0.9981921424254537,5.651305741933923e-05,2715
mathfull_Qwen2.5-3B,2048,L2,0.964225260689596,0.0004117548835735934,384
mathfull_Qwen2.5-3B,2048,L3,0.8921786127739137,0.0014370653873324892,293
mathfull_Qwen2.5-3B,2048,L4,0.7382444606664816,0.0016389127379056914,361
mathfull_Qwen2.5-3B,2048,L5,0.14867250637252546,0.0010094740494297806,1018
mathfull_Qwen2.5-3B,2048,Lr,0.0033612542760100765,0.0006799639771490162,194
mathfull_Qwen2.5-3B,2048,overall,0.7573553767270987,0.0007476854329570022,4965
mathfull_Qwen2.5-3B,2048,overall_md_compat,0.7880145382771954,0.000750309831142464,4771
