model,dataset,N,stratum,acc_v1_mean,acc_v1_std,n_pids
Phi-4-mini-instruct,gsm8kfull,128,L1,0.9923000318892158,0.0001038139971254,1046
Phi-4-mini-instruct,gsm8kfull,128,L2,0.9805365302025862,0.0015379218175383,73
Phi-4-mini-instruct,gsm8kfull,128,L3,0.8863918447787774,0.0011824401710062,47
Phi-4-mini-instruct,gsm8kfull,128,L4,0.8392926367656725,0.0036394656406942,43
Phi-4-mini-instruct,gsm8kfull,128,L5,0.2172644162916024,0.0030689977115205,79
Phi-4-mini-instruct,gsm8kfull,128,Lr,0.0149193549909258,0.0021789122221382,31
Phi-4-mini-instruct,gsm8kfull,128,overall,0.9134961251237228,0.001138768425716,1319
Phi-4-mini-instruct,gsm8kfull,128,overall_md_compat,0.935123361050832,0.0011016973247501,1288
Phi-4-mini-instruct,gsm8kfull,256,L1,0.99205903442478,8.131465323783046e-05,1046
Phi-4-mini-instruct,gsm8kfull,256,L2,0.981364155349802,0.0014746588991151,73
Phi-4-mini-instruct,gsm8kfull,256,L3,0.8820035465867488,0.0023226276601513,47
Phi-4-mini-instruct,gsm8kfull,256,L4,0.8571220945942309,0.0031187397220679,43
Phi-4-mini-instruct,gsm8kfull,256,L5,0.2221167373317706,0.0025317919246886,79
Phi-4-mini-instruct,gsm8kfull,256,Lr,0.0201612906029788,0.0022232337638474,31
Phi-4-mini-instruct,gsm8kfull,256,overall,0.9141895165761084,0.0010653634879768,1319
Phi-4-mini-instruct,gsm8kfull,256,overall_md_compat,0.9357072766732878,0.0010214463995778,1288
Phi-4-mini-instruct,gsm8kfull,512,L1,0.9921387030115058,0.0001508610344885,1046
Phi-4-mini-instruct,gsm8kfull,512,L2,0.9806792240198616,0.0009087720111889,73
Phi-4-mini-instruct,gsm8kfull,512,L3,0.8814273056844977,0.0037401471016568,47
Phi-4-mini-instruct,gsm8kfull,512,L4,0.859156978998853,0.0029459605981143,43
Phi-4-mini-instruct,gsm8kfull,512,L5,0.2278217307060076,0.003360122991957,79
Phi-4-mini-instruct,gsm8kfull,512,Lr,0.0216397848180545,0.0026706414436821,31
Phi-4-mini-instruct,gsm8kfull,512,overall,0.9146370358019268,0.0012996157190062,1319
Phi-4-mini-instruct,gsm8kfull,512,overall_md_compat,0.9361299820600788,0.0012481944239696,1288
Phi-4-mini-instruct,gsm8kfull,1024,L1,0.9921048438583706,4.513770635130556e-05,1046
Phi-4-mini-instruct,gsm8kfull,1024,L2,0.9809360729879169,0.0013070648935925,73
Phi-4-mini-instruct,gsm8kfull,1024,L3,0.8813386537887631,0.0038739202867862,47
Phi-4-mini-instruct,gsm8kfull,1024,L4,0.861967055610735,0.006845708373653,43
Phi-4-mini-instruct,gsm8kfull,1024,L5,0.229430380656545,0.0041910968091513,79
Phi-4-mini-instruct,gsm8kfull,1024,Lr,0.0229838710799012,0.001821224232149,31
Phi-4-mini-instruct,gsm8kfull,1024,overall,0.9148407886267256,0.0018134798993558,1319
Phi-4-mini-instruct,gsm8kfull,1024,overall_md_compat,0.9363062889714084,0.001813293098643,1288
Phi-4-mini-instruct,gsm8kfull,1536,L1,0.9920411089778308,0.0001871278858557,1046
