model,dataset,N,strategy,regret_kind,n_problems,regret_mean,regret_median,regret_std,regret_p25,regret_p75,regret_p90,regret_p95,regret_p99,regret_max,regret_gt_10pp,regret_gt_20pp
Llama-3.2-3B,gsm8kfull,1,T0.1,R1,1318,0.05040698003331507,0.0,0.11319459742293259,0.0,0.025150001514703035,0.19201999306678766,0.3125399895012374,0.5428199792653312,0.7313999906182289,0.17602427921092564,0.09711684370257967
Llama-3.2-3B,gsm8kfull,1,T0.1,R2,1318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Llama-3.2-3B,gsm8kfull,1,T0.2,R1,1318,0.0533317143551809,0.01009998144581914,0.09246596928059876,0.0,0.0706000030040741,0.159259994328022,0.24122997298836704,0.3808519935701039,0.9929999709129333,0.19271623672230653,0.07587253414264036
Llama-3.2-3B,gsm8kfull,1,T0.2,R2,1318,0.002924734321865836,0.0,0.07387197350003163,0.0,0.012000024318695068,0.06498001813888547,0.11203003525733946,0.2216900274157522,0.9929999709129333,0.05918057663125948,0.015933232169954476
Llama-3.2-3B,gsm8kfull,1,T0.3,R1,1318,0.055269195004965195,0.016200006008148193,0.09032011014259077,0.0004000067710876465,0.07490000035613775,0.1615999937057495,0.22879998609423638,0.37632799774408326,1.0,0.19726858877086495,0.07132018209408195
Llama-3.2-3B,gsm8kfull,1,T0.3,R2,1318,0.00486221497165013,0.000599980354309082,0.10982129952248423,-0.0013999984366819263,0.023949995636940002,0.10781999826431268,0.17366998493671393,0.3149620071053504,1.0,0.10925644916540213,0.03793626707132018
Llama-3.2-3B,gsm8kfull,1,T0.4,R1,1318,0.05837966539770805,0.02139998972415924,0.09278817699388724,0.0018499940633773804,0.0765499984845519,0.16807998418807976,0.23859996497631072,0.39241398721933324,1.0,0.19954476479514416,0.07283763277693475
Llama-3.2-3B,gsm8kfull,1,T0.4,R2,1318,0.007972685364392983,0.002200007438659668,0.13052044082730455,-0.001900000061141327,0.03635001182556152,0.13420001566410064,0.22081998288631402,0.3711899811029425,1.0,0.13884673748103188,0.05614567526555387
Llama-3.2-3B,gsm8kfull,1,T0.5,R1,1318,0.0618915012789312,0.023900002241134644,0.09725545958807061,0.0034000054001808167,0.07694999128580093,0.17335998415946954,0.2580200076103207,0.425865997374057,1.0,0.20257966616084977,0.07890743550834597
Llama-3.2-3B,gsm8kfull,1,T0.5,R2,1318,0.011484521245616131,0.004400014877319336,0.1451642465617695,-0.0025500101619400084,0.048200011253356934,0.1606599986553192,0.24781001806259137,0.4160060042142862,1.0,0.16160849772382396,0.07056145675265554
Llama-3.2-3B,gsm8kfull,1,T0.6,R1,1318,0.06678087961936757,0.026399999856948853,0.1032664816090449,0.0045999884605407715,0.08274998143315315,0.1848600208759308,0.2732500225305553,0.47082999318838115,1.0,0.21396054628224584,0.09104704097116843
Llama-3.2-3B,gsm8kfull,1,T0.6,R2,1318,0.01637389958605251,0.006900012493133545,0.1573730719060252,-0.005300000077113509,0.06260000169277191,0.17845999002456664,0.27127002775669073,0.47082999318838115,1.0,0.18512898330804248,0.08801213960546282
Llama-3.2-3B,gsm8kfull,1,T0.7,R1,1318,0.07390773854050071,0.030400007963180542,0.11135901086825249,0.006399989128112793,0.09020000696182251,0.20440000295639038,0.29920000284910203,0.5134920153021804,1.0,0.22610015174506828,0.10318664643399089
Llama-3.2-3B,gsm8kfull,1,T0.7,R2,1318,0.02350075850718565,0.01170000433921814,0.16713987525176044,-0.0035499923396855593,0.07600000500679016,0.20084001421928402,0.29920000284910203,0.5134920153021804,1.0,0.20561456752655538,0.10091047040971168
Llama-3.2-3B,gsm8kfull,1,T0.8,R1,1318,0.08278558379556457,0.035899996757507324,0.11854457558164724,0.00865000020712614,0.10540002584457397,0.2274600088596343,0.32905999720096585,0.5500219938904044,1.0,0.26327769347496205,0.12139605462822459
Llama-3.2-3B,gsm8kfull,1,T0.8,R2,1318,0.032378603762249505,0.016200006008148193,0.17533315278959705,-0.0005000083183404058,0.09450002014636993,0.22506001591682434,0.32905999720096585,0.5500219938904044,1.0,0.23975720789074356,0.11911987860394538
Llama-3.2-3B,gsm8kfull,1,T0.9,R1,1318,0.09452382317078296,0.04210001230239868,0.1265558327207762,0.011600017547607422,0.12509998306632042,0.26397997736930845,0.3578399777412412,0.6049879992008207,0.9994000196456909,0.3088012139605463,0.14871016691957512
