model,dataset,N,dataset_best_t,dataset_oracle_acc,per_problem_oracle_acc,gap_pp
Llama-3.2-3B,gsm8kfull,1,T0.1,0.7482588767272652,0.7986658567605803,5.040698003331512
Llama-3.2-3B,gsm8kfull,2,T0.1,0.7486694232352772,0.8006306522119895,5.196122897671229
Llama-3.2-3B,gsm8kfull,4,T0.6,0.7870381027793865,0.8342353963568363,4.719729357744984
Llama-3.2-3B,gsm8kfull,8,T0.9,0.8140037793475299,0.8541648564452263,4.016107709769646
Llama-3.2-3B,gsm8kfull,16,T0.9,0.8316564253470539,0.8649227491317331,3.3266323784679197
Llama-3.2-3B,gsm8kfull,32,T0.9,0.8411794729239558,0.8705687982495217,2.938932532556593
Llama-3.2-3B,gsm8kfull,64,T0.9,0.8463810888069474,0.8735457154134496,2.7164626606502207
Llama-3.2-3B,gsm8kfull,128,T0.9,0.8494598049121526,0.8752984199289763,2.583861501682372
Llama-3.2-3B,gsm8kfull,256,T0.9,0.8513550178224266,0.8765802707936468,2.5225252971220136
Llama-3.2-3B,gsm8kfull,512,T0.9,0.8526408447436833,0.8776323724597841,2.4991527716100803
Llama-3.2-3B,gsm8kfull,1024,T0.9,0.853561557864595,0.8782179187324574,2.465636086786238
Llama-3.2-3B,gsm8kfull,1536,T0.9,0.8539121650380376,0.8783754300268718,2.446326498883422
Llama-3.2-3B,gsm8kfull,2048,T0.9,0.8541086748026109,0.8784374051638321,2.4328730361221185
Llama-3.2-3B,mathfull,1,T0.1,0.46451088501331617,0.5094642522863766,4.495336727306043
Llama-3.2-3B,mathfull,2,T0.2,0.46939969499529616,0.5183520650424206,4.895237004712444
Llama-3.2-3B,mathfull,4,T0.4,0.51734603538754,0.5666187409947643,4.92727056072243
Llama-3.2-3B,mathfull,8,T0.6,0.5544557869139521,0.6039369692277122,4.948118231376009
Llama-3.2-3B,mathfull,16,T0.7,0.5794799322505999,0.6289912245899575,4.951129233935758
Llama-3.2-3B,mathfull,32,T0.7,0.5952592146684517,0.6451077649954494,4.984855032699775
Llama-3.2-3B,mathfull,64,T0.7,0.6044608894797827,0.6551261171526575,5.0665227672874735
Llama-3.2-3B,mathfull,128,T0.7,0.6096120405681651,0.6610023975583891,5.139035699022399
Llama-3.2-3B,mathfull,256,T0.7,0.6126049846645195,0.664340208525787,5.17352238612675
Llama-3.2-3B,mathfull,512,T0.7,0.6142150715127035,0.665973613403753,5.175854189104956
Llama-3.2-3B,mathfull,1024,T0.7,0.6150929211409375,0.6666816040471225,5.158868290618502
Llama-3.2-3B,mathfull,1536,T0.7,0.6153672296672901,0.6668913084366002,5.152407876931009
Llama-3.2-3B,mathfull,2048,T0.7,0.6155839337465066,0.666995185954369,5.141125220786247
Phi-4-mini-instruct,aime2023,1,T0.2,0.07612307662202511,0.0796769252337981,0.35538486117729917
Phi-4-mini-instruct,aime2023,2,T0.2,0.07750769323544003,0.08159999876471165,0.4092305529271617
Phi-4-mini-instruct,aime2023,4,T0.2,0.08627820639790465,0.09040897631740126,0.413076991949661
Phi-4-mini-instruct,aime2023,8,T0.3,0.09138304335423388,0.09605425011138252,0.46712067571486465
Phi-4-mini-instruct,aime2023,16,T0.3,0.09425864143066484,0.09980107225447472,0.5542430823809883
Phi-4-mini-instruct,aime2023,32,T0.2,0.0961523749263576,0.10266035402810303,0.6507979101745429
Phi-4-mini-instruct,aime2023,64,T0.2,0.09955128339620736,0.10592769372921723,0.6376410333009869
Phi-4-mini-instruct,aime2023,128,T0.2,0.10318397329403804,0.10859102469224197,0.5407051398203924
