model,dataset,N,strategy_a,strategy_b,delta_mean,delta_std,delta_p25,delta_median,delta_p75,n_problems,wins_a,ties,wins_b,wilcoxon_p,adj_p_value
Llama-3.2-3B,gsm8kfull,1,T1.0,equal_mix,-0.06341593255329996,0.19157612241667554,-0.14415001547336578,-0.03920001311302185,-0.0020999759435653687,1318,297,131,890,1.0773802005346157e-49,1.795633667557693e-49
Llama-3.2-3B,gsm8kfull,1,T1.0,consensus_vote,-0.06341593255329996,0.19157612241667554,-0.14415001547336578,-0.03920001311302185,-0.0020999759435653687,1318,297,131,890,1.0773802005346157e-49,1.795633667557693e-49
Llama-3.2-3B,gsm8kfull,1,equal_mix,consensus_vote,0.0,0.0,0.0,0.0,0.0,1318,0,1318,0,1.0,1.0
Llama-3.2-3B,gsm8kfull,1,T1.0,best_fixed_T,-0.06337936163261375,0.19149859508644526,-0.1441500186920166,-0.038300007581710815,-0.0020499825477600098,1318,300,127,891,8.593928171925075e-50,1.795633667557693e-49
Llama-3.2-3B,gsm8kfull,1,equal_mix,best_fixed_T,3.6570920686205894e-05,0.00408831483852938,-0.00019999962449072407,0.0,0.00019999772310258512,1318,27,1257,34,0.5905615675806342,0.7382019594757927
Llama-3.2-3B,gsm8kfull,2,T1.0,equal_mix,-0.05537799678741797,0.1676235047887913,-0.12462499749660494,-0.0365999887943268,-0.0030250102281570435,1318,285,138,895,3.9855149002046375e-51,9.963787250511594e-51
Llama-3.2-3B,gsm8kfull,2,T1.0,consensus_vote,-0.05537799678741797,0.1676235047887913,-0.12462499749660494,-0.0365999887943268,-0.0030250102281570435,1318,285,138,895,3.9855149002046375e-51,9.963787250511594e-51
Llama-3.2-3B,gsm8kfull,2,equal_mix,consensus_vote,0.0,0.0,0.0,0.0,0.0,1318,0,1318,0,1.0,1.0
Llama-3.2-3B,gsm8kfull,2,T1.0,best_fixed_T,-0.05654711653255859,0.19050138049526702,-0.1335500031709671,-0.035149991512298584,-0.0018250048160552979,1318,303,125,890,5.689541484329829e-44,9.482569140549715e-44
Llama-3.2-3B,gsm8kfull,2,equal_mix,best_fixed_T,-0.0011691197451406147,0.037096523348352506,-0.006200022172927894,0.0,0.0001000016476143949,1318,211,837,270,4.103453376044281e-05,5.129316720055351e-05
Llama-3.2-3B,gsm8kfull,4,T1.0,equal_mix,-0.006510239792782472,0.1540455718828871,-0.030099987578392023,-0.0010499954223632812,0.0,1318,278,594,446,5.737743704378081e-16,9.56290617396347e-16
Llama-3.2-3B,gsm8kfull,4,T1.0,consensus_vote,-0.006510239792782472,0.1540455718828871,-0.030099987578392023,-0.0010499954223632812,0.0,1318,278,594,446,5.737743704378081e-16,9.56290617396347e-16
