model,dataset,N,regret_kind,strategy_a,strategy_b,a_dominates_b,max_violation
Llama-3.2-3B,gsm8kfull,1,R1,T1.0,equal_mix,False,0.6016691957511381
Llama-3.2-3B,gsm8kfull,1,R1,T1.0,consensus_vote,False,0.6016691957511381
Llama-3.2-3B,gsm8kfull,1,R1,T1.0,random_T,False,0.09408194233687406
Llama-3.2-3B,gsm8kfull,1,R1,T1.0,best_fixed_T,False,0.661608497723824
Llama-3.2-3B,gsm8kfull,1,R1,equal_mix,T1.0,True,0.0
Llama-3.2-3B,gsm8kfull,1,R1,equal_mix,consensus_vote,True,0.0
Llama-3.2-3B,gsm8kfull,1,R1,equal_mix,random_T,False,0.01669195751138086
Llama-3.2-3B,gsm8kfull,1,R1,equal_mix,best_fixed_T,False,0.0773899848254932
Llama-3.2-3B,gsm8kfull,1,R1,consensus_vote,T1.0,True,0.0
Llama-3.2-3B,gsm8kfull,1,R1,consensus_vote,equal_mix,True,0.0
Llama-3.2-3B,gsm8kfull,1,R1,consensus_vote,random_T,False,0.01669195751138086
Llama-3.2-3B,gsm8kfull,1,R1,consensus_vote,best_fixed_T,False,0.0773899848254932
Llama-3.2-3B,gsm8kfull,1,R1,random_T,T1.0,False,0.06676783004552353
Llama-3.2-3B,gsm8kfull,1,R1,random_T,equal_mix,False,0.6547799696509864
Llama-3.2-3B,gsm8kfull,1,R1,random_T,consensus_vote,False,0.6547799696509864
Llama-3.2-3B,gsm8kfull,1,R1,random_T,best_fixed_T,False,0.7003034901365706
Llama-3.2-3B,gsm8kfull,1,R1,best_fixed_T,T1.0,True,0.0
Llama-3.2-3B,gsm8kfull,1,R1,best_fixed_T,equal_mix,False,0.05842185128983308
Llama-3.2-3B,gsm8kfull,1,R1,best_fixed_T,consensus_vote,False,0.05842185128983308
Llama-3.2-3B,gsm8kfull,1,R1,best_fixed_T,random_T,False,0.016691957511380973
Llama-3.2-3B,gsm8kfull,1,R2,T1.0,equal_mix,False,0.6547799696509864
Llama-3.2-3B,gsm8kfull,1,R2,T1.0,consensus_vote,False,0.6547799696509864
Llama-3.2-3B,gsm8kfull,1,R2,T1.0,random_T,False,0.09332321699544766
Llama-3.2-3B,gsm8kfull,1,R2,T1.0,best_fixed_T,False,0.697268588770865
Llama-3.2-3B,gsm8kfull,1,R2,equal_mix,T1.0,False,0.21244309559939303
Llama-3.2-3B,gsm8kfull,1,R2,equal_mix,consensus_vote,True,0.0
Llama-3.2-3B,gsm8kfull,1,R2,equal_mix,random_T,False,0.2040971168437026
Llama-3.2-3B,gsm8kfull,1,R2,equal_mix,best_fixed_T,False,0.2572078907435509
Llama-3.2-3B,gsm8kfull,1,R2,consensus_vote,T1.0,False,0.21244309559939303
Llama-3.2-3B,gsm8kfull,1,R2,consensus_vote,equal_mix,True,0.0
Llama-3.2-3B,gsm8kfull,1,R2,consensus_vote,random_T,False,0.2040971168437026
Llama-3.2-3B,gsm8kfull,1,R2,consensus_vote,best_fixed_T,False,0.2572078907435509
Llama-3.2-3B,gsm8kfull,1,R2,random_T,T1.0,False,0.026555386949924126
Llama-3.2-3B,gsm8kfull,1,R2,random_T,equal_mix,False,0.6517450682852808
Llama-3.2-3B,gsm8kfull,1,R2,random_T,consensus_vote,False,0.6517450682852808
Llama-3.2-3B,gsm8kfull,1,R2,random_T,best_fixed_T,False,0.7003034901365706
Llama-3.2-3B,gsm8kfull,1,R2,best_fixed_T,T1.0,False,0.23899848254931716
Llama-3.2-3B,gsm8kfull,1,R2,best_fixed_T,equal_mix,False,0.2572078907435508
Llama-3.2-3B,gsm8kfull,1,R2,best_fixed_T,consensus_vote,False,0.2572078907435508
Llama-3.2-3B,gsm8kfull,1,R2,best_fixed_T,random_T,False,0.24582701062215478
Llama-3.2-3B,gsm8kfull,2,R1,T1.0,equal_mix,False,0.3748103186646434
Llama-3.2-3B,gsm8kfull,2,R1,T1.0,consensus_vote,False,0.3748103186646434
Llama-3.2-3B,gsm8kfull,2,R1,T1.0,random_T,False,0.08042488619119881
Llama-3.2-3B,gsm8kfull,2,R1,T1.0,best_fixed_T,False,0.6555386949924128
Llama-3.2-3B,gsm8kfull,2,R1,equal_mix,T1.0,True,0.0
Llama-3.2-3B,gsm8kfull,2,R1,equal_mix,consensus_vote,True,0.0
Llama-3.2-3B,gsm8kfull,2,R1,equal_mix,random_T,False,0.006069802731411222
Llama-3.2-3B,gsm8kfull,2,R1,equal_mix,best_fixed_T,False,0.26707132018209406
Llama-3.2-3B,gsm8kfull,2,R1,consensus_vote,T1.0,True,0.0
Llama-3.2-3B,gsm8kfull,2,R1,consensus_vote,equal_mix,True,0.0
Llama-3.2-3B,gsm8kfull,2,R1,consensus_vote,random_T,False,0.006069802731411222
Llama-3.2-3B,gsm8kfull,2,R1,consensus_vote,best_fixed_T,False,0.26707132018209406
Llama-3.2-3B,gsm8kfull,2,R1,random_T,T1.0,False,0.07435508345978756
Llama-3.2-3B,gsm8kfull,2,R1,random_T,equal_mix,False,0.4461305007587253
Llama-3.2-3B,gsm8kfull,2,R1,random_T,consensus_vote,False,0.4461305007587253
Llama-3.2-3B,gsm8kfull,2,R1,random_T,best_fixed_T,False,0.6995447647951442
Llama-3.2-3B,gsm8kfull,2,R1,best_fixed_T,T1.0,True,0.0
Llama-3.2-3B,gsm8kfull,2,R1,best_fixed_T,equal_mix,False,0.025796661608497695
Llama-3.2-3B,gsm8kfull,2,R1,best_fixed_T,consensus_vote,False,0.025796661608497695
Llama-3.2-3B,gsm8kfull,2,R1,best_fixed_T,random_T,False,0.019726858877086584
Llama-3.2-3B,gsm8kfull,2,R2,T1.0,equal_mix,False,0.4688922610015175
Llama-3.2-3B,gsm8kfull,2,R2,T1.0,consensus_vote,False,0.4688922610015175
Llama-3.2-3B,gsm8kfull,2,R2,T1.0,random_T,False,0.09104704097116845
Llama-3.2-3B,gsm8kfull,2,R2,T1.0,best_fixed_T,False,0.7116843702579666
Llama-3.2-3B,gsm8kfull,2,R2,equal_mix,T1.0,False,0.125948406676783
Llama-3.2-3B,gsm8kfull,2,R2,equal_mix,consensus_vote,True,0.0
Llama-3.2-3B,gsm8kfull,2,R2,equal_mix,random_T,False,0.11077389984825492
Llama-3.2-3B,gsm8kfull,2,R2,equal_mix,best_fixed_T,False,0.30121396054628224
Llama-3.2-3B,gsm8kfull,2,R2,consensus_vote,T1.0,False,0.125948406676783
Llama-3.2-3B,gsm8kfull,2,R2,consensus_vote,equal_mix,True,0.0
Llama-3.2-3B,gsm8kfull,2,R2,consensus_vote,random_T,False,0.11077389984825492
Llama-3.2-3B,gsm8kfull,2,R2,consensus_vote,best_fixed_T,False,0.30121396054628224
Llama-3.2-3B,gsm8kfull,2,R2,random_T,T1.0,False,0.02731411229135053
Llama-3.2-3B,gsm8kfull,2,R2,random_T,equal_mix,False,0.45902883156297414
Llama-3.2-3B,gsm8kfull,2,R2,random_T,consensus_vote,False,0.45902883156297414
Llama-3.2-3B,gsm8kfull,2,R2,random_T,best_fixed_T,False,0.712443095599393
Llama-3.2-3B,gsm8kfull,2,R2,best_fixed_T,T1.0,False,0.24127465857359637
Llama-3.2-3B,gsm8kfull,2,R2,best_fixed_T,equal_mix,False,0.23672230652503792
Llama-3.2-3B,gsm8kfull,2,R2,best_fixed_T,consensus_vote,False,0.23672230652503792
Llama-3.2-3B,gsm8kfull,2,R2,best_fixed_T,random_T,False,0.24582701062215478
Llama-3.2-3B,gsm8kfull,4,R1,T1.0,equal_mix,False,0.15402124430956
Llama-3.2-3B,gsm8kfull,4,R1,T1.0,consensus_vote,False,0.15402124430956
Llama-3.2-3B,gsm8kfull,4,R1,T1.0,random_T,False,0.025796661608497806
Llama-3.2-3B,gsm8kfull,4,R1,T1.0,best_fixed_T,False,0.11760242792109254
Llama-3.2-3B,gsm8kfull,4,R1,equal_mix,T1.0,False,0.006828528072837625
Llama-3.2-3B,gsm8kfull,4,R1,equal_mix,consensus_vote,True,0.0
Llama-3.2-3B,gsm8kfull,4,R1,equal_mix,random_T,False,0.027314112291350612
Llama-3.2-3B,gsm8kfull,4,R1,equal_mix,best_fixed_T,False,0.04552352048558417
Llama-3.2-3B,gsm8kfull,4,R1,consensus_vote,T1.0,False,0.006828528072837625
Llama-3.2-3B,gsm8kfull,4,R1,consensus_vote,equal_mix,True,0.0
Llama-3.2-3B,gsm8kfull,4,R1,consensus_vote,random_T,False,0.027314112291350612
Llama-3.2-3B,gsm8kfull,4,R1,consensus_vote,best_fixed_T,False,0.04552352048558417
Llama-3.2-3B,gsm8kfull,4,R1,random_T,T1.0,False,0.125948406676783
Llama-3.2-3B,gsm8kfull,4,R1,random_T,equal_mix,False,0.28679817905918065
Llama-3.2-3B,gsm8kfull,4,R1,random_T,consensus_vote,False,0.28679817905918065
Llama-3.2-3B,gsm8kfull,4,R1,random_T,best_fixed_T,False,0.24355083459787555
Llama-3.2-3B,gsm8kfull,4,R1,best_fixed_T,T1.0,True,0.0
Llama-3.2-3B,gsm8kfull,4,R1,best_fixed_T,equal_mix,False,0.07511380880121399
Llama-3.2-3B,gsm8kfull,4,R1,best_fixed_T,consensus_vote,False,0.07511380880121399
Llama-3.2-3B,gsm8kfull,4,R1,best_fixed_T,random_T,False,0.00531107738998482
Llama-3.2-3B,gsm8kfull,4,R2,T1.0,equal_mix,False,0.20257966616084977
Llama-3.2-3B,gsm8kfull,4,R2,T1.0,consensus_vote,False,0.20257966616084977
Llama-3.2-3B,gsm8kfull,4,R2,T1.0,random_T,False,0.04324734446130507
Llama-3.2-3B,gsm8kfull,4,R2,T1.0,best_fixed_T,False,0.4711684370257967
Llama-3.2-3B,gsm8kfull,4,R2,equal_mix,T1.0,False,0.02200303490136568
Llama-3.2-3B,gsm8kfull,4,R2,equal_mix,consensus_vote,True,0.0
Llama-3.2-3B,gsm8kfull,4,R2,equal_mix,random_T,False,0.057663125948406724
Llama-3.2-3B,gsm8kfull,4,R2,equal_mix,best_fixed_T,False,0.2344461305007587
Llama-3.2-3B,gsm8kfull,4,R2,consensus_vote,T1.0,False,0.02200303490136568
Llama-3.2-3B,gsm8kfull,4,R2,consensus_vote,equal_mix,True,0.0
Llama-3.2-3B,gsm8kfull,4,R2,consensus_vote,random_T,False,0.057663125948406724
Llama-3.2-3B,gsm8kfull,4,R2,consensus_vote,best_fixed_T,False,0.2344461305007587
Llama-3.2-3B,gsm8kfull,4,R2,random_T,T1.0,False,0.13732928679817902
Llama-3.2-3B,gsm8kfull,4,R2,random_T,equal_mix,False,0.2647951441578149
Llama-3.2-3B,gsm8kfull,4,R2,random_T,consensus_vote,False,0.2647951441578149
Llama-3.2-3B,gsm8kfull,4,R2,random_T,best_fixed_T,False,0.6889226100151745
Llama-3.2-3B,gsm8kfull,4,R2,best_fixed_T,T1.0,False,0.18361153262518967
Llama-3.2-3B,gsm8kfull,4,R2,best_fixed_T,equal_mix,False,0.3520485584218513
Llama-3.2-3B,gsm8kfull,4,R2,best_fixed_T,consensus_vote,False,0.3520485584218513
Llama-3.2-3B,gsm8kfull,4,R2,best_fixed_T,random_T,False,0.11608497723823975
Llama-3.2-3B,gsm8kfull,8,R1,T1.0,equal_mix,False,0.012898330804248848
Llama-3.2-3B,gsm8kfull,8,R1,T1.0,consensus_vote,False,0.012898330804248848
Llama-3.2-3B,gsm8kfull,8,R1,T1.0,random_T,False,0.01062215477996964
Llama-3.2-3B,gsm8kfull,8,R1,T1.0,best_fixed_T,False,0.018209408194233667
Llama-3.2-3B,gsm8kfull,8,R1,equal_mix,T1.0,False,0.03414264036418824
Llama-3.2-3B,gsm8kfull,8,R1,equal_mix,consensus_vote,True,0.0
Llama-3.2-3B,gsm8kfull,8,R1,equal_mix,random_T,False,0.01669195751138086
Llama-3.2-3B,gsm8kfull,8,R1,equal_mix,best_fixed_T,False,0.04400606980273147
Llama-3.2-3B,gsm8kfull,8,R1,consensus_vote,T1.0,False,0.03414264036418824
Llama-3.2-3B,gsm8kfull,8,R1,consensus_vote,equal_mix,True,0.0
Llama-3.2-3B,gsm8kfull,8,R1,consensus_vote,random_T,False,0.01669195751138086
Llama-3.2-3B,gsm8kfull,8,R1,consensus_vote,best_fixed_T,False,0.04400606980273147
Llama-3.2-3B,gsm8kfull,8,R1,random_T,T1.0,False,0.1949924127465857
Llama-3.2-3B,gsm8kfull,8,R1,random_T,equal_mix,False,0.18512898330804245
Llama-3.2-3B,gsm8kfull,8,R1,random_T,consensus_vote,False,0.18512898330804245
Llama-3.2-3B,gsm8kfull,8,R1,random_T,best_fixed_T,False,0.20789074355083462
Llama-3.2-3B,gsm8kfull,8,R1,best_fixed_T,T1.0,False,0.0015174506828528056
Llama-3.2-3B,gsm8kfull,8,R1,best_fixed_T,equal_mix,False,0.022761760242792084
Llama-3.2-3B,gsm8kfull,8,R1,best_fixed_T,consensus_vote,False,0.022761760242792084
Llama-3.2-3B,gsm8kfull,8,R1,best_fixed_T,random_T,False,0.00834597875569043
Llama-3.2-3B,gsm8kfull,8,R2,T1.0,equal_mix,False,0.1570561456752655
Llama-3.2-3B,gsm8kfull,8,R2,T1.0,consensus_vote,False,0.1570561456752655
Llama-3.2-3B,gsm8kfull,8,R2,T1.0,random_T,False,0.013657056145675266
Llama-3.2-3B,gsm8kfull,8,R2,T1.0,best_fixed_T,False,0.2374810318664643
Llama-3.2-3B,gsm8kfull,8,R2,equal_mix,T1.0,False,0.07435508345978759
Llama-3.2-3B,gsm8kfull,8,R2,equal_mix,consensus_vote,True,0.0
Llama-3.2-3B,gsm8kfull,8,R2,equal_mix,random_T,False,0.02427921092564489
Llama-3.2-3B,gsm8kfull,8,R2,equal_mix,best_fixed_T,False,0.2556904400606981
Llama-3.2-3B,gsm8kfull,8,R2,consensus_vote,T1.0,False,0.07435508345978759
Llama-3.2-3B,gsm8kfull,8,R2,consensus_vote,equal_mix,True,0.0
Llama-3.2-3B,gsm8kfull,8,R2,consensus_vote,random_T,False,0.02427921092564489
Llama-3.2-3B,gsm8kfull,8,R2,consensus_vote,best_fixed_T,False,0.2556904400606981
Llama-3.2-3B,gsm8kfull,8,R2,random_T,T1.0,False,0.17223065250379366
Llama-3.2-3B,gsm8kfull,8,R2,random_T,equal_mix,False,0.39301972685887704
Llama-3.2-3B,gsm8kfull,8,R2,random_T,consensus_vote,False,0.39301972685887704
Llama-3.2-3B,gsm8kfull,8,R2,random_T,best_fixed_T,False,0.4256449165402124
Llama-3.2-3B,gsm8kfull,8,R2,best_fixed_T,T1.0,False,0.15098634294385432
Llama-3.2-3B,gsm8kfull,8,R2,best_fixed_T,equal_mix,False,0.17450682852807284
Llama-3.2-3B,gsm8kfull,8,R2,best_fixed_T,consensus_vote,False,0.17450682852807284
Llama-3.2-3B,gsm8kfull,8,R2,best_fixed_T,random_T,False,0.10318664643399089
Llama-3.2-3B,gsm8kfull,16,R1,T1.0,equal_mix,False,0.003034901365705611
Llama-3.2-3B,gsm8kfull,16,R1,T1.0,consensus_vote,False,0.00834597875569044
Llama-3.2-3B,gsm8kfull,16,R1,T1.0,random_T,False,0.007587253414264028
Llama-3.2-3B,gsm8kfull,16,R1,T1.0,best_fixed_T,False,0.009863429438543236
Llama-3.2-3B,gsm8kfull,16,R1,equal_mix,T1.0,False,0.05311077389984831
Llama-3.2-3B,gsm8kfull,16,R1,equal_mix,consensus_vote,False,0.009863429438543236
Llama-3.2-3B,gsm8kfull,16,R1,equal_mix,random_T,False,0.0273141122913505
Llama-3.2-3B,gsm8kfull,16,R1,equal_mix,best_fixed_T,False,0.05690440060698032
Llama-3.2-3B,gsm8kfull,16,R1,consensus_vote,T1.0,False,0.05386949924127471
Llama-3.2-3B,gsm8kfull,16,R1,consensus_vote,equal_mix,False,0.00834597875569043
Llama-3.2-3B,gsm8kfull,16,R1,consensus_vote,random_T,False,0.028831562974203306
Llama-3.2-3B,gsm8kfull,16,R1,consensus_vote,best_fixed_T,False,0.057663125948406724
Llama-3.2-3B,gsm8kfull,16,R1,random_T,T1.0,False,0.19802731411229135
Llama-3.2-3B,gsm8kfull,16,R1,random_T,equal_mix,False,0.16616084977238244
Llama-3.2-3B,gsm8kfull,16,R1,random_T,consensus_vote,False,0.14643399089529585
Llama-3.2-3B,gsm8kfull,16,R1,random_T,best_fixed_T,False,0.2078907435508346
Llama-3.2-3B,gsm8kfull,16,R1,best_fixed_T,T1.0,False,0.0022761760242792084
Llama-3.2-3B,gsm8kfull,16,R1,best_fixed_T,equal_mix,False,0.003034901365705611
Llama-3.2-3B,gsm8kfull,16,R1,best_fixed_T,consensus_vote,False,0.00834597875569044
Llama-3.2-3B,gsm8kfull,16,R1,best_fixed_T,random_T,False,0.006069802731411222
Llama-3.2-3B,gsm8kfull,16,R2,T1.0,equal_mix,False,0.028072837632776935
Llama-3.2-3B,gsm8kfull,16,R2,T1.0,consensus_vote,False,0.03186646433990896
Llama-3.2-3B,gsm8kfull,16,R2,T1.0,random_T,False,0.004552352048558422
Llama-3.2-3B,gsm8kfull,16,R2,T1.0,best_fixed_T,False,0.2610015174506829
Llama-3.2-3B,gsm8kfull,16,R2,equal_mix,T1.0,False,0.06752655538694996
Llama-3.2-3B,gsm8kfull,16,R2,equal_mix,consensus_vote,False,0.00910470409711684
Llama-3.2-3B,gsm8kfull,16,R2,equal_mix,random_T,False,0.02427921092564489
