model,dataset,N,T_star,n_problems
Llama-3.2-3B,gsm8kfull,1,0.1,923
Llama-3.2-3B,gsm8kfull,1,0.2,30
Llama-3.2-3B,gsm8kfull,1,0.3,40
Llama-3.2-3B,gsm8kfull,1,0.4,29
Llama-3.2-3B,gsm8kfull,1,0.5,27
Llama-3.2-3B,gsm8kfull,1,0.6,40
Llama-3.2-3B,gsm8kfull,1,0.7,34
Llama-3.2-3B,gsm8kfull,1,0.8,37
Llama-3.2-3B,gsm8kfull,1,0.9,55
Llama-3.2-3B,gsm8kfull,1,1.0,51
Llama-3.2-3B,gsm8kfull,1,1.1,45
Llama-3.2-3B,gsm8kfull,1,1.2,7
Llama-3.2-3B,gsm8kfull,2,0.1,922
Llama-3.2-3B,gsm8kfull,2,0.2,35
Llama-3.2-3B,gsm8kfull,2,0.3,32
Llama-3.2-3B,gsm8kfull,2,0.4,26
Llama-3.2-3B,gsm8kfull,2,0.5,28
Llama-3.2-3B,gsm8kfull,2,0.6,49
Llama-3.2-3B,gsm8kfull,2,0.7,26
Llama-3.2-3B,gsm8kfull,2,0.8,35
Llama-3.2-3B,gsm8kfull,2,0.9,53
Llama-3.2-3B,gsm8kfull,2,1.0,58
Llama-3.2-3B,gsm8kfull,2,1.1,45
Llama-3.2-3B,gsm8kfull,2,1.2,9
Llama-3.2-3B,gsm8kfull,4,0.1,894
Llama-3.2-3B,gsm8kfull,4,0.2,28
Llama-3.2-3B,gsm8kfull,4,0.3,35
Llama-3.2-3B,gsm8kfull,4,0.4,24
Llama-3.2-3B,gsm8kfull,4,0.5,37
Llama-3.2-3B,gsm8kfull,4,0.6,39
Llama-3.2-3B,gsm8kfull,4,0.7,21
Llama-3.2-3B,gsm8kfull,4,0.8,33
Llama-3.2-3B,gsm8kfull,4,0.9,54
Llama-3.2-3B,gsm8kfull,4,1.0,67
Llama-3.2-3B,gsm8kfull,4,1.1,65
Llama-3.2-3B,gsm8kfull,4,1.2,21
Llama-3.2-3B,gsm8kfull,8,0.1,916
Llama-3.2-3B,gsm8kfull,8,0.2,26
Llama-3.2-3B,gsm8kfull,8,0.3,30
